Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.795936107635498,6.879578590393066
Sibilant Plural,blazes,protector,10.16078805923462,10.258773803710938
Regular Singular,spark,protector,11.214163780212402,7.491722583770752
Regular Plural,sparks,protector,15.260887145996094,9.879412651062012
Sibilant Singular,breeze,protector,10.462584495544434,12.133083820343018
Sibilant Plural,breezes,protector,15.825116157531738,12.877690315246582
Regular Singular,storm,protector,8.54679012298584,11.951393127441406
Regular Plural,storms,protector,14.561059951782227,11.794344902038574
Sibilant Singular,tax,receivers,7.372929573059082,12.894906044006348
Sibilant Plural,taxes,receivers,7.086564064025879,14.780238151550293
Regular Singular,toll,receivers,15.91836929321289,14.60063648223877
Regular Plural,tolls,receivers,18.989912509918213,15.392001152038574
Sibilant Singular,sex,disparities,7.883048057556152,14.667977333068848
Sibilant Plural,sexes,disparities,12.798433303833008,20.390868186950684
Regular Singular,gender,disparities,9.478326916694641,15.053281784057617
Regular Plural,genders,disparities,15.834428429603577,18.90809917449951
Sibilant Singular,vase,maker,12.499844551086426,8.570748329162598
Sibilant Plural,vases,maker,17.592257499694824,6.889125347137451
Regular Singular,pot,maker,8.367412567138672,6.1332573890686035
Regular Plural,pots,maker,10.232467651367188,6.31947660446167
Sibilant Singular,hoax,victims,15.058852195739746,6.740293502807617
Sibilant Plural,hoaxes,victims,18.74016523361206,9.390007972717285
Regular Singular,joke,victims,11.479052543640137,7.309749603271484
Regular Plural,jokes,victims,11.663650512695312,9.827971458435059
Sibilant Singular,phase,classifier,13.24941635131836,18.53048801422119
Sibilant Plural,phases,classifier,6.574053347110748,20.82018756866455
Regular Singular,step,classifier,12.424768447875977,19.640311241149902
Regular Plural,steps,classifier,11.650155067443848,18.93844223022461
Sibilant Singular,hose,installer,9.907772064208984,10.989644050598145
Sibilant Plural,hoses,installer,10.580360412597656,14.391484260559082
Regular Singular,pipe,installer,12.035808563232422,11.615120887756348
Regular Plural,pipes,installer,11.715780258178711,14.147588729858398
Sibilant Singular,fox,chaser,7.116833686828613,15.36159372329712
Sibilant Plural,foxes,chaser,11.918680667877197,15.376615524291992
Regular Singular,wolf,chaser,5.602564811706543,15.541009902954102
Regular Plural,wolves,chaser,8.643470764160156,14.581147193908691
Sibilant Singular,mix,winner,5.786527633666992,11.333292007446289
Sibilant Plural,mixes,winner,7.49854040145874,14.373023986816406
Regular Singular,blend,winner,9.378340244293213,11.947731018066406
Regular Plural,blends,winner,12.745158672332764,13.176963806152344
Sibilant Singular,nose,rashes,11.187490463256836,9.298072338104248
Sibilant Plural,noses,rashes,14.79067611694336,13.215346336364746
Regular Singular,thigh,rashes,13.328816890716553,7.415130615234375
Regular Plural,thighs,rashes,11.801356792449951,12.847236633300781
Sibilant Singular,cause,evaluators,9.92115306854248,19.839693069458008
Sibilant Plural,causes,evaluators,12.129085540771484,18.640594482421875
