Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,10.431663513183594,28.943612337112427
Sibilant Plural,blazes,protector,13.012272357940674,28.038500785827637
Regular Singular,spark,protector,13.031469106674194,33.59294652938843
Regular Plural,sparks,protector,20.005017042160034,25.050804376602173
Sibilant Singular,breeze,protector,10.080255270004272,27.38725733757019
Sibilant Plural,breezes,protector,12.864435911178589,26.021064519882202
Regular Singular,storm,protector,9.216912746429443,25.671447038650513
Regular Plural,storms,protector,18.255906581878662,23.811116695404053
Sibilant Singular,tax,receivers,10.70801830291748,22.286491632461548
Sibilant Plural,taxes,receivers,13.108870506286621,12.581200361251831
Regular Singular,toll,receivers,10.350578308105469,22.623212337493896
Regular Plural,tolls,receivers,13.51010012626648,21.510114192962646
Sibilant Singular,sex,disparities,5.250851631164551,20.65878939628601
Sibilant Plural,sexes,disparities,8.453893423080444,24.265714645385742
Regular Singular,gender,disparities,16.17741584777832,23.097715377807617
Regular Plural,genders,disparities,17.25976061820984,26.929052352905273
Sibilant Singular,vase,maker,15.741291999816895,15.564951419830322
Sibilant Plural,vases,maker,22.31326961517334,14.954864501953125
Regular Singular,pot,maker,13.096871614456177,19.134177923202515
Regular Plural,pots,maker,15.597464799880981,16.071688890457153
Sibilant Singular,hoax,victims,23.11280870437622,28.777185916900635
Sibilant Plural,hoaxes,victims,27.63650918006897,28.0868239402771
Regular Singular,joke,victims,20.297842741012573,34.13807034492493
Regular Plural,jokes,victims,26.779876947402954,26.935062170028687
Sibilant Singular,phase,classifier,12.945150375366211,24.45236563682556
Sibilant Plural,phases,classifier,25.04512095451355,25.947850227355957
Regular Singular,step,classifier,10.666170120239258,29.984232902526855
Regular Plural,steps,classifier,16.924087047576904,32.311482429504395
Sibilant Singular,hose,installer,9.98620891571045,21.209843397140503
Sibilant Plural,hoses,installer,14.26114821434021,19.235296964645386
Regular Singular,pipe,installer,9.571711778640747,21.89705491065979
Regular Plural,pipes,installer,12.385355949401855,20.955710411071777
Sibilant Singular,fox,chaser,6.415309190750122,10.632328033447266
Sibilant Plural,foxes,chaser,10.381130933761597,12.151085376739502
Regular Singular,wolf,chaser,6.554682731628418,10.034178733825684
Regular Plural,wolves,chaser,11.896363019943237,11.013781547546387
Sibilant Singular,mix,winner,7.465386390686035,14.983453273773193
Sibilant Plural,mixes,winner,17.85915756225586,11.46966004371643
Regular Singular,blend,winner,12.128227233886719,13.826589584350586
Regular Plural,blends,winner,19.611245155334473,12.495496034622192
Sibilant Singular,nose,rashes,28.387256145477295,17.052839040756226
Sibilant Plural,noses,rashes,36.87274932861328,17.59129810333252
Regular Singular,thigh,rashes,19.70596146583557,14.746638059616089
Regular Plural,thighs,rashes,23.03069043159485,15.155629396438599
Sibilant Singular,cause,evaluators,8.656838178634644,33.5366895198822
Sibilant Plural,causes,evaluators,19.81933856010437,40.1316134929657
Regular Singular,loss,evaluators,10.421509504318237,31.290592432022095
