Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.925814390182495,19.411475896835327
Sibilant Plural,blazes,protector,17.403044939041138,18.495019912719727
Regular Singular,spark,protector,13.745819330215454,19.13159155845642
Regular Plural,sparks,protector,25.854357957839966,16.055737257003784
Sibilant Singular,breeze,protector,8.975427627563477,23.850098133087158
Sibilant Plural,breezes,protector,15.602279663085938,25.31203007698059
Regular Singular,storm,protector,15.334989309310913,24.7204110622406
Regular Plural,storms,protector,19.81216835975647,25.012000799179077
Sibilant Singular,tax,receivers,9.48747730255127,21.24704146385193
Sibilant Plural,taxes,receivers,9.680230617523193,22.678548574447632
Regular Singular,toll,receivers,10.541384220123291,20.27173662185669
Regular Plural,tolls,receivers,11.617875099182129,21.71138834953308
Sibilant Singular,sex,disparities,9.269593715667725,21.64943790435791
Sibilant Plural,sexes,disparities,19.213348388671875,26.02344536781311
Regular Singular,gender,disparities,17.987468242645264,29.087816953659058
Regular Plural,genders,disparities,23.847768545150757,27.65897035598755
Sibilant Singular,vase,maker,18.84136652946472,13.107978582382202
Sibilant Plural,vases,maker,18.21791172027588,13.1124849319458
Regular Singular,pot,maker,8.926736116409302,13.10800290107727
Regular Plural,pots,maker,13.374282121658325,12.98722767829895
Sibilant Singular,hoax,victims,19.54772186279297,27.516517162322998
Sibilant Plural,hoaxes,victims,19.06363081932068,27.993357181549072
Regular Singular,joke,victims,12.442439794540405,27.484437465667725
Regular Plural,jokes,victims,14.942781686782837,25.330415964126587
Sibilant Singular,phase,classifier,8.156527757644653,23.70918869972229
Sibilant Plural,phases,classifier,21.279481649398804,23.295491933822632
Regular Singular,step,classifier,13.209174633026123,23.930580377578735
Regular Plural,steps,classifier,17.92415714263916,22.418933391571045
Sibilant Singular,hose,installer,9.542601585388184,27.21180748939514
Sibilant Plural,hoses,installer,14.89383339881897,19.36897110939026
Regular Singular,pipe,installer,12.34556269645691,28.288728713989258
Regular Plural,pipes,installer,20.659208059310913,18.975470304489136
Sibilant Singular,fox,chaser,6.1265130043029785,13.128123760223389
Sibilant Plural,foxes,chaser,10.733100891113281,13.530810832977295
Regular Singular,wolf,chaser,4.89792275428772,12.063910007476807
Regular Plural,wolves,chaser,10.397991418838501,12.777604818344116
Sibilant Singular,mix,winner,9.580628395080566,12.842130184173584
Sibilant Plural,mixes,winner,16.265925407409668,13.228645324707031
Regular Singular,blend,winner,11.345564842224121,13.218760013580322
Regular Plural,blends,winner,14.516176700592041,12.939181566238403
Sibilant Singular,nose,rashes,10.681326389312744,16.31379532814026
Sibilant Plural,noses,rashes,17.885401248931885,18.399090051651
Regular Singular,thigh,rashes,9.961095809936523,15.426380634307861
Regular Plural,thighs,rashes,11.182634592056274,16.218323230743408
Sibilant Singular,cause,evaluators,9.319384336471558,43.640087604522705
Sibilant Plural,causes,evaluators,20.834412336349487,32.98032784461975
Regular Singular,loss,evaluators,9.464647769927979,44.174896240234375
Regular Plural,losses,evaluators,23.442347049713135,32.972896099090576
Sibilant Singular,gaze,detector,9.34241008758545,17.943933963775635
Sibilant Plural,gazes,detector,21.772452116012573,16.146880626678467
Regular Singular,stare,detector,11.09633994102478,17.562551021575928
Regular Plural,stares,detector,14.313779592514038,18.531418561935425
Sibilant Singular,clause,finder,15.091118097305298,19.649388551712036
