Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.294892311096191,13.08496642112732
Sibilant Plural,blazes,protector,16.524670362472534,14.61319351196289
Regular Singular,spark,protector,15.188289642333984,10.674931287765503
Regular Plural,sparks,protector,13.489431381225586,15.753747940063477
Sibilant Singular,breeze,protector,14.663923263549805,15.93828296661377
Sibilant Plural,breezes,protector,18.13595938682556,19.37294292449951
Regular Singular,storm,protector,12.84972095489502,13.180804967880249
Regular Plural,storms,protector,12.814310073852539,16.946829795837402
Sibilant Singular,tax,receivers,13.039453506469727,13.887002229690552
Sibilant Plural,taxes,receivers,13.907816886901855,14.689366102218628
Regular Singular,toll,receivers,14.2431001663208,13.334919929504395
Regular Plural,tolls,receivers,15.979723930358887,15.1124746799469
Sibilant Singular,sex,disparities,11.961625099182129,18.85921335220337
Sibilant Plural,sexes,disparities,18.190521717071533,17.021500825881958
Regular Singular,gender,disparities,14.007476329803467,13.230106592178345
Regular Plural,genders,disparities,18.401489734649658,17.41882562637329
Sibilant Singular,vase,maker,16.509347915649414,10.859915733337402
Sibilant Plural,vases,maker,14.382870197296143,12.78675365447998
Regular Singular,pot,maker,13.741411209106445,9.518476486206055
Regular Plural,pots,maker,14.879974365234375,11.43899917602539
Sibilant Singular,hoax,victims,15.84714412689209,11.784460067749023
Sibilant Plural,hoaxes,victims,16.83104658126831,9.851865768432617
Regular Singular,joke,victims,13.353209018707275,11.435171127319336
Regular Plural,jokes,victims,14.050894260406494,11.693330764770508
Sibilant Singular,phase,classifier,13.227965354919434,26.35623264312744
Sibilant Plural,phases,classifier,16.465269565582275,24.38237476348877
Regular Singular,step,classifier,10.474054336547852,24.798171281814575
Regular Plural,steps,classifier,12.130828857421875,24.90705108642578
Sibilant Singular,hose,installer,12.943257331848145,17.01944351196289
Sibilant Plural,hoses,installer,16.701279163360596,16.2003436088562
Regular Singular,pipe,installer,12.879144668579102,19.101886749267578
Regular Plural,pipes,installer,12.765310764312744,17.826704502105713
Sibilant Singular,fox,chaser,12.036239624023438,11.805786609649658
Sibilant Plural,foxes,chaser,14.411138534545898,14.51178503036499
Regular Singular,wolf,chaser,12.159666061401367,12.236038208007812
Regular Plural,wolves,chaser,12.840517044067383,14.002689123153687
Sibilant Singular,mix,winner,12.652860641479492,16.013803482055664
Sibilant Plural,mixes,winner,15.685015439987183,18.424516677856445
Regular Singular,blend,winner,14.492707252502441,17.72686767578125
Regular Plural,blends,winner,17.229102611541748,14.805728912353516
Sibilant Singular,nose,rashes,11.846758842468262,17.659268856048584
Sibilant Plural,noses,rashes,15.019446849822998,16.990432739257812
Regular Singular,thigh,rashes,13.836362838745117,14.86741590499878
Regular Plural,thighs,rashes,15.075268268585205,16.36448860168457
Sibilant Singular,cause,evaluators,8.4866304397583,17.57426929473877
Sibilant Plural,causes,evaluators,12.624957084655762,19.01549243927002
Regular Singular,loss,evaluators,12.63491153717041,21.008069038391113
Regular Plural,losses,evaluators,15.063611030578613,19.483924865722656
Sibilant Singular,gaze,detector,13.0518217086792,11.672890663146973
Sibilant Plural,gazes,detector,15.681763648986816,18.021756172180176
Regular Singular,stare,detector,13.90424633026123,9.99104380607605
Regular Plural,stares,detector,11.800569534301758,14.533894300460815
Sibilant Singular,clause,finder,13.182537078857422,16.58865737915039
Sibilant Plural,clauses,finder,15.935181856155396,16.17435359954834
Regular Singular,article,finder,13.59154224395752,15.280251741409302
Regular Plural,articles,finder,14.276166915893555,15.360105037689209
Sibilant Singular,maze,decoder,13.826177597045898,16.19540524482727
Sibilant Plural,mazes,decoder,19.45764684677124,16.877706050872803
Regular Singular,web,decoder,12.80803108215332,15.60441517829895
Regular Plural,webs,decoder,15.357317686080933,15.082891941070557
Sibilant Singular,quiz,expert,15.75243854522705,11.113914489746094
Sibilant Plural,quizzes,expert,17.594388008117676,12.304952621459961
Regular Singular,puzzle,expert,13.30922794342041,14.917113304138184
Regular Plural,puzzles,expert,14.725950241088867,13.046350479125977
Sibilant Singular,fax,man,12.558056831359863,9.276870727539062
Sibilant Plural,faxes,man,18.282631874084473,10.132902145385742
Regular Singular,copy,man,10.691451072692871,9.985774993896484
Regular Plural,copies,man,13.042318344116211,9.644853591918945
Sibilant Singular,size,device,9.520347595214844,13.187268257141113
