Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,22.278451919555664,12.680853843688965
Sibilant Plural,blazes,protector,21.9566912651062,15.239916801452637
Regular Singular,spark,protector,20.075814723968506,13.556224822998047
Regular Plural,sparks,protector,30.650071144104004,17.8927001953125
Sibilant Singular,breeze,protector,23.548720598220825,12.931219100952148
Sibilant Plural,breezes,protector,24.678266525268555,16.557706832885742
Regular Singular,storm,protector,14.614795684814453,16.438528060913086
Regular Plural,storms,protector,13.145437240600586,17.806697845458984
Sibilant Singular,tax,receivers,16.650066375732422,17.12990379333496
Sibilant Plural,taxes,receivers,17.877548098564148,19.593807220458984
Regular Singular,toll,receivers,25.444530487060547,17.224748611450195
Regular Plural,tolls,receivers,29.070796012878418,19.526193618774414
Sibilant Singular,sex,disparities,15.053136825561523,11.995071411132812
Sibilant Plural,sexes,disparities,22.448918342590332,13.203646659851074
Regular Singular,gender,disparities,16.708982467651367,11.848493576049805
Regular Plural,genders,disparities,25.09202766418457,15.09656047821045
Sibilant Singular,vase,maker,27.08966064453125,13.367338180541992
Sibilant Plural,vases,maker,30.014967918395996,15.869976997375488
Regular Singular,pot,maker,15.738665580749512,11.868119239807129
Regular Plural,pots,maker,13.099884986877441,14.868005752563477
Sibilant Singular,hoax,victims,28.43941307067871,11.345386505126953
Sibilant Plural,hoaxes,victims,33.362088203430176,12.874739646911621
Regular Singular,joke,victims,24.89921236038208,13.085662841796875
Regular Plural,jokes,victims,24.969706535339355,13.732145309448242
Sibilant Singular,phase,classifier,16.825910568237305,16.07559823989868
Sibilant Plural,phases,classifier,25.890196800231934,21.932583332061768
Regular Singular,step,classifier,12.894556045532227,19.232067108154297
Regular Plural,steps,classifier,11.418990135192871,23.75755786895752
Sibilant Singular,hose,installer,18.19059181213379,13.308903694152832
Sibilant Plural,hoses,installer,21.576351165771484,18.226688385009766
Regular Singular,pipe,installer,15.201505661010742,14.22453498840332
Regular Plural,pipes,installer,18.974178314208984,17.095325469970703
Sibilant Singular,fox,chaser,18.956218719482422,13.940174102783203
Sibilant Plural,foxes,chaser,26.13948154449463,16.579654216766357
Regular Singular,wolf,chaser,18.253015518188477,13.816174507141113
Regular Plural,wolves,chaser,18.95608901977539,15.810440063476562
Sibilant Singular,mix,winner,21.523815155029297,15.309144020080566
Sibilant Plural,mixes,winner,26.81582546234131,12.670348167419434
Regular Singular,blend,winner,24.639445304870605,11.554335594177246
Regular Plural,blends,winner,27.034018516540527,13.421304702758789
Sibilant Singular,nose,rashes,19.034960985183716,15.989314556121826
Sibilant Plural,noses,rashes,23.99362087249756,17.385075092315674
Regular Singular,thigh,rashes,21.665416717529297,17.036991119384766
