Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.492066383361816,13.343290567398071
Sibilant Plural,blazes,protector,17.168380975723267,13.749765396118164
Regular Singular,spark,protector,15.34999942779541,11.129898071289062
Regular Plural,sparks,protector,15.526594161987305,16.089608669281006
Sibilant Singular,breeze,protector,13.604968070983887,11.348857045173645
Sibilant Plural,breezes,protector,19.142175674438477,16.750702381134033
Regular Singular,storm,protector,12.022050857543945,13.456101417541504
Regular Plural,storms,protector,13.645942687988281,18.510536193847656
Sibilant Singular,tax,receivers,12.82720947265625,14.161551475524902
Sibilant Plural,taxes,receivers,14.246369361877441,16.981358289718628
Regular Singular,toll,receivers,15.745534896850586,17.244125366210938
Regular Plural,tolls,receivers,17.54526138305664,13.552796363830566
Sibilant Singular,sex,disparities,11.24432373046875,21.43555760383606
Sibilant Plural,sexes,disparities,17.461915969848633,19.22972869873047
Regular Singular,gender,disparities,13.283169746398926,19.066686630249023
Regular Plural,genders,disparities,15.629170417785645,24.08522891998291
Sibilant Singular,vase,maker,14.538396835327148,8.539368629455566
Sibilant Plural,vases,maker,15.501386642456055,11.790007591247559
Regular Singular,pot,maker,13.82235050201416,10.399977684020996
Regular Plural,pots,maker,13.874300003051758,10.619657516479492
Sibilant Singular,hoax,victims,15.17436408996582,14.808741569519043
Sibilant Plural,hoaxes,victims,17.38937997817993,14.230880737304688
Regular Singular,joke,victims,14.252006530761719,12.448426246643066
Regular Plural,jokes,victims,14.275121688842773,13.351630210876465
Sibilant Singular,phase,classifier,13.30044174194336,22.806994199752808
Sibilant Plural,phases,classifier,14.699835777282715,26.223068237304688
Regular Singular,step,classifier,11.123847007751465,24.47151231765747
Regular Plural,steps,classifier,13.774685859680176,22.147581934928894
Sibilant Singular,hose,installer,15.389997482299805,16.564526081085205
Sibilant Plural,hoses,installer,17.309115409851074,20.112563133239746
Regular Singular,pipe,installer,13.29520320892334,19.021728992462158
Regular Plural,pipes,installer,12.959184408187866,18.971843719482422
Sibilant Singular,fox,chaser,11.775041580200195,10.557315111160278
Sibilant Plural,foxes,chaser,13.821070671081543,14.305224657058716
Regular Singular,wolf,chaser,12.483844757080078,11.0258309841156
Regular Plural,wolves,chaser,12.920150756835938,13.467389822006226
Sibilant Singular,mix,winner,12.655686378479004,16.248729705810547
Sibilant Plural,mixes,winner,16.925994396209717,15.532968521118164
Regular Singular,blend,winner,14.931677341461182,17.999855041503906
Regular Plural,blends,winner,16.031041622161865,17.348613739013672
Sibilant Singular,nose,rashes,13.644872665405273,12.53041696548462
Sibilant Plural,noses,rashes,16.15336275100708,16.268561363220215
Regular Singular,thigh,rashes,14.646047592163086,10.890080451965332
Regular Plural,thighs,rashes,16.145142316818237,16.767873764038086
Sibilant Singular,cause,evaluators,10.638847351074219,19.086833000183105
Sibilant Plural,causes,evaluators,12.720211029052734,18.248239994049072
Regular Singular,loss,evaluators,13.128414154052734,18.436375617980957
Regular Plural,losses,evaluators,14.970490455627441,21.660873889923096
Sibilant Singular,gaze,detector,14.77901840209961,13.377171277999878
Sibilant Plural,gazes,detector,18.79512071609497,15.883771419525146
Regular Singular,stare,detector,13.36358642578125,13.196259498596191
Regular Plural,stares,detector,15.017351150512695,14.952471494674683
Sibilant Singular,clause,finder,16.155423164367676,14.927529335021973
Sibilant Plural,clauses,finder,18.740736961364746,20.498543739318848
Regular Singular,article,finder,13.329814910888672,14.554195165634155
Regular Plural,articles,finder,14.212875366210938,18.671019554138184
Sibilant Singular,maze,decoder,16.36255168914795,19.33953094482422
Sibilant Plural,mazes,decoder,18.799482345581055,18.88080382347107
Regular Singular,web,decoder,14.580747604370117,10.664809226989746
Regular Plural,webs,decoder,21.989036560058594,11.762245416641235
Sibilant Singular,quiz,expert,14.259326934814453,12.120150566101074
Sibilant Plural,quizzes,expert,19.196758270263672,12.903908729553223
Regular Singular,puzzle,expert,13.871253967285156,11.14273452758789
Regular Plural,puzzles,expert,14.907034873962402,12.104586601257324
Sibilant Singular,fax,man,14.230620384216309,9.490979194641113
Sibilant Plural,faxes,man,16.19027328491211,10.644790649414062
Regular Singular,copy,man,11.212159156799316,12.774101257324219
Regular Plural,copies,man,13.938373565673828,12.165762901306152
Sibilant Singular,size,device,12.001760482788086,12.269704818725586
Sibilant Plural,sizes,device,14.843632698059082,13.268534660339355
Regular Singular,shape,device,13.345983505249023,10.797574996948242
Regular Plural,shapes,device,14.133854866027832,12.850507736206055
Sibilant Singular,praise,getter,11.812132835388184,21.35270118713379
Sibilant Plural,praises,getter,16.74764108657837,19.910459518432617
Regular Singular,compliment,getter,16.522939682006836,17.23814582824707
