Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.74926471710205,14.241292476654053
Sibilant Plural,blazes,protector,14.236180067062378,16.861290454864502
Regular Singular,spark,protector,13.317264556884766,11.780149221420288
Regular Plural,sparks,protector,14.093618154525757,15.832965850830078
Sibilant Singular,breeze,protector,12.077820777893066,15.92439603805542
Sibilant Plural,breezes,protector,14.66138243675232,17.44366216659546
Regular Singular,storm,protector,11.920793533325195,13.559350728988647
Regular Plural,storms,protector,13.391416549682617,17.724260330200195
Sibilant Singular,tax,receivers,12.118585586547852,14.58685851097107
Sibilant Plural,taxes,receivers,13.623405456542969,16.184874057769775
Regular Singular,toll,receivers,14.042630195617676,16.802295684814453
Regular Plural,tolls,receivers,18.687638759613037,16.443060636520386
Sibilant Singular,sex,disparities,11.981429100036621,19.98011016845703
Sibilant Plural,sexes,disparities,16.106050968170166,23.19796657562256
Regular Singular,gender,disparities,15.030104637145996,18.146578788757324
Regular Plural,genders,disparities,18.700894117355347,22.2543044090271
Sibilant Singular,vase,maker,13.98995304107666,12.135782718658447
Sibilant Plural,vases,maker,15.647313594818115,13.560580253601074
Regular Singular,pot,maker,11.710580825805664,9.575612783432007
Regular Plural,pots,maker,12.85413646697998,11.871845006942749
Sibilant Singular,hoax,victims,14.722503662109375,11.776124954223633
Sibilant Plural,hoaxes,victims,19.01372528076172,13.482553482055664
Regular Singular,joke,victims,11.641130447387695,12.330680847167969
Regular Plural,jokes,victims,12.749249458312988,13.674945831298828
Sibilant Singular,phase,classifier,12.813281059265137,20.967477321624756
Sibilant Plural,phases,classifier,14.482493877410889,22.808443069458008
Regular Singular,step,classifier,10.409517288208008,21.88725471496582
Regular Plural,steps,classifier,10.931854248046875,23.0950984954834
Sibilant Singular,hose,installer,12.85158634185791,16.108274221420288
Sibilant Plural,hoses,installer,14.392480850219727,20.733710765838623
Regular Singular,pipe,installer,12.362217903137207,15.866761684417725
Regular Plural,pipes,installer,13.0233154296875,20.031480312347412
Sibilant Singular,fox,chaser,11.666812896728516,12.862927198410034
Sibilant Plural,foxes,chaser,14.013073444366455,16.713583946228027
Regular Singular,wolf,chaser,11.496133804321289,12.19981598854065
Regular Plural,wolves,chaser,12.967214584350586,16.395514011383057
Sibilant Singular,mix,winner,12.241203308105469,14.257606506347656
Sibilant Plural,mixes,winner,15.839082956314087,15.905512809753418
Regular Singular,blend,winner,14.622211933135986,14.171072006225586
Regular Plural,blends,winner,16.045994758605957,14.505857467651367
Sibilant Singular,nose,rashes,10.777058601379395,14.9059157371521
Sibilant Plural,noses,rashes,15.244075298309326,16.01631259918213
Regular Singular,thigh,rashes,14.563284873962402,14.49651050567627
Regular Plural,thighs,rashes,13.720178604125977,15.309112548828125
Sibilant Singular,cause,evaluators,9.47430419921875,18.801007747650146
Sibilant Plural,causes,evaluators,11.458499908447266,17.343745231628418
Regular Singular,loss,evaluators,11.892473220825195,22.642971992492676
Regular Plural,losses,evaluators,13.60146164894104,20.873965740203857
Sibilant Singular,gaze,detector,12.661166191101074,13.045133352279663
Sibilant Plural,gazes,detector,16.195590496063232,15.759740352630615
Regular Singular,stare,detector,12.739380836486816,14.354055643081665
Regular Plural,stares,detector,14.034337520599365,15.358525514602661
