Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,20.14958381652832,16.6683030128479
Sibilant Plural,blazes,protector,23.063581466674805,18.94227170944214
Regular Singular,spark,protector,17.792237281799316,15.928812742233276
Regular Plural,sparks,protector,24.677677154541016,19.565608501434326
Sibilant Singular,breeze,protector,26.733370780944824,14.61189079284668
Sibilant Plural,breezes,protector,26.9412841796875,18.34247589111328
Regular Singular,storm,protector,16.871313095092773,15.468320846557617
Regular Plural,storms,protector,16.920806407928467,18.193377017974854
Sibilant Singular,tax,receivers,14.364368438720703,16.215522527694702
Sibilant Plural,taxes,receivers,17.677385330200195,15.527539730072021
Regular Singular,toll,receivers,22.06513500213623,15.112137794494629
Regular Plural,tolls,receivers,22.005382537841797,15.402292251586914
Sibilant Singular,sex,disparities,13.264036178588867,21.06242275238037
Sibilant Plural,sexes,disparities,16.101123094558716,20.08115816116333
Regular Singular,gender,disparities,20.74779510498047,21.88405418395996
Regular Plural,genders,disparities,17.789265155792236,22.80469799041748
Sibilant Singular,vase,maker,17.759435653686523,9.186173439025879
Sibilant Plural,vases,maker,13.866402626037598,14.192652702331543
Regular Singular,pot,maker,11.946111679077148,12.190963745117188
Regular Plural,pots,maker,20.459749221801758,13.155847549438477
Sibilant Singular,hoax,victims,18.318390369415283,13.015583992004395
Sibilant Plural,hoaxes,victims,22.630776405334473,13.50456428527832
Regular Singular,joke,victims,21.45856285095215,11.09616756439209
Regular Plural,jokes,victims,17.938121795654297,12.990673065185547
Sibilant Singular,phase,classifier,18.969449043273926,16.627195835113525
Sibilant Plural,phases,classifier,19.626258373260498,21.576093435287476
Regular Singular,step,classifier,13.959813117980957,17.985416412353516
Regular Plural,steps,classifier,17.451745986938477,22.400640726089478
Sibilant Singular,hose,installer,16.696186065673828,20.84947109222412
Sibilant Plural,hoses,installer,17.442859649658203,19.29956340789795
Regular Singular,pipe,installer,17.30902862548828,20.64638328552246
Regular Plural,pipes,installer,22.168105125427246,20.62372398376465
