Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,24.058974504470825,14.453968048095703
Sibilant Plural,blazes,protector,24.691386222839355,14.953375816345215
Regular Singular,spark,protector,18.809364318847656,14.517714500427246
Regular Plural,sparks,protector,25.13340473175049,15.207270622253418
Sibilant Singular,breeze,protector,20.777419328689575,14.930633544921875
Sibilant Plural,breezes,protector,25.75813388824463,14.49127721786499
Regular Singular,storm,protector,19.91518259048462,15.210027694702148
Regular Plural,storms,protector,24.22302484512329,14.579783916473389
Sibilant Singular,tax,receivers,18.315503120422363,15.719051361083984
Sibilant Plural,taxes,receivers,22.550419807434082,15.60439682006836
Regular Singular,toll,receivers,19.978089332580566,15.815272331237793
Regular Plural,tolls,receivers,22.225704193115234,15.617496013641357
Sibilant Singular,sex,disparities,17.842411041259766,17.203153610229492
Sibilant Plural,sexes,disparities,22.494885444641113,17.92244863510132
Regular Singular,gender,disparities,20.61554527282715,17.112135887145996
Regular Plural,genders,disparities,20.852238178253174,18.698466300964355
Sibilant Singular,vase,maker,21.58259868621826,12.241931438446045
Sibilant Plural,vases,maker,22.094487190246582,13.212487697601318
Regular Singular,pot,maker,16.987550735473633,11.716581344604492
Regular Plural,pots,maker,20.509235382080078,12.120429992675781
Sibilant Singular,hoax,victims,27.05304527282715,11.393365383148193
Sibilant Plural,hoaxes,victims,30.134809494018555,12.340030908584595
Regular Singular,joke,victims,19.5310320854187,10.592794418334961
Regular Plural,jokes,victims,20.290153980255127,13.337698221206665
Sibilant Singular,phase,classifier,21.899588584899902,19.814435482025146
Sibilant Plural,phases,classifier,22.81638264656067,20.72893238067627
Regular Singular,step,classifier,18.700922966003418,20.192827224731445
Regular Plural,steps,classifier,20.004075050354004,20.93569850921631
Sibilant Singular,hose,installer,19.18752384185791,19.985881328582764
Sibilant Plural,hoses,installer,19.83394503593445,20.968327522277832
Regular Singular,pipe,installer,20.366119384765625,20.168385982513428
Regular Plural,pipes,installer,22.226242303848267,21.173068046569824
Sibilant Singular,fox,chaser,15.486475944519043,14.781220436096191
Sibilant Plural,foxes,chaser,19.569549560546875,15.995099067687988
Regular Singular,wolf,chaser,18.85327959060669,14.611659049987793
Regular Plural,wolves,chaser,18.1805419921875,15.124282836914062
Sibilant Singular,mix,winner,16.73487663269043,9.529369592666626
Sibilant Plural,mixes,winner,21.598283767700195,10.151257276535034
Regular Singular,blend,winner,23.744624137878418,10.813689231872559
Regular Plural,blends,winner,25.24324607849121,10.272764921188354
Sibilant Singular,nose,rashes,20.708702087402344,15.561092376708984
Sibilant Plural,noses,rashes,18.363550901412964,16.48165988922119
Regular Singular,thigh,rashes,26.81956386566162,15.402421474456787
Regular Plural,thighs,rashes,26.535714864730835,15.90630578994751
Sibilant Singular,cause,evaluators,17.259761810302734,26.58295249938965
Sibilant Plural,causes,evaluators,22.599021911621094,24.47874164581299
Regular Singular,loss,evaluators,17.668304920196533,25.246948719024658
Regular Plural,losses,evaluators,22.61813497543335,24.606415271759033
Sibilant Singular,gaze,detector,20.17353582382202,15.166984558105469
Sibilant Plural,gazes,detector,21.283862113952637,14.831235885620117
Regular Singular,stare,detector,22.457955360412598,13.900015830993652
Regular Plural,stares,detector,25.895612716674805,14.22088098526001
Sibilant Singular,clause,finder,21.315707683563232,14.555855751037598
Sibilant Plural,clauses,finder,22.894785404205322,14.152276039123535
Regular Singular,article,finder,28.36733627319336,13.22913932800293
Regular Plural,articles,finder,27.095014572143555,13.009176254272461
Sibilant Singular,maze,decoder,21.363343000411987,24.291665077209473
Sibilant Plural,mazes,decoder,22.20960545539856,24.701955318450928
Regular Singular,web,decoder,19.459980010986328,23.119237899780273
Regular Plural,webs,decoder,17.263282775878906,25.053139686584473
