Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,12.901813268661499,13.732203006744385
Sibilant Plural,blazes,protector,13.902672529220581,14.465534448623657
Regular Singular,spark,protector,11.374332189559937,14.98006534576416
Regular Plural,sparks,protector,12.8136146068573,11.938808917999268
Sibilant Singular,breeze,protector,14.358018636703491,12.989199161529541
Sibilant Plural,breezes,protector,16.190252780914307,13.66195821762085
Regular Singular,storm,protector,9.849787712097168,11.625421524047852
Regular Plural,storms,protector,10.906508445739746,13.491644382476807
Sibilant Singular,tax,receivers,11.35623049736023,14.031927585601807
Sibilant Plural,taxes,receivers,13.471318483352661,11.811550855636597
Regular Singular,toll,receivers,11.37810754776001,14.723714113235474
Regular Plural,tolls,receivers,13.46348786354065,12.93191385269165
Sibilant Singular,sex,disparities,9.927977561950684,18.993701934814453
Sibilant Plural,sexes,disparities,15.318459510803223,15.46245002746582
Regular Singular,gender,disparities,12.476822137832642,14.17117691040039
Regular Plural,genders,disparities,13.848172426223755,14.661003112792969
Sibilant Singular,vase,maker,12.466241836547852,10.425432682037354
Sibilant Plural,vases,maker,13.905190229415894,10.758900165557861
Regular Singular,pot,maker,8.750460147857666,13.26671814918518
Regular Plural,pots,maker,10.594287872314453,10.882598876953125
Sibilant Singular,hoax,victims,12.147989988327026,16.910358905792236
Sibilant Plural,hoaxes,victims,14.406433820724487,11.994983673095703
Regular Singular,joke,victims,11.650765419006348,12.848832607269287
Regular Plural,jokes,victims,12.414860725402832,12.886054515838623
Sibilant Singular,phase,classifier,11.357067108154297,15.293164730072021
Sibilant Plural,phases,classifier,12.743997812271118,16.758041381835938
Regular Singular,step,classifier,7.733083486557007,19.09279155731201
Regular Plural,steps,classifier,8.722901821136475,17.98747730255127
Sibilant Singular,hose,installer,12.453877687454224,16.589815855026245
Sibilant Plural,hoses,installer,14.885310649871826,16.838876485824585
Regular Singular,pipe,installer,9.617448091506958,14.577311038970947
Regular Plural,pipes,installer,10.90175747871399,16.924959421157837
Sibilant Singular,fox,chaser,11.617448806762695,9.258541107177734
Sibilant Plural,foxes,chaser,13.942905902862549,13.091564416885376
Regular Singular,wolf,chaser,12.011810064315796,10.89572548866272
Regular Plural,wolves,chaser,13.214431047439575,11.308056116104126
Sibilant Singular,mix,winner,10.999410629272461,12.460816383361816
Sibilant Plural,mixes,winner,15.357636451721191,11.557391166687012
Regular Singular,blend,winner,14.837262392044067,14.844911813735962
Regular Plural,blends,winner,18.196791887283325,11.368776798248291
