Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.44482135772705,12.321864128112793
Sibilant Plural,blazes,protector,20.751212120056152,13.674619674682617
Regular Singular,spark,protector,13.840102195739746,12.088714599609375
Regular Plural,sparks,protector,18.27926993370056,12.319916725158691
Sibilant Singular,breeze,protector,15.45412802696228,13.610210418701172
Sibilant Plural,breezes,protector,18.142502784729004,12.69562816619873
Regular Singular,storm,protector,13.686894416809082,11.573037147521973
Regular Plural,storms,protector,19.787235260009766,11.756058692932129
Sibilant Singular,tax,receivers,12.515701293945312,13.560440063476562
Sibilant Plural,taxes,receivers,12.42438554763794,13.998089790344238
Regular Singular,toll,receivers,14.729532718658447,12.768360137939453
Regular Plural,tolls,receivers,18.727200031280518,13.926782608032227
Sibilant Singular,sex,disparities,13.291877746582031,10.795717239379883
Sibilant Plural,sexes,disparities,19.524356842041016,15.422881126403809
Regular Singular,gender,disparities,17.28791618347168,9.071693420410156
Regular Plural,genders,disparities,16.620901107788086,13.82114028930664
Sibilant Singular,vase,maker,14.549985885620117,7.3278350830078125
Sibilant Plural,vases,maker,16.169541358947754,11.857172012329102
Regular Singular,pot,maker,13.830060958862305,12.730331420898438
Regular Plural,pots,maker,15.685101509094238,11.99631118774414
Sibilant Singular,hoax,victims,23.53898334503174,13.099754333496094
Sibilant Plural,hoaxes,victims,27.77301597595215,14.76075553894043
Regular Singular,joke,victims,15.320991516113281,10.416576385498047
Regular Plural,jokes,victims,14.871808052062988,12.308804512023926
Sibilant Singular,phase,classifier,11.763283729553223,8.989181876182556
Sibilant Plural,phases,classifier,14.78948450088501,10.540754318237305
Regular Singular,step,classifier,12.280431747436523,12.14374852180481
Regular Plural,steps,classifier,12.780439376831055,14.227325916290283
Sibilant Singular,hose,installer,13.714628219604492,16.598691940307617
Sibilant Plural,hoses,installer,18.439095497131348,13.235762596130371
Regular Singular,pipe,installer,14.986797332763672,12.276313781738281
Regular Plural,pipes,installer,17.89100170135498,12.306090354919434
Sibilant Singular,fox,chaser,13.724488258361816,15.20295763015747
Sibilant Plural,foxes,chaser,17.20174217224121,16.422325134277344
Regular Singular,wolf,chaser,17.279155731201172,12.026849746704102
Regular Plural,wolves,chaser,21.680219650268555,12.357934951782227
Sibilant Singular,mix,winner,14.357272148132324,15.752477645874023
Sibilant Plural,mixes,winner,18.726689338684082,13.493559837341309
Regular Singular,blend,winner,16.309802055358887,13.161276817321777
Regular Plural,blends,winner,17.784409523010254,14.48516845703125
Sibilant Singular,nose,rashes,13.599430084228516,19.126763343811035
Sibilant Plural,noses,rashes,18.19735336303711,15.34629774093628
Regular Singular,thigh,rashes,17.49321460723877,12.949084758758545
Regular Plural,thighs,rashes,19.51364827156067,14.227735996246338
Sibilant Singular,cause,evaluators,15.399002075195312,14.009285926818848
Sibilant Plural,causes,evaluators,17.59058666229248,14.305066108703613
Regular Singular,loss,evaluators,14.935583114624023,13.281124114990234
Regular Plural,losses,evaluators,15.662609577178955,15.259614765644073
Sibilant Singular,gaze,detector,14.893939018249512,9.042696952819824
Sibilant Plural,gazes,detector,18.918153762817383,11.659448623657227
Regular Singular,stare,detector,13.31468677520752,13.04560661315918
Regular Plural,stares,detector,16.227535247802734,12.323490142822266
Sibilant Singular,clause,finder,15.513298034667969,12.303730964660645
Sibilant Plural,clauses,finder,19.275206089019775,18.363649368286133
Regular Singular,article,finder,13.745821952819824,10.788574457168579
Regular Plural,articles,finder,15.970682144165039,14.081268310546875
Sibilant Singular,maze,decoder,13.443066596984863,13.207985401153564
Sibilant Plural,mazes,decoder,18.610302925109863,15.070923805236816
Regular Singular,web,decoder,12.976531982421875,10.399198532104492
Regular Plural,webs,decoder,16.65598964691162,11.402485132217407
Sibilant Singular,quiz,expert,13.154170989990234,9.809272766113281
Sibilant Plural,quizzes,expert,17.699180603027344,11.277063369750977
Regular Singular,puzzle,expert,17.41498851776123,7.206836700439453
Regular Plural,puzzles,expert,16.315900564193726,10.56297779083252
Sibilant Singular,fax,man,16.193552017211914,8.377330780029297
Sibilant Plural,faxes,man,19.400184154510498,10.421348571777344
Regular Singular,copy,man,13.676849365234375,9.44473934173584
Regular Plural,copies,man,15.115677833557129,13.968183517456055
Sibilant Singular,size,device,11.67139720916748,11.825366020202637
Sibilant Plural,sizes,device,15.48093032836914,10.925626754760742
Regular Singular,shape,device,16.71185302734375,12.50881576538086
Regular Plural,shapes,device,14.345624923706055,13.04820728302002
Sibilant Singular,praise,getter,16.364530563354492,15.405187606811523
Sibilant Plural,praises,getter,19.025909185409546,15.533052921295166
Regular Singular,compliment,getter,15.274326801300049,14.250309944152832
Regular Plural,compliments,getter,14.624460220336914,17.523584365844727
Sibilant Singular,prize,recipient,15.081676006317139,12.070581436157227
Sibilant Plural,prizes,recipient,17.330363273620605,13.122551918029785
Regular Singular,award,recipient,18.750974655151367,8.386075973510742
Regular Plural,awards,recipient,18.142963886260986,10.674032211303711
Sibilant Singular,box,lifters,14.03034782409668,21.96392250061035
Sibilant Plural,boxes,lifters,17.946699142456055,20.553585052490234
Regular Singular,pack,lifters,13.557107925415039,18.105467319488525
Regular Plural,packs,lifters,18.158729553222656,16.374799728393555
Sibilant Singular,rose,gardeners,12.222214698791504,13.20798110961914
Sibilant Plural,roses,gardeners,16.85737705230713,17.89469814300537
Regular Singular,flower,gardeners,18.804237365722656,13.22396469116211
Regular Plural,flowers,gardeners,15.913870334625244,12.529850959777832
Sibilant Singular,bruise,healer,17.29223871231079,17.065563201904297
Sibilant Plural,bruises,healer,18.394693851470947,14.912931442260742
Regular Singular,sore,healer,16.439098358154297,15.746552467346191
Regular Plural,sores,healer,18.220792770385742,12.968990325927734
Sibilant Singular,rise,addict,15.662178039550781,14.31227970123291
Sibilant Plural,rises,addict,23.672727584838867,15.94810676574707
Regular Singular,drop,addict,11.26854133605957,11.818181991577148
Regular Plural,drops,addict,18.11161994934082,12.094234466552734
