Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.943259239196777,13.520467758178711
Sibilant Plural,hoses,collector,16.701278686523438,16.45737385749817
Regular Singular,hoe,collector,10.731805801391602,16.033844232559204
Regular Plural,hoes,collector,12.943259239196777,13.520467758178711
Sibilant Singular,rose,organizer,10.298772811889648,16.37917137145996
Sibilant Plural,roses,organizer,12.70521354675293,17.708558082580566
Regular Singular,row,organizer,12.366761207580566,12.958062410354614
Regular Plural,rows,organizer,10.298772811889648,16.37917137145996
Sibilant Singular,rise,addict,11.17423152923584,20.976179122924805
Sibilant Plural,rises,addict,12.726393699645996,17.469327926635742
Regular Singular,lie,addict,10.991584777832031,18.29732608795166
Regular Plural,lies,addict,11.529500961303711,18.063990592956543
Sibilant Singular,clause,hider,13.182537078857422,20.046610832214355
Sibilant Plural,clauses,hider,15.935182094573975,20.161293029785156
Regular Singular,claw,hider,13.64981746673584,13.492852210998535
Regular Plural,claws,hider,13.182537078857422,20.046610832214355
Sibilant Singular,gaze,attractor,13.0518217086792,19.94757080078125
Sibilant Plural,gazes,attractor,15.681763648986816,25.06644058227539
Regular Singular,guy,attractor,10.233566284179688,19.76787281036377
Regular Plural,guys,attractor,9.896377563476562,21.57862091064453
Sibilant Singular,box,horde,10.929359436035156,15.966353416442871
Sibilant Plural,boxes,horde,13.699329376220703,13.203590631484985
Regular Singular,book,horde,10.313573837280273,16.435225009918213
Regular Plural,books,horde,12.059242248535156,17.227982997894287
Sibilant Singular,sex,distinctions,11.961625099182129,15.373164772987366
Sibilant Plural,sexes,distinctions,18.190521717071533,14.042556524276733
Regular Singular,sack,distinctions,14.499994277954102,16.214519500732422
Regular Plural,sacks,distinctions,14.163783073425293,18.12380051612854
Sibilant Singular,tax,repayment,13.039453506469727,8.341798543930054
Sibilant Plural,taxes,repayment,13.907817840576172,11.251651763916016
Regular Singular,tack,repayment,13.570491790771484,16.613965272903442
Regular Plural,tacks,repayment,13.039453506469727,8.341798543930054
Sibilant Singular,size,device,9.520347595214844,13.187268257141113
Sibilant Plural,sizes,device,15.844569206237793,15.096837997436523
Regular Singular,sigh,device,11.896172523498535,11.079536437988281
Regular Plural,sighs,device,9.520347595214844,13.187268257141113
Sibilant Singular,praise,getter,11.80015754699707,20.442556381225586
Sibilant Plural,praises,getter,17.38912582397461,21.533406257629395
Regular Singular,tray,getter,12.850533485412598,15.42059326171875
Regular Plural,trays,getter,14.225979804992676,16.69877052307129
Sibilant Singular,bruise,expert,15.427727699279785,12.384364128112793
Sibilant Plural,bruises,expert,15.287258505821228,13.796266555786133
Regular Singular,brew,expert,14.45351791381836,12.740518569946289
Regular Plural,brews,expert,15.427727699279785,12.384364128112793
Sibilant Singular,raise,seeker,11.427154541015625,17.466294765472412
Sibilant Plural,raises,seeker,11.95710277557373,18.19274139404297
Regular Singular,ray,seeker,10.6063871383667,16.9383807182312
Regular Plural,rays,seeker,11.427154541015625,17.466294765472412
Sibilant Singular,blaze,admirer,15.294891357421875,17.575806140899658
Sibilant Plural,blazes,admirer,16.52466654777527,14.13988471031189
Regular Singular,play,admirer,10.10094928741455,17.513455152511597
Regular Plural,plays,admirer,10.689014434814453,20.3095383644104
Sibilant Singular,vase,steward,16.509347915649414,14.142434120178223
Sibilant Plural,vases,steward,14.382870197296143,16.45564079284668
Regular Singular,bee,steward,4.801476955413818,17.306825637817383
Regular Plural,bees,steward,12.064866065979004,13.362730026245117
Sibilant Singular,fox,avoiders,12.036239624023438,25.34440803527832
Sibilant Plural,foxes,avoiders,14.411136627197266,20.608413696289062
Regular Singular,shock,avoiders,13.420772552490234,23.93575668334961
Regular Plural,shocks,avoiders,14.984676361083984,24.192660331726074
Sibilant Singular,maze,expert,13.826175689697266,11.302488327026367
Sibilant Plural,mazes,expert,19.45764684677124,11.548860549926758
Regular Singular,bay,expert,12.779638290405273,12.180678367614746
Regular Plural,bays,expert,15.23163890838623,12.196281433105469
Sibilant Singular,breeze,protector,14.663923263549805,15.93828296661377
Sibilant Plural,breezes,protector,18.13595938682556,19.37294292449951
Regular Singular,tree,protector,12.116570472717285,14.30174446105957
Regular Plural,trees,protector,11.774517059326172,15.663707733154297
Sibilant Singular,cause,evaluator,8.4866304397583,17.794522285461426
Sibilant Plural,causes,evaluator,12.624957084655762,19.871573448181152
Regular Singular,paw,evaluator,13.847915649414062,21.922547817230225
Regular Plural,paws,evaluator,9.970048904418945,24.81408929824829
Sibilant Singular,phase,fanatic,13.227967262268066,10.908629417419434
Sibilant Plural,phases,fanatic,16.46527099609375,13.512407302856445
Regular Singular,fee,fanatic,13.702509880065918,18.927610397338867
Regular Plural,fees,fanatic,17.282833099365234,12.746570587158203
Sibilant Singular,fax,man,12.558056831359863,9.276870727539062
Sibilant Plural,faxes,man,18.282631874084473,10.132902145385742
Regular Singular,shack,man,15.469855308532715,8.612537384033203
Regular Plural,shacks,man,16.126113891601562,8.149563789367676
