Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.843286275863647,14.014986276626587
Sibilant Plural,hoses,collector,14.655181646347046,12.413028717041016
Regular Singular,hoe,collector,4.832115411758423,17.552501440048218
Regular Plural,hoes,collector,10.843286275863647,14.014986276626587
Sibilant Singular,rose,organizer,11.550051212310791,15.238293409347534
Sibilant Plural,roses,organizer,14.892139911651611,14.575931072235107
Regular Singular,row,organizer,9.367635250091553,13.850241422653198
Regular Plural,rows,organizer,11.550051212310791,15.238293409347534
Sibilant Singular,rise,addict,11.838128089904785,13.029211282730103
Sibilant Plural,rises,addict,15.317477703094482,15.817127227783203
Regular Singular,lie,addict,7.673854351043701,20.59563636779785
Regular Plural,lies,addict,13.075320720672607,13.190851926803589
Sibilant Singular,clause,hider,13.49460506439209,12.61336088180542
Sibilant Plural,clauses,hider,16.29509949684143,14.168261766433716
Regular Singular,claw,hider,11.066829681396484,17.99096441268921
Regular Plural,claws,hider,13.49460506439209,12.61336088180542
Sibilant Singular,gaze,attractor,14.079971313476562,0.0
Sibilant Plural,gazes,attractor,18.755974292755127,0.0
Regular Singular,guy,attractor,10.955839157104492,0.0
Regular Plural,guys,attractor,11.546329975128174,0.0
Sibilant Singular,box,horde,10.681293249130249,12.609014511108398
Sibilant Plural,boxes,horde,14.578206777572632,11.555333852767944
Regular Singular,book,horde,8.685066938400269,13.140408039093018
Regular Plural,books,horde,9.939690351486206,12.611331462860107
Sibilant Singular,sex,distinctions,11.23581600189209,13.862295389175415
Sibilant Plural,sexes,distinctions,20.278975248336792,18.050950527191162
Regular Singular,sack,distinctions,13.028215408325195,18.179946660995483
Regular Plural,sacks,distinctions,13.8507661819458,15.021376609802246
Sibilant Singular,tax,repayment,11.691287517547607,17.67973041534424
Sibilant Plural,taxes,repayment,15.917218685150146,15.932795286178589
Regular Singular,tack,repayment,11.104261875152588,17.333237886428833
Regular Plural,tacks,repayment,11.691287517547607,17.67973041534424
Sibilant Singular,size,device,9.277458906173706,11.247254371643066
Sibilant Plural,sizes,device,12.75126338005066,11.971206188201904
Regular Singular,sigh,device,8.591837167739868,12.17551040649414
Regular Plural,sighs,device,9.277458906173706,11.247254371643066
Sibilant Singular,praise,getter,12.972522735595703,15.29674482345581
Sibilant Plural,praises,getter,17.45557165145874,14.735520839691162
Regular Singular,tray,getter,10.10791301727295,17.89263606071472
Regular Plural,trays,getter,16.394450187683105,14.83542776107788
Sibilant Singular,bruise,expert,14.701447010040283,13.047576189041138
Sibilant Plural,bruises,expert,16.05564308166504,11.344456672668457
Regular Singular,brew,expert,11.005022048950195,15.506498336791992
Regular Plural,brews,expert,14.701447010040283,13.047576189041138
Sibilant Singular,raise,seeker,11.509096384048462,16.56964683532715
Sibilant Plural,raises,seeker,14.405185461044312,14.216078281402588
Regular Singular,ray,seeker,8.859808444976807,14.554853439331055
Regular Plural,rays,seeker,11.509096384048462,16.56964683532715
Sibilant Singular,blaze,admirer,14.10737657546997,15.67791485786438
Sibilant Plural,blazes,admirer,16.547685146331787,15.855982542037964
Regular Singular,play,admirer,8.877788543701172,16.942989110946655
Regular Plural,plays,admirer,11.742777347564697,14.842064142227173
Sibilant Singular,vase,steward,15.306615352630615,13.488189697265625
Sibilant Plural,vases,steward,17.741400241851807,13.45194959640503
Regular Singular,bee,steward,7.9467151165008545,12.882524967193604
Regular Plural,bees,steward,13.46176791191101,12.91814374923706
Sibilant Singular,fox,avoiders,13.47692584991455,0.0
Sibilant Plural,foxes,avoiders,16.127346754074097,0.0
Regular Singular,shock,avoiders,12.00169849395752,0.0
Regular Plural,shocks,avoiders,15.32579231262207,0.0
Sibilant Singular,maze,expert,14.959154605865479,16.921437978744507
Sibilant Plural,mazes,expert,17.481149196624756,10.640460014343262
Regular Singular,bay,expert,7.482479810714722,14.517216920852661
Regular Plural,bays,expert,14.739577054977417,8.522828102111816
Sibilant Singular,breeze,protector,14.642566680908203,13.605892658233643
Sibilant Plural,breezes,protector,17.478615045547485,11.87902307510376
Regular Singular,tree,protector,10.389454364776611,20.448535680770874
Regular Plural,trees,protector,13.800306797027588,11.837554931640625
Sibilant Singular,cause,evaluator,9.142555713653564,0.0
Sibilant Plural,causes,evaluator,12.021380424499512,0.0
Regular Singular,paw,evaluator,9.331894636154175,0.0
Regular Plural,paws,evaluator,11.671072244644165,0.0
Sibilant Singular,phase,fanatic,13.807544946670532,15.62274169921875
Sibilant Plural,phases,fanatic,17.19896960258484,12.626205444335938
Regular Singular,fee,fanatic,8.68151569366455,16.552262544631958
Regular Plural,fees,fanatic,17.529354095458984,12.142107486724854
Sibilant Singular,fax,man,16.329746961593628,5.88175106048584
Sibilant Plural,faxes,man,18.802284479141235,7.667385578155518
Regular Singular,shack,man,14.134353399276733,6.378910064697266
Regular Plural,shacks,man,17.276851415634155,6.289336681365967
