Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,14.773106575012207,13.976453304290771
Sibilant Plural,hoses,collector,20.70563793182373,16.235992431640625
Regular Singular,hoe,collector,16.174932956695557,14.227791786193848
Regular Plural,hoes,collector,15.806404113769531,17.061996459960938
Sibilant Singular,rose,organizer,9.839882850646973,19.675390243530273
Sibilant Plural,roses,organizer,11.430994033813477,19.11424207687378
Regular Singular,row,organizer,11.639957427978516,17.92012119293213
Regular Plural,rows,organizer,10.117648124694824,18.54154682159424
Sibilant Singular,rise,addict,12.03270149230957,18.924306869506836
Sibilant Plural,rises,addict,15.579434394836426,15.74421501159668
Regular Singular,lie,addict,11.100614547729492,20.20485258102417
Regular Plural,lies,addict,8.647247314453125,18.024231910705566
Sibilant Singular,clause,hider,17.07077646255493,19.064644813537598
Sibilant Plural,clauses,hider,25.28075361251831,20.444045066833496
Regular Singular,claw,hider,17.247641563415527,18.607112884521484
Regular Plural,claws,hider,11.719825744628906,20.59513568878174
Sibilant Singular,gaze,attractor,11.718347549438477,21.489916801452637
Sibilant Plural,gazes,attractor,21.97023344039917,20.13137912750244
Regular Singular,guy,attractor,10.152400970458984,19.875221252441406
Regular Plural,guys,attractor,11.464689254760742,20.67223358154297
Sibilant Singular,box,horde,8.031179428100586,24.8150691986084
Sibilant Plural,boxes,horde,9.657188415527344,26.340312480926514
Regular Singular,book,horde,8.582374572753906,24.327014923095703
Regular Plural,books,horde,11.36418342590332,25.799410343170166
Sibilant Singular,sex,distinctions,10.967615127563477,13.712968349456787
Sibilant Plural,sexes,distinctions,14.24669361114502,13.526634693145752
Regular Singular,sack,distinctions,14.123065948486328,14.017945289611816
Regular Plural,sacks,distinctions,14.78803539276123,13.778934478759766
Sibilant Singular,tax,repayment,12.061513900756836,13.379390239715576
Sibilant Plural,taxes,repayment,12.696941375732422,15.726313591003418
Regular Singular,tack,repayment,14.990693092346191,16.062807083129883
Regular Plural,tacks,repayment,16.884703636169434,16.40158462524414
Sibilant Singular,size,device,10.594986915588379,11.438551902770996
Sibilant Plural,sizes,device,14.07817554473877,11.16858959197998
Regular Singular,sigh,device,12.079516410827637,14.175305366516113
Regular Plural,sighs,device,14.480327606201172,9.532459259033203
Sibilant Singular,praise,getter,12.881401062011719,20.624045372009277
Sibilant Plural,praises,getter,12.220586776733398,19.89980697631836
Regular Singular,tray,getter,9.5921049118042,20.001602172851562
Regular Plural,trays,getter,17.90186357498169,19.669008255004883
Sibilant Singular,bruise,expert,13.124506950378418,10.852108001708984
Sibilant Plural,bruises,expert,12.937893390655518,11.80322265625
Regular Singular,brew,expert,13.72278904914856,10.231334686279297
Regular Plural,brews,expert,17.5889835357666,11.938146591186523
Sibilant Singular,raise,seeker,11.936129570007324,19.194315910339355
Sibilant Plural,raises,seeker,9.770075798034668,19.03467845916748
Regular Singular,ray,seeker,15.602224349975586,18.189714431762695
Regular Plural,rays,seeker,11.726242065429688,19.880268096923828
Sibilant Singular,blaze,admirer,16.897467613220215,17.950181484222412
Sibilant Plural,blazes,admirer,22.328294277191162,15.698582172393799
Regular Singular,play,admirer,10.217607498168945,15.259824991226196
Regular Plural,plays,admirer,11.023235321044922,15.929892539978027
Sibilant Singular,vase,steward,13.945981979370117,14.832001686096191
Sibilant Plural,vases,steward,15.21289348602295,15.418543815612793
Regular Singular,bee,steward,10.578224182128906,14.933377265930176
Regular Plural,bees,steward,11.349477767944336,15.468100547790527
Sibilant Singular,fox,avoiders,10.307867050170898,22.99580669403076
Sibilant Plural,foxes,avoiders,13.48305606842041,19.4013671875
Regular Singular,shock,avoiders,12.142800331115723,24.12465000152588
Regular Plural,shocks,avoiders,16.257604122161865,22.204257011413574
Sibilant Singular,maze,expert,14.809221744537354,10.843697547912598
Sibilant Plural,mazes,expert,20.682589530944824,10.825532913208008
Regular Singular,bay,expert,10.505355834960938,10.31179428100586
Regular Plural,bays,expert,13.816027641296387,10.875287055969238
Sibilant Singular,breeze,protector,12.277297019958496,16.599872589111328
Sibilant Plural,breezes,protector,15.301467418670654,15.316300392150879
Regular Singular,tree,protector,10.550209999084473,16.165104866027832
Regular Plural,trees,protector,10.566649436950684,17.11446714401245
Sibilant Singular,cause,evaluator,11.252519607543945,21.594294548034668
Sibilant Plural,causes,evaluator,9.387591361999512,22.271259307861328
Regular Singular,paw,evaluator,11.497597694396973,19.73830509185791
Regular Plural,paws,evaluator,12.207761764526367,22.69109058380127
Sibilant Singular,phase,fanatic,10.952493667602539,18.04986000061035
Sibilant Plural,phases,fanatic,18.598069190979004,15.400832176208496
Regular Singular,fee,fanatic,13.455772399902344,17.448593616485596
Regular Plural,fees,fanatic,15.338963270187378,15.262670993804932
Sibilant Singular,fax,man,16.592918395996094,7.543689727783203
Sibilant Plural,faxes,man,19.441909790039062,9.328719139099121
Regular Singular,shack,man,15.830163955688477,8.289414405822754
Regular Plural,shacks,man,18.48927402496338,10.154899597167969
