Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,17.555879592895508,11.539941787719727
Sibilant Plural,hoses,collector,18.562259674072266,12.975811958312988
Regular Singular,hoe,collector,12.133232116699219,11.909402847290039
Regular Plural,hoes,collector,18.744935035705566,11.684492111206055
Sibilant Singular,rose,organizer,13.416923522949219,17.090981006622314
Sibilant Plural,roses,organizer,18.152377128601074,18.17089033126831
Regular Singular,row,organizer,12.880617141723633,18.45170307159424
Regular Plural,rows,organizer,14.12077808380127,19.235429286956787
Sibilant Singular,rise,addict,14.0333890914917,16.183300018310547
Sibilant Plural,rises,addict,17.466763019561768,16.02484893798828
Regular Singular,lie,addict,13.610625267028809,15.562826156616211
Regular Plural,lies,addict,12.431770324707031,15.830806732177734
Sibilant Singular,clause,hider,22.45436382293701,17.123502731323242
Sibilant Plural,clauses,hider,33.21778869628906,16.731741905212402
Regular Singular,claw,hider,22.84004783630371,17.05019521713257
Regular Plural,claws,hider,20.095157146453857,17.86484670639038
Sibilant Singular,gaze,attractor,21.811311721801758,19.61667251586914
Sibilant Plural,gazes,attractor,23.69351863861084,18.3843936920166
Regular Singular,guy,attractor,14.399949073791504,20.453843116760254
Regular Plural,guys,attractor,19.889873504638672,18.899850845336914
Sibilant Singular,box,horde,12.650794982910156,17.91919708251953
Sibilant Plural,boxes,horde,15.870530128479004,18.55329990386963
Regular Singular,book,horde,12.88045883178711,18.115755081176758
Regular Plural,books,horde,12.488978385925293,19.97461223602295
Sibilant Singular,sex,distinctions,15.846658706665039,11.572171211242676
Sibilant Plural,sexes,distinctions,19.779897689819336,13.86656665802002
Regular Singular,sack,distinctions,20.24023723602295,12.572134017944336
Regular Plural,sacks,distinctions,21.216875076293945,14.348859786987305
Sibilant Singular,tax,repayment,19.452805519104004,15.993958950042725
Sibilant Plural,taxes,repayment,24.86573886871338,15.709567070007324
Regular Singular,tack,repayment,18.974889755249023,16.159273386001587
Regular Plural,tacks,repayment,18.962491035461426,16.000406980514526
Sibilant Singular,size,device,15.500661849975586,11.425788879394531
Sibilant Plural,sizes,device,19.926240921020508,11.844219207763672
Regular Singular,sigh,device,20.293365478515625,11.612897872924805
Regular Plural,sighs,device,15.185434341430664,13.841938972473145
Sibilant Singular,praise,getter,27.12037467956543,19.664786338806152
Sibilant Plural,praises,getter,27.81171226501465,19.65939712524414
Regular Singular,tray,getter,21.40730381011963,20.125950813293457
Regular Plural,trays,getter,19.286295413970947,20.40595245361328
Sibilant Singular,bruise,expert,25.40956211090088,12.36302375793457
Sibilant Plural,bruises,expert,25.887732982635498,12.260313987731934
Regular Singular,brew,expert,14.997756958007812,11.522395133972168
Regular Plural,brews,expert,16.37350845336914,12.091352462768555
Sibilant Singular,raise,seeker,20.225982666015625,20.47492504119873
Sibilant Plural,raises,seeker,21.101645469665527,20.491914749145508
Regular Singular,ray,seeker,14.957719802856445,21.98141384124756
Regular Plural,rays,seeker,13.87643814086914,21.397216796875
Sibilant Singular,blaze,admirer,22.641201972961426,20.666194915771484
Sibilant Plural,blazes,admirer,25.06163454055786,18.426779747009277
Regular Singular,play,admirer,12.77458667755127,21.507896423339844
Regular Plural,plays,admirer,18.724401473999023,20.365068435668945
Sibilant Singular,vase,steward,20.46327018737793,16.798297882080078
Sibilant Plural,vases,steward,19.736572742462158,18.726805686950684
Regular Singular,bee,steward,12.213871002197266,15.901326179504395
Regular Plural,bees,steward,16.0182204246521,16.872864723205566
Sibilant Singular,fox,avoiders,11.948746681213379,17.489447116851807
Sibilant Plural,foxes,avoiders,21.188182830810547,15.662298202514648
Regular Singular,shock,avoiders,19.631912231445312,18.920872688293457
Regular Plural,shocks,avoiders,22.50575065612793,17.283406257629395
Sibilant Singular,maze,expert,20.769989013671875,12.247293472290039
Sibilant Plural,mazes,expert,23.365185260772705,12.509430885314941
Regular Singular,bay,expert,13.488661766052246,12.313010215759277
Regular Plural,bays,expert,17.6106014251709,12.104948043823242
Sibilant Singular,breeze,protector,19.665664672851562,14.263728141784668
Sibilant Plural,breezes,protector,30.912725925445557,16.106447219848633
Regular Singular,tree,protector,15.170031547546387,14.725748062133789
Regular Plural,trees,protector,15.548186302185059,15.486246109008789
Sibilant Singular,cause,evaluator,12.158053398132324,29.099531173706055
Sibilant Plural,causes,evaluator,22.29570960998535,28.523807525634766
Regular Singular,paw,evaluator,21.71674633026123,27.42732810974121
Regular Plural,paws,evaluator,20.05077075958252,29.75936794281006
Sibilant Singular,phase,fanatic,18.2030611038208,18.15623950958252
Sibilant Plural,phases,fanatic,21.648582458496094,18.465792655944824
Regular Singular,fee,fanatic,20.485928535461426,18.446683883666992
Regular Plural,fees,fanatic,18.92227840423584,19.306373596191406
Sibilant Singular,fax,man,14.859484672546387,11.198509216308594
Sibilant Plural,faxes,man,23.168585777282715,11.328922271728516
Regular Singular,shack,man,19.193416595458984,9.484868049621582
Regular Plural,shacks,man,21.55947494506836,10.377401351928711
