Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.493097305297852,12.859235763549805
Sibilant Plural,hoses,collector,15.327932834625244,13.057973146438599
Regular Singular,hoe,collector,13.779925346374512,12.455240249633789
Regular Plural,hoes,collector,15.396700859069824,14.056856632232666
Sibilant Singular,rose,organizer,10.692020416259766,19.117886543273926
Sibilant Plural,roses,organizer,12.759766578674316,20.49003791809082
Regular Singular,row,organizer,11.603801727294922,18.901844024658203
Regular Plural,rows,organizer,13.009218215942383,21.720208644866943
Sibilant Singular,rise,addict,11.253864288330078,16.997581481933594
Sibilant Plural,rises,addict,13.895524501800537,20.966649055480957
Regular Singular,lie,addict,10.328710556030273,16.284847259521484
Regular Plural,lies,addict,11.644253730773926,18.205368041992188
Sibilant Singular,clause,hider,13.724472999572754,21.883824348449707
Sibilant Plural,clauses,hider,16.360595703125,21.433683395385742
Regular Singular,claw,hider,14.236495018005371,16.11379337310791
Regular Plural,claws,hider,13.075728416442871,18.683039665222168
Sibilant Singular,gaze,attractor,12.355457305908203,19.79096508026123
Sibilant Plural,gazes,attractor,15.223537921905518,24.034893035888672
Regular Singular,guy,attractor,10.118879318237305,22.38066864013672
Regular Plural,guys,attractor,10.061083793640137,21.80152416229248
Sibilant Singular,box,horde,9.681259155273438,18.3228360414505
Sibilant Plural,boxes,horde,11.505195617675781,20.885155081748962
Regular Singular,book,horde,9.653707504272461,19.062413454055786
Regular Plural,books,horde,10.37730598449707,20.213068962097168
Sibilant Singular,sex,distinctions,11.536613464355469,14.218742609024048
Sibilant Plural,sexes,distinctions,17.055764198303223,17.322957515716553
Regular Singular,sack,distinctions,12.81787395477295,16.780648708343506
Regular Plural,sacks,distinctions,13.450544834136963,16.130945920944214
Sibilant Singular,tax,repayment,12.010937690734863,8.536243677139282
Sibilant Plural,taxes,repayment,12.941876411437988,12.841604709625244
Regular Singular,tack,repayment,14.153022766113281,16.13496732711792
Regular Plural,tacks,repayment,15.051608085632324,19.886117458343506
Sibilant Singular,size,device,11.418862342834473,11.538576126098633
Sibilant Plural,sizes,device,13.340461730957031,13.70888900756836
Regular Singular,sigh,device,12.7321138381958,15.587028503417969
Regular Plural,sighs,device,14.147867679595947,14.337865829467773
Sibilant Singular,praise,getter,12.621861457824707,19.187597274780273
Sibilant Plural,praises,getter,14.379756212234497,20.903178215026855
Regular Singular,tray,getter,12.625244140625,20.249934196472168
Regular Plural,trays,getter,14.103707313537598,20.51313829421997
Sibilant Singular,bruise,expert,13.535559892654419,13.097185134887695
Sibilant Plural,bruises,expert,13.306417107582092,13.762228965759277
Regular Singular,brew,expert,13.958725929260254,12.8866548538208
Regular Plural,brews,expert,15.590252876281738,15.274923324584961
Sibilant Singular,raise,seeker,11.205784797668457,18.611342430114746
Sibilant Plural,raises,seeker,12.58148717880249,12.491320371627808
Regular Singular,ray,seeker,13.399723529815674,18.416193962097168
Regular Plural,rays,seeker,12.845175743103027,20.673331260681152
Sibilant Singular,blaze,admirer,13.446017980575562,16.09260606765747
Sibilant Plural,blazes,admirer,13.712292671203613,17.350780963897705
Regular Singular,play,admirer,8.596165657043457,16.180570125579834
Regular Plural,plays,admirer,11.189847946166992,14.814457416534424
Sibilant Singular,vase,steward,14.184659957885742,17.655339241027832
Sibilant Plural,vases,steward,14.957124710083008,21.42938995361328
Regular Singular,bee,steward,12.115135192871094,19.32394790649414
Regular Plural,bees,steward,12.516325950622559,19.890151977539062
Sibilant Singular,fox,avoiders,11.425019264221191,21.61421012878418
Sibilant Plural,foxes,avoiders,13.227999687194824,23.17887020111084
Regular Singular,shock,avoiders,12.552287101745605,21.70851230621338
Regular Plural,shocks,avoiders,14.705499410629272,22.44902229309082
Sibilant Singular,maze,expert,15.612103462219238,12.133172988891602
Sibilant Plural,mazes,expert,15.779798746109009,13.209463119506836
Regular Singular,bay,expert,12.388442993164062,12.188305854797363
Regular Plural,bays,expert,15.571873664855957,14.778694152832031
Sibilant Singular,breeze,protector,12.62540054321289,18.158971309661865
Sibilant Plural,breezes,protector,14.467234134674072,19.13945436477661
Regular Singular,tree,protector,10.35986042022705,15.977104187011719
Regular Plural,trees,protector,11.014853477478027,21.175312995910645
Sibilant Singular,cause,evaluator,10.009833335876465,19.456558227539062
Sibilant Plural,causes,evaluator,11.679381370544434,17.62680196762085
Regular Singular,paw,evaluator,13.778703689575195,20.627534866333008
Regular Plural,paws,evaluator,13.39686107635498,25.53096103668213
Sibilant Singular,phase,fanatic,13.011500358581543,17.075648307800293
Sibilant Plural,phases,fanatic,14.414830446243286,19.27000904083252
Regular Singular,fee,fanatic,13.663039207458496,14.230251789093018
Regular Plural,fees,fanatic,13.599681377410889,19.710899353027344
Sibilant Singular,fax,man,14.00406551361084,7.818531036376953
Sibilant Plural,faxes,man,17.60620880126953,10.865938186645508
Regular Singular,shack,man,14.066399097442627,8.115753173828125
Regular Plural,shacks,man,16.62933921813965,8.787691116333008
