Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,16.40193462371826,12.454610824584961
Sibilant Plural,hoses,collector,19.94761371612549,13.056441307067871
Regular Singular,hoe,collector,14.67482328414917,13.276417255401611
Regular Plural,hoes,collector,18.763014316558838,12.9958975315094
Sibilant Singular,rose,organizer,13.389480590820312,16.476370096206665
Sibilant Plural,roses,organizer,20.69942855834961,16.562971591949463
Regular Singular,row,organizer,16.104337692260742,19.089368104934692
Regular Plural,rows,organizer,16.547652006149292,15.894505023956299
Sibilant Singular,rise,addict,15.49066972732544,13.665437698364258
Sibilant Plural,rises,addict,22.4560284614563,13.490211009979248
Regular Singular,lie,addict,12.524887084960938,13.14896821975708
Regular Plural,lies,addict,14.036789894104004,12.58893346786499
Sibilant Singular,clause,hider,23.116586685180664,15.449870586395264
Sibilant Plural,clauses,hider,26.11654758453369,16.275277614593506
Regular Singular,claw,hider,21.661684036254883,15.32737684249878
Regular Plural,claws,hider,21.316389083862305,16.092966556549072
Sibilant Singular,gaze,attractor,19.160231590270996,15.570123672485352
Sibilant Plural,gazes,attractor,21.741111755371094,17.216797351837158
Regular Singular,guy,attractor,15.573395252227783,15.936951160430908
Regular Plural,guys,attractor,15.060060739517212,17.01945209503174
Sibilant Singular,box,horde,17.23918914794922,15.465229988098145
Sibilant Plural,boxes,horde,20.054259777069092,16.049260139465332
Regular Singular,book,horde,12.856586456298828,15.16567611694336
Regular Plural,books,horde,13.883573532104492,16.571715354919434
Sibilant Singular,sex,distinctions,16.693275451660156,14.440659523010254
Sibilant Plural,sexes,distinctions,22.438183784484863,13.659847259521484
Regular Singular,sack,distinctions,17.898956775665283,14.907573223114014
Regular Plural,sacks,distinctions,18.92468023300171,14.810111045837402
Sibilant Singular,tax,repayment,18.323379516601562,17.086033821105957
Sibilant Plural,taxes,repayment,23.22574281692505,17.603741884231567
Regular Singular,tack,repayment,18.648154258728027,18.021684646606445
Regular Plural,tacks,repayment,20.228814125061035,18.855579137802124
Sibilant Singular,size,device,16.8294358253479,12.239818572998047
Sibilant Plural,sizes,device,18.625826358795166,13.183072090148926
Regular Singular,sigh,device,17.536953449249268,12.964324951171875
Regular Plural,sighs,device,17.93987464904785,14.350170135498047
Sibilant Singular,praise,getter,24.24045753479004,17.581985473632812
Sibilant Plural,praises,getter,26.02490997314453,18.769017219543457
Regular Singular,tray,getter,19.872254371643066,19.20943546295166
Regular Plural,trays,getter,21.813508987426758,17.962249755859375
Sibilant Singular,bruise,expert,21.572397708892822,11.385099411010742
Sibilant Plural,bruises,expert,22.054656982421875,12.491437911987305
Regular Singular,brew,expert,15.465250968933105,12.035367965698242
Regular Plural,brews,expert,18.60045623779297,11.881707191467285
Sibilant Singular,raise,seeker,16.447101593017578,16.699410438537598
Sibilant Plural,raises,seeker,18.408408164978027,19.736709594726562
Regular Singular,ray,seeker,13.89294147491455,17.41110134124756
Regular Plural,rays,seeker,17.988802909851074,15.546135902404785
Sibilant Singular,blaze,admirer,22.688552379608154,18.497285842895508
Sibilant Plural,blazes,admirer,25.28340435028076,19.07902717590332
Regular Singular,play,admirer,14.568716049194336,19.838736534118652
Regular Plural,plays,admirer,17.65352463722229,19.16010284423828
Sibilant Singular,vase,steward,20.636110305786133,13.898496150970459
Sibilant Plural,vases,steward,20.0869722366333,15.288494110107422
Regular Singular,bee,steward,16.661069869995117,12.95482063293457
Regular Plural,bees,steward,19.554753303527832,14.182841300964355
Sibilant Singular,fox,avoiders,15.989532947540283,21.33146858215332
Sibilant Plural,foxes,avoiders,20.511372566223145,20.92008686065674
Regular Singular,shock,avoiders,15.871125221252441,22.48915958404541
Regular Plural,shocks,avoiders,17.639342546463013,21.195911407470703
Sibilant Singular,maze,expert,21.966119289398193,12.724000930786133
Sibilant Plural,mazes,expert,24.015218257904053,12.234981536865234
Regular Singular,bay,expert,16.250025749206543,13.358749389648438
Regular Plural,bays,expert,20.950454711914062,12.409785270690918
Sibilant Singular,breeze,protector,24.20594835281372,13.632628440856934
Sibilant Plural,breezes,protector,26.129541873931885,15.143671035766602
Regular Singular,tree,protector,19.725186347961426,15.452250480651855
Regular Plural,trees,protector,23.895533561706543,14.267321586608887
Sibilant Singular,cause,evaluator,19.031526565551758,20.20903968811035
Sibilant Plural,causes,evaluator,19.261713981628418,18.760717391967773
Regular Singular,paw,evaluator,20.8036527633667,17.851420402526855
Regular Plural,paws,evaluator,20.833158493041992,19.159231662750244
Sibilant Singular,phase,fanatic,18.49116802215576,13.156265497207642
Sibilant Plural,phases,fanatic,20.440829753875732,12.68647289276123
Regular Singular,fee,fanatic,18.421265602111816,13.474066257476807
Regular Plural,fees,fanatic,19.384276390075684,12.282320022583008
Sibilant Singular,fax,man,17.0748291015625,9.191449165344238
Sibilant Plural,faxes,man,20.23586654663086,10.415633201599121
Regular Singular,shack,man,18.859063148498535,7.786990165710449
Regular Plural,shacks,man,24.860034942626953,9.540557861328125
