Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.225503921508789,9.351304054260254
Sibilant Plural,hoses,collector,5.5533106327056885,11.486444473266602
Regular Singular,hoe,collector,6.717794895172119,11.361685752868652
Regular Plural,hoes,collector,7.098499774932861,11.284504890441895
Sibilant Singular,rose,organizer,5.892422676086426,17.42494773864746
Sibilant Plural,roses,organizer,10.390729904174805,15.014482498168945
Regular Singular,row,organizer,11.570302963256836,14.528118133544922
Regular Plural,rows,organizer,14.370261192321777,13.962301254272461
Sibilant Singular,rise,addict,13.788402557373047,9.406877517700195
Sibilant Plural,rises,addict,18.096494674682617,9.647332191467285
Regular Singular,lie,addict,8.606003761291504,9.981873512268066
Regular Plural,lies,addict,12.176484107971191,6.189324378967285
Sibilant Singular,clause,hider,15.9723539352417,19.875061988830566
Sibilant Plural,clauses,hider,18.615951538085938,18.96944236755371
Regular Singular,claw,hider,11.164913177490234,18.488828659057617
Regular Plural,claws,hider,9.834510803222656,20.610437393188477
Sibilant Singular,gaze,attractor,10.407942771911621,11.371908187866211
Sibilant Plural,gazes,attractor,8.938920259475708,13.839553833007812
Regular Singular,guy,attractor,12.879521369934082,14.999747276306152
Regular Plural,guys,attractor,13.865681648254395,18.152657985687256
Sibilant Singular,box,horde,8.080151557922363,15.708061218261719
Sibilant Plural,boxes,horde,10.686153411865234,14.427068710327148
Regular Singular,book,horde,7.944024085998535,12.094134330749512
Regular Plural,books,horde,10.085114479064941,13.37077808380127
Sibilant Singular,sex,distinctions,8.019793510437012,10.547876358032227
Sibilant Plural,sexes,distinctions,12.964351654052734,10.587258338928223
Regular Singular,sack,distinctions,13.404702186584473,11.955944061279297
Regular Plural,sacks,distinctions,13.682671546936035,14.146742820739746
Sibilant Singular,tax,repayment,4.6590681076049805,10.755821228027344
Sibilant Plural,taxes,repayment,12.11435604095459,10.084685325622559
Regular Singular,tack,repayment,12.589534759521484,17.194427490234375
Regular Plural,tacks,repayment,8.309973239898682,15.947887420654297
Sibilant Singular,size,device,12.396320343017578,6.216533184051514
Sibilant Plural,sizes,device,15.58702278137207,6.505660057067871
Regular Singular,sigh,device,9.170671463012695,5.374999046325684
Regular Plural,sighs,device,12.311814785003662,4.12343692779541
Sibilant Singular,praise,getter,15.08303451538086,16.253926277160645
Sibilant Plural,praises,getter,14.90931224822998,18.45724391937256
Regular Singular,tray,getter,14.481701850891113,13.95686149597168
Regular Plural,trays,getter,7.843982100486755,13.785369396209717
Sibilant Singular,bruise,expert,13.836382150650024,4.397334098815918
Sibilant Plural,bruises,expert,16.596410751342773,4.468166351318359
Regular Singular,brew,expert,11.483743667602539,4.582024097442627
Regular Plural,brews,expert,17.07722043991089,4.818027496337891
Sibilant Singular,raise,seeker,11.20793342590332,10.51523494720459
Sibilant Plural,raises,seeker,17.173667907714844,12.832984924316406
Regular Singular,ray,seeker,10.655820846557617,11.749364852905273
Regular Plural,rays,seeker,13.28134822845459,10.530021667480469
Sibilant Singular,blaze,admirer,10.157622337341309,14.418688774108887
Sibilant Plural,blazes,admirer,8.985642552375793,17.0506010055542
Regular Singular,play,admirer,6.032033443450928,14.144183158874512
Regular Plural,plays,admirer,11.219555854797363,17.02566146850586
Sibilant Singular,vase,steward,5.035933613777161,11.975430488586426
Sibilant Plural,vases,steward,6.3160130977630615,13.353978157043457
Regular Singular,bee,steward,2.608757734298706,8.899046897888184
Regular Plural,bees,steward,5.736696243286133,10.679544448852539
Sibilant Singular,fox,avoiders,7.415395259857178,16.69684600830078
Sibilant Plural,foxes,avoiders,6.487853288650513,19.600441932678223
Regular Singular,shock,avoiders,10.477923393249512,17.89369010925293
Regular Plural,shocks,avoiders,11.845239639282227,20.025643348693848
Sibilant Singular,maze,expert,14.368907928466797,6.9116716384887695
Sibilant Plural,mazes,expert,7.818934917449951,7.885425567626953
Regular Singular,bay,expert,11.013545036315918,11.951509475708008
Regular Plural,bays,expert,8.06670618057251,9.715003967285156
Sibilant Singular,breeze,protector,13.109115600585938,10.013473510742188
Sibilant Plural,breezes,protector,14.940542221069336,10.754218101501465
Regular Singular,tree,protector,3.956974983215332,12.765016555786133
Regular Plural,trees,protector,10.79362678527832,12.867209434509277
Sibilant Singular,cause,evaluator,8.233104705810547,17.439167976379395
Sibilant Plural,causes,evaluator,14.13757610321045,14.209623336791992
Regular Singular,paw,evaluator,9.722891807556152,14.862871170043945
Regular Plural,paws,evaluator,10.127543449401855,18.338692665100098
Sibilant Singular,phase,fanatic,10.152761459350586,12.503064155578613
Sibilant Plural,phases,fanatic,12.290804862976074,16.308849334716797
Regular Singular,fee,fanatic,16.38498878479004,10.502714157104492
Regular Plural,fees,fanatic,19.035924911499023,10.794563293457031
Sibilant Singular,fax,man,10.42507553100586,2.612116813659668
Sibilant Plural,faxes,man,20.15017604827881,5.150524616241455
Regular Singular,shack,man,16.001482009887695,5.213247776031494
Regular Plural,shacks,man,9.32753324508667,4.517569065093994
