Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,5.412247180938721,9.532644510269165
Sibilant Plural,hoses,collector,6.890038013458252,11.181463956832886
Regular Singular,hoe,collector,7.354949235916138,9.177763223648071
Regular Plural,hoes,collector,5.290323495864868,9.901875495910645
Sibilant Singular,rose,organizer,5.127274036407471,16.22428584098816
Sibilant Plural,roses,organizer,5.13579797744751,22.02665948867798
Regular Singular,row,organizer,9.670212030410767,54.5054657459259
Regular Plural,rows,organizer,4.815694093704224,57.31244134902954
Sibilant Singular,rise,addict,8.95132303237915,13.687397003173828
Sibilant Plural,rises,addict,8.928313255310059,13.337632179260254
Regular Singular,lie,addict,6.843648195266724,16.133164405822754
Regular Plural,lies,addict,7.291377782821655,12.98844861984253
Sibilant Singular,clause,hider,5.5624778270721436,14.073547601699829
Sibilant Plural,clauses,hider,8.915403127670288,14.859043836593628
Regular Singular,claw,hider,7.208635568618774,11.59996771812439
Regular Plural,claws,hider,5.146115064620972,12.32153844833374
Sibilant Singular,gaze,attractor,5.424278020858765,13.774880409240723
Sibilant Plural,gazes,attractor,8.65124773979187,14.324709415435791
Regular Singular,guy,attractor,5.690725326538086,11.603084087371826
Regular Plural,guys,attractor,4.468713760375977,9.833025932312012
Sibilant Singular,box,horde,5.196094036102295,11.7655029296875
Sibilant Plural,boxes,horde,5.156853199005127,13.287603616714478
Regular Singular,book,horde,5.734414100646973,13.101992845535278
Regular Plural,books,horde,6.605329513549805,12.94041633605957
Sibilant Singular,sex,distinctions,16.29767942428589,32.747628688812256
Sibilant Plural,sexes,distinctions,18.367152452468872,32.719711780548096
Regular Singular,sack,distinctions,13.45916223526001,40.37041759490967
Regular Plural,sacks,distinctions,17.623138427734375,40.104326009750366
Sibilant Singular,tax,repayment,4.287734031677246,9.17490553855896
Sibilant Plural,taxes,repayment,6.043745517730713,10.002340078353882
Regular Singular,tack,repayment,9.994048595428467,27.49598264694214
Regular Plural,tacks,repayment,13.91539716720581,27.79943037033081
Sibilant Singular,size,device,9.198971033096313,17.011410236358643
Sibilant Plural,sizes,device,16.073863744735718,17.361687421798706
Regular Singular,sigh,device,6.629879713058472,13.85511827468872
Regular Plural,sighs,device,6.897710561752319,14.93073558807373
Sibilant Singular,praise,getter,5.695315599441528,18.302990436553955
Sibilant Plural,praises,getter,7.283711671829224,17.633273124694824
Regular Singular,tray,getter,6.855939626693726,11.457807064056396
Regular Plural,trays,getter,5.942431688308716,14.400824069976807
Sibilant Singular,bruise,expert,5.436940670013428,7.5515947341918945
Sibilant Plural,bruises,expert,7.081019878387451,8.180650234222412
Regular Singular,brew,expert,8.107226848602295,9.080140590667725
Regular Plural,brews,expert,4.091537952423096,8.418317317962646
Sibilant Singular,raise,seeker,5.459312677383423,12.992224216461182
Sibilant Plural,raises,seeker,5.6634485721588135,13.955202579498291
Regular Singular,ray,seeker,8.034287452697754,13.055187940597534
Regular Plural,rays,seeker,6.897838115692139,12.990212440490723
Sibilant Singular,blaze,admirer,4.442577838897705,7.1585235595703125
Sibilant Plural,blazes,admirer,3.6741418838500977,7.983445167541504
Regular Singular,play,admirer,5.732021808624268,7.605777263641357
Regular Plural,plays,admirer,5.170398235321045,6.983554124832153
Sibilant Singular,vase,steward,8.468881845474243,22.36016821861267
Sibilant Plural,vases,steward,13.178585052490234,22.598084688186646
Regular Singular,bee,steward,5.037519216537476,22.101388931274414
Regular Plural,bees,steward,6.26632833480835,22.39632248878479
Sibilant Singular,fox,avoiders,3.524714469909668,17.45160961151123
Sibilant Plural,foxes,avoiders,2.9880003929138184,17.971002101898193
Regular Singular,shock,avoiders,5.988374710083008,14.09551477432251
Regular Plural,shocks,avoiders,5.98706579208374,15.665371417999268
Sibilant Singular,maze,expert,4.425765514373779,7.636798858642578
Sibilant Plural,mazes,expert,4.878532409667969,8.607751846313477
Regular Singular,bay,expert,4.814140319824219,7.9105305671691895
Regular Plural,bays,expert,3.966254711151123,8.61141061782837
Sibilant Singular,breeze,protector,7.096426963806152,26.57019019126892
Sibilant Plural,breezes,protector,9.592598915100098,32.07247042655945
Regular Singular,tree,protector,5.222333192825317,15.543680667877197
Regular Plural,trees,protector,9.734410285949707,15.60805892944336
Sibilant Singular,cause,evaluator,10.825346231460571,30.875009536743164
Sibilant Plural,causes,evaluator,16.856262683868408,31.049333333969116
Regular Singular,paw,evaluator,9.037311792373657,38.54533052444458
Regular Plural,paws,evaluator,11.666048765182495,38.50226974487305
Sibilant Singular,phase,fanatic,7.6889050006866455,23.684915781021118
Sibilant Plural,phases,fanatic,14.854731798171997,24.07814073562622
Regular Singular,fee,fanatic,5.747771263122559,23.072508335113525
Regular Plural,fees,fanatic,5.230898380279541,22.587756872177124
Sibilant Singular,fax,man,2.726388931274414,4.304484844207764
Sibilant Plural,faxes,man,5.908541679382324,5.651534795761108
Regular Singular,shack,man,5.096909046173096,4.707257032394409
Regular Plural,shacks,man,4.5192718505859375,5.774640083312988
