Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.539485931396484,11.94096040725708
Sibilant Plural,hoses,collector,12.978990316390991,13.685222148895264
Regular Singular,hoe,collector,11.37574291229248,12.120711326599121
Regular Plural,hoes,collector,12.933174133300781,13.543703556060791
Sibilant Singular,rose,organizer,9.25423526763916,16.775363445281982
Sibilant Plural,roses,organizer,8.615741729736328,18.90160894393921
Regular Singular,row,organizer,9.616340637207031,18.108339309692383
Regular Plural,rows,organizer,9.785625457763672,19.99470567703247
Sibilant Singular,rise,addict,10.307112693786621,13.882492065429688
Sibilant Plural,rises,addict,12.83640432357788,12.045189380645752
Regular Singular,lie,addict,8.707605361938477,14.856544494628906
Regular Plural,lies,addict,11.45805835723877,13.703765869140625
Sibilant Singular,clause,hider,12.92459774017334,18.751392364501953
Sibilant Plural,clauses,hider,21.461124420166016,18.9945011138916
Regular Singular,claw,hider,14.277581214904785,18.513866424560547
Regular Plural,claws,hider,9.460432052612305,18.790477752685547
Sibilant Singular,gaze,attractor,10.87894344329834,18.97526454925537
Sibilant Plural,gazes,attractor,13.416054248809814,17.412056922912598
Regular Singular,guy,attractor,6.780246257781982,19.718688011169434
Regular Plural,guys,attractor,8.029367446899414,20.125805854797363
Sibilant Singular,box,horde,7.670558929443359,19.02308750152588
Sibilant Plural,boxes,horde,8.528691291809082,20.317858695983887
Regular Singular,book,horde,7.0418524742126465,18.78389310836792
Regular Plural,books,horde,6.981157302856445,21.08841896057129
Sibilant Singular,sex,distinctions,8.183565139770508,10.974567413330078
Sibilant Plural,sexes,distinctions,11.579495429992676,12.752752780914307
Regular Singular,sack,distinctions,14.634300231933594,10.680798530578613
Regular Plural,sacks,distinctions,13.16704511642456,12.758589744567871
Sibilant Singular,tax,repayment,8.692522048950195,14.176265716552734
Sibilant Plural,taxes,repayment,11.19215202331543,16.179572582244873
Regular Singular,tack,repayment,11.085541725158691,15.852862358093262
Regular Plural,tacks,repayment,14.13192367553711,17.7467098236084
Sibilant Singular,size,device,7.122364521026611,10.676329612731934
Sibilant Plural,sizes,device,9.391680717468262,9.19324779510498
Regular Singular,sigh,device,12.493924140930176,12.129868507385254
Regular Plural,sighs,device,14.48523235321045,7.78513240814209
Sibilant Singular,praise,getter,9.935308456420898,22.559882164001465
Sibilant Plural,praises,getter,12.15417993068695,21.418336868286133
Regular Singular,tray,getter,9.85092544555664,20.385878562927246
Regular Plural,trays,getter,12.760016441345215,19.828829765319824
Sibilant Singular,bruise,expert,11.757781028747559,9.865893363952637
Sibilant Plural,bruises,expert,10.928432583808899,11.022726058959961
Regular Singular,brew,expert,12.10672640800476,9.399449348449707
Regular Plural,brews,expert,13.119956016540527,11.281907081604004
Sibilant Singular,raise,seeker,10.34218978881836,20.52142333984375
Sibilant Plural,raises,seeker,12.553077697753906,17.23680591583252
Regular Singular,ray,seeker,10.922662734985352,16.67127227783203
Regular Plural,rays,seeker,12.31240463256836,19.864371299743652
Sibilant Singular,blaze,admirer,11.800671100616455,14.099771499633789
Sibilant Plural,blazes,admirer,14.694316864013672,13.506571769714355
Regular Singular,play,admirer,4.849691867828369,12.9227294921875
Regular Plural,plays,admirer,5.936588287353516,14.213438987731934
Sibilant Singular,vase,steward,12.724434852600098,14.88845443725586
Sibilant Plural,vases,steward,15.164238452911377,16.92164707183838
Regular Singular,bee,steward,9.22684383392334,12.480070114135742
Regular Plural,bees,steward,7.937137603759766,14.252642631530762
Sibilant Singular,fox,avoiders,4.036251544952393,20.534966468811035
Sibilant Plural,foxes,avoiders,7.1143457889556885,19.318363189697266
Regular Singular,shock,avoiders,9.937580108642578,22.132625579833984
Regular Plural,shocks,avoiders,12.008884906768799,19.97891616821289
Sibilant Singular,maze,expert,12.435495376586914,9.958976745605469
Sibilant Plural,mazes,expert,13.444673538208008,10.899209976196289
Regular Singular,bay,expert,11.106714248657227,11.87939739227295
Regular Plural,bays,expert,9.993686199188232,11.202561378479004
Sibilant Singular,breeze,protector,10.03004264831543,15.825064182281494
Sibilant Plural,breezes,protector,16.02628517150879,14.818671226501465
Regular Singular,tree,protector,6.40447998046875,15.31151294708252
Regular Plural,trees,protector,10.133055686950684,17.12279224395752
Sibilant Singular,cause,evaluator,7.420286178588867,22.05905532836914
Sibilant Plural,causes,evaluator,10.364086151123047,21.85532855987549
Regular Singular,paw,evaluator,11.313482284545898,21.40870475769043
Regular Plural,paws,evaluator,11.981496810913086,24.080235481262207
Sibilant Singular,phase,fanatic,10.335134506225586,15.690603256225586
Sibilant Plural,phases,fanatic,9.465798735618591,11.192737102508545
Regular Singular,fee,fanatic,13.641654968261719,15.20023775100708
Regular Plural,fees,fanatic,12.527896642684937,12.48972463607788
Sibilant Singular,fax,man,9.833341121673584,6.852799415588379
Sibilant Plural,faxes,man,9.897731304168701,8.133907318115234
Regular Singular,shack,man,13.797034740447998,6.380809307098389
Regular Plural,shacks,man,15.046642303466797,9.215569496154785
