Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,9.24527359008789,10.01386833190918
Sibilant Plural,hoses,collector,12.089244842529297,13.834671020507812
Regular Singular,hoe,collector,12.518115997314453,11.108000755310059
Regular Plural,hoes,collector,13.625541687011719,13.6589994430542
Sibilant Singular,rose,organizer,3.412210464477539,14.342734336853027
Sibilant Plural,roses,organizer,3.9046669006347656,14.798824310302734
Regular Singular,row,organizer,13.263999938964844,12.303583145141602
Regular Plural,rows,organizer,12.620935440063477,16.207443237304688
Sibilant Singular,rise,addict,11.07181167602539,13.40870189666748
Sibilant Plural,rises,addict,16.996265411376953,10.702583312988281
Regular Singular,lie,addict,6.819708347320557,15.590970993041992
Regular Plural,lies,addict,9.231071472167969,12.546582221984863
Sibilant Singular,clause,hider,11.74665641784668,18.949292182922363
Sibilant Plural,clauses,hider,14.425336837768555,21.81037998199463
Regular Singular,claw,hider,10.36616039276123,17.125344276428223
Regular Plural,claws,hider,10.183364868164062,19.426538467407227
Sibilant Singular,gaze,attractor,8.731689453125,13.195561408996582
Sibilant Plural,gazes,attractor,10.722079277038574,14.35293197631836
Regular Singular,guy,attractor,11.106560707092285,16.10787296295166
Regular Plural,guys,attractor,11.013500213623047,16.678476810455322
Sibilant Singular,box,horde,7.192219257354736,15.718536376953125
Sibilant Plural,boxes,horde,8.84768009185791,17.024253845214844
Regular Singular,book,horde,5.746351718902588,16.231672286987305
Regular Plural,books,horde,7.265473365783691,18.489866256713867
Sibilant Singular,sex,distinctions,3.7852582931518555,12.104106903076172
Sibilant Plural,sexes,distinctions,7.760824680328369,13.280864715576172
Regular Singular,sack,distinctions,8.401777267456055,15.173277854919434
Regular Plural,sacks,distinctions,8.855164527893066,16.561952590942383
Sibilant Singular,tax,repayment,6.330536365509033,11.004220962524414
Sibilant Plural,taxes,repayment,10.134596824645996,13.02249526977539
Regular Singular,tack,repayment,10.679269790649414,15.225471496582031
Regular Plural,tacks,repayment,15.121209144592285,14.72215461730957
Sibilant Singular,size,device,6.698907375335693,8.72494125366211
Sibilant Plural,sizes,device,9.9419846534729,7.524188041687012
Regular Singular,sigh,device,10.901114463806152,10.866589546203613
Regular Plural,sighs,device,11.378044128417969,6.693964958190918
Sibilant Singular,praise,getter,12.389533996582031,21.384028434753418
Sibilant Plural,praises,getter,12.682780265808105,21.38492727279663
Regular Singular,tray,getter,8.579154014587402,22.7024507522583
Regular Plural,trays,getter,9.841341018676758,23.601985931396484
Sibilant Singular,bruise,expert,9.696163177490234,10.818872451782227
Sibilant Plural,bruises,expert,8.397468566894531,12.746668815612793
Regular Singular,brew,expert,5.858201026916504,11.956249237060547
Regular Plural,brews,expert,12.43223762512207,14.963422775268555
Sibilant Singular,raise,seeker,10.717219352722168,12.40279483795166
Sibilant Plural,raises,seeker,12.584053039550781,13.591118812561035
Regular Singular,ray,seeker,9.927840232849121,14.301794052124023
Regular Plural,rays,seeker,13.375290870666504,12.40734577178955
Sibilant Singular,blaze,admirer,3.094367027282715,15.783432006835938
Sibilant Plural,blazes,admirer,4.53121280670166,18.42607593536377
Regular Singular,play,admirer,4.662991046905518,13.983724594116211
Regular Plural,plays,admirer,8.934264183044434,15.641368865966797
Sibilant Singular,vase,steward,7.8223557472229,10.885686874389648
Sibilant Plural,vases,steward,9.828446865081787,12.223388671875
Regular Singular,bee,steward,2.5560169219970703,18.034241676330566
Regular Plural,bees,steward,1.7725982666015625,14.51215934753418
Sibilant Singular,fox,avoiders,3.361260414123535,16.095372200012207
Sibilant Plural,foxes,avoiders,2.9874439239501953,19.095916748046875
Regular Singular,shock,avoiders,6.746618747711182,15.801435470581055
Regular Plural,shocks,avoiders,8.718616008758545,19.372133255004883
Sibilant Singular,maze,expert,5.993917465209961,11.77048397064209
Sibilant Plural,mazes,expert,7.310809135437012,14.704180717468262
Regular Singular,bay,expert,4.9157819747924805,12.31784439086914
Regular Plural,bays,expert,7.719242095947266,16.72127914428711
Sibilant Singular,breeze,protector,9.475447654724121,14.602373123168945
Sibilant Plural,breezes,protector,15.05316686630249,15.483954429626465
Regular Singular,tree,protector,8.094938278198242,14.540966987609863
Regular Plural,trees,protector,12.111085891723633,15.982406616210938
Sibilant Singular,cause,evaluator,9.707844734191895,22.468804359436035
Sibilant Plural,causes,evaluator,12.617668151855469,18.889925956726074
Regular Singular,paw,evaluator,6.695364475250244,23.224796295166016
Regular Plural,paws,evaluator,7.014549732208252,22.286094665527344
Sibilant Singular,phase,fanatic,8.850239753723145,15.11461353302002
Sibilant Plural,phases,fanatic,9.924186706542969,13.50650691986084
Regular Singular,fee,fanatic,8.904105186462402,18.42835235595703
Regular Plural,fees,fanatic,9.48235034942627,17.269824504852295
Sibilant Singular,fax,man,7.372153282165527,4.799106597900391
Sibilant Plural,faxes,man,9.577415466308594,4.2675933837890625
Regular Singular,shack,man,9.542264938354492,1.2132863998413086
Regular Plural,shacks,man,8.587276458740234,2.993021011352539
