Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.91824722290039,11.112542152404785
Sibilant Plural,hoses,collector,15.270169258117676,11.580612182617188
Regular Singular,hoe,collector,14.515609741210938,10.749767303466797
Regular Plural,hoes,collector,16.449604034423828,10.921173095703125
Sibilant Singular,rose,organizer,11.022686004638672,18.30676031112671
Sibilant Plural,roses,organizer,9.337303161621094,19.75147247314453
Regular Singular,row,organizer,11.253255844116211,17.816560745239258
Regular Plural,rows,organizer,11.313002586364746,19.699447631835938
Sibilant Singular,rise,addict,11.714550971984863,11.048510551452637
Sibilant Plural,rises,addict,15.065638542175293,9.48568058013916
Regular Singular,lie,addict,8.223892211914062,11.71664047241211
Regular Plural,lies,addict,13.102093696594238,10.439164161682129
Sibilant Singular,clause,hider,10.73639965057373,18.32396936416626
Sibilant Plural,clauses,hider,13.126832962036133,18.153804779052734
Regular Singular,claw,hider,12.116540908813477,15.366019248962402
Regular Plural,claws,hider,12.000285148620605,15.834002494812012
Sibilant Singular,gaze,attractor,14.028940200805664,18.636794567108154
Sibilant Plural,gazes,attractor,15.897128105163574,17.54315948486328
Regular Singular,guy,attractor,8.087061882019043,20.201709270477295
Regular Plural,guys,attractor,9.503636360168457,21.2457857131958
Sibilant Singular,box,horde,7.836767673492432,16.12671947479248
Sibilant Plural,boxes,horde,10.153924942016602,17.38631248474121
Regular Singular,book,horde,6.07127571105957,17.860655784606934
Regular Plural,books,horde,8.044700622558594,19.458393573760986
Sibilant Singular,sex,distinctions,7.336320877075195,10.448036193847656
Sibilant Plural,sexes,distinctions,12.85960054397583,12.198814392089844
Regular Singular,sack,distinctions,14.16861343383789,9.695032119750977
Regular Plural,sacks,distinctions,13.367008209228516,13.829768180847168
Sibilant Singular,tax,repayment,8.324932098388672,12.714212417602539
Sibilant Plural,taxes,repayment,11.469584465026855,13.666586875915527
Regular Singular,tack,repayment,11.979658126831055,15.253827095031738
Regular Plural,tacks,repayment,13.43116807937622,15.107008934020996
Sibilant Singular,size,device,8.413097381591797,8.699196815490723
Sibilant Plural,sizes,device,13.354267120361328,11.348189353942871
Regular Singular,sigh,device,12.821220397949219,8.602385520935059
Regular Plural,sighs,device,13.495193481445312,7.848291873931885
Sibilant Singular,praise,getter,10.408206939697266,21.33617877960205
Sibilant Plural,praises,getter,13.933005332946777,18.567651748657227
Regular Singular,tray,getter,11.518741607666016,19.093017578125
Regular Plural,trays,getter,14.8012113571167,18.661033630371094
Sibilant Singular,bruise,expert,13.419251203536987,10.336069107055664
Sibilant Plural,bruises,expert,11.78082275390625,11.576289176940918
Regular Singular,brew,expert,12.621611595153809,9.99160385131836
Regular Plural,brews,expert,13.638649702072144,12.505549430847168
Sibilant Singular,raise,seeker,12.881250381469727,19.97184181213379
Sibilant Plural,raises,seeker,13.700210571289062,21.71482753753662
Regular Singular,ray,seeker,10.793800354003906,19.24881362915039
Regular Plural,rays,seeker,12.854372024536133,20.109851837158203
Sibilant Singular,blaze,admirer,11.561466217041016,19.425341606140137
Sibilant Plural,blazes,admirer,16.88425636291504,16.335603713989258
Regular Singular,play,admirer,5.960895538330078,17.984790802001953
Regular Plural,plays,admirer,7.885581016540527,17.96843147277832
Sibilant Singular,vase,steward,11.920430183410645,16.57164192199707
Sibilant Plural,vases,steward,15.266921997070312,17.293742179870605
Regular Singular,bee,steward,8.711015701293945,16.13711452484131
Regular Plural,bees,steward,8.913484573364258,17.04177761077881
Sibilant Singular,fox,avoiders,9.065340042114258,18.85907554626465
Sibilant Plural,foxes,avoiders,10.19218921661377,18.592098712921143
Regular Singular,shock,avoiders,8.61136245727539,17.38750171661377
Regular Plural,shocks,avoiders,11.680169105529785,16.55212163925171
Sibilant Singular,maze,expert,11.243592262268066,12.547569274902344
Sibilant Plural,mazes,expert,17.285115242004395,10.865152359008789
Regular Singular,bay,expert,10.074481964111328,13.124544143676758
Regular Plural,bays,expert,12.619039058685303,12.30678653717041
Sibilant Singular,breeze,protector,11.79284954071045,14.281850814819336
Sibilant Plural,breezes,protector,19.405749320983887,14.217368125915527
Regular Singular,tree,protector,7.519922256469727,13.151185035705566
Regular Plural,trees,protector,11.803916931152344,13.056376457214355
Sibilant Singular,cause,evaluator,9.197388648986816,30.437106609344482
Sibilant Plural,causes,evaluator,11.63620662689209,30.114806652069092
Regular Singular,paw,evaluator,11.827316284179688,28.86321449279785
Regular Plural,paws,evaluator,12.51298713684082,29.173076152801514
Sibilant Singular,phase,fanatic,12.83426284790039,19.36575937271118
Sibilant Plural,phases,fanatic,12.957588195800781,20.09796142578125
Regular Singular,fee,fanatic,11.052814483642578,20.52365779876709
Regular Plural,fees,fanatic,11.823381423950195,19.035794258117676
Sibilant Singular,fax,man,11.318037033081055,7.364801406860352
Sibilant Plural,faxes,man,17.58454990386963,8.117910385131836
Regular Singular,shack,man,14.238187789916992,5.813384056091309
Regular Plural,shacks,man,17.385550022125244,7.241027355194092
