Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,9.794470310211182,10.739179611206055
Sibilant Plural,hoses,collector,10.610947132110596,11.536174774169922
Regular Singular,hoe,collector,10.405910015106201,10.762012481689453
Regular Plural,hoes,collector,10.663424491882324,14.172746181488037
Sibilant Singular,rose,organizer,10.076674461364746,14.358438491821289
Sibilant Plural,roses,organizer,9.351912498474121,14.152596473693848
Regular Singular,row,organizer,11.307043075561523,13.457969665527344
Regular Plural,rows,organizer,11.15164852142334,13.541214942932129
Sibilant Singular,rise,addict,13.224832534790039,14.437255382537842
Sibilant Plural,rises,addict,14.274127006530762,14.370942115783691
Regular Singular,lie,addict,9.210968971252441,14.029425621032715
Regular Plural,lies,addict,12.895125389099121,12.435850143432617
Sibilant Singular,clause,hider,12.994495868682861,16.738947868347168
Sibilant Plural,clauses,hider,14.079071521759033,16.68106746673584
Regular Singular,claw,hider,12.63818645477295,16.884934425354004
Regular Plural,claws,hider,11.438945770263672,17.413347721099854
Sibilant Singular,gaze,attractor,12.517352104187012,18.99044132232666
Sibilant Plural,gazes,attractor,5.991067290306091,18.958858013153076
Regular Singular,guy,attractor,10.587230682373047,19.709224700927734
Regular Plural,guys,attractor,12.356441497802734,20.123909950256348
Sibilant Singular,box,horde,8.144638061523438,17.1607723236084
Sibilant Plural,boxes,horde,9.794198989868164,18.362852573394775
Regular Singular,book,horde,6.87284517288208,16.264140605926514
Regular Plural,books,horde,8.520153045654297,17.49374532699585
Sibilant Singular,sex,distinctions,5.626053810119629,9.97399616241455
Sibilant Plural,sexes,distinctions,6.879040002822876,13.264093399047852
Regular Singular,sack,distinctions,15.6774320602417,11.02917194366455
Regular Plural,sacks,distinctions,10.106379508972168,13.679645538330078
Sibilant Singular,tax,repayment,7.701139450073242,13.055624008178711
Sibilant Plural,taxes,repayment,10.604961395263672,14.555071830749512
Regular Singular,tack,repayment,11.092329978942871,17.535626888275146
Regular Plural,tacks,repayment,12.074725151062012,19.750288009643555
Sibilant Singular,size,device,9.469411849975586,8.88363265991211
Sibilant Plural,sizes,device,11.051616668701172,9.7155179977417
Regular Singular,sigh,device,13.819024085998535,7.6334638595581055
Regular Plural,sighs,device,10.772161960601807,8.35558032989502
Sibilant Singular,praise,getter,10.436603546142578,18.5974063873291
Sibilant Plural,praises,getter,10.409209370613098,18.946964263916016
Regular Singular,tray,getter,10.616900444030762,16.99153423309326
Regular Plural,trays,getter,9.218955755233765,18.304651260375977
Sibilant Singular,bruise,expert,11.776690483093262,9.338109016418457
Sibilant Plural,bruises,expert,11.159156084060669,10.789934158325195
Regular Singular,brew,expert,10.402492046356201,10.822916030883789
Regular Plural,brews,expert,12.989129066467285,10.898661613464355
Sibilant Singular,raise,seeker,12.516946792602539,16.172724723815918
Sibilant Plural,raises,seeker,14.735345840454102,16.935206413269043
Regular Singular,ray,seeker,10.71708631515503,16.27578830718994
Regular Plural,rays,seeker,14.789632797241211,16.30058002471924
Sibilant Singular,blaze,admirer,12.972766399383545,13.636183738708496
Sibilant Plural,blazes,admirer,7.3021217584609985,17.299443244934082
Regular Singular,play,admirer,7.262221336364746,13.064353942871094
Regular Plural,plays,admirer,9.164093017578125,14.00841236114502
Sibilant Singular,vase,steward,8.40556287765503,13.945279121398926
Sibilant Plural,vases,steward,10.550390720367432,14.572184562683105
Regular Singular,bee,steward,6.774235248565674,12.566597938537598
Regular Plural,bees,steward,7.037230014801025,13.962777137756348
Sibilant Singular,fox,avoiders,6.8296918869018555,21.14233160018921
Sibilant Plural,foxes,avoiders,6.28852915763855,24.759475708007812
Regular Singular,shock,avoiders,11.601016998291016,19.87383460998535
Regular Plural,shocks,avoiders,8.256406545639038,22.528199195861816
Sibilant Singular,maze,expert,13.060523986816406,10.94937515258789
Sibilant Plural,mazes,expert,5.290558815002441,12.456085205078125
Regular Singular,bay,expert,10.714448928833008,12.321258544921875
Regular Plural,bays,expert,8.142551898956299,12.851086616516113
Sibilant Singular,breeze,protector,11.918994903564453,13.697171211242676
Sibilant Plural,breezes,protector,13.773074388504028,13.638391494750977
Regular Singular,tree,protector,7.42312479019165,13.653220176696777
Regular Plural,trees,protector,11.687213897705078,15.288100242614746
Sibilant Singular,cause,evaluator,8.431260108947754,16.182156562805176
Sibilant Plural,causes,evaluator,12.538884162902832,15.569911003112793
Regular Singular,paw,evaluator,11.976911544799805,15.115132331848145
Regular Plural,paws,evaluator,12.439987182617188,19.120817184448242
Sibilant Singular,phase,fanatic,11.742280960083008,14.560189247131348
Sibilant Plural,phases,fanatic,5.744251728057861,14.667693614959717
Regular Singular,fee,fanatic,10.62282657623291,13.712833881378174
Regular Plural,fees,fanatic,10.128716707229614,13.401044845581055
Sibilant Singular,fax,man,5.487753391265869,6.157991886138916
Sibilant Plural,faxes,man,5.746869087219238,6.857938289642334
Regular Singular,shack,man,11.63843822479248,5.921736717224121
Regular Plural,shacks,man,13.051872253417969,5.545570373535156
