Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.251109600067139,10.874265670776367
Sibilant Plural,hoses,collector,6.33559250831604,12.274812698364258
Regular Singular,hoe,collector,9.657635688781738,10.07086181640625
Regular Plural,hoes,collector,8.47813367843628,12.323650360107422
Sibilant Singular,rose,organizer,10.340514183044434,13.89635419845581
Sibilant Plural,roses,organizer,9.648828506469727,14.21654748916626
Regular Singular,row,organizer,11.566267013549805,13.712544441223145
Regular Plural,rows,organizer,11.251558303833008,13.828490257263184
Sibilant Singular,rise,addict,12.986456871032715,15.224902629852295
Sibilant Plural,rises,addict,14.600170135498047,13.89238691329956
Regular Singular,lie,addict,8.61684513092041,13.616592407226562
Regular Plural,lies,addict,13.158774375915527,12.048888206481934
Sibilant Singular,clause,hider,14.965539455413818,18.048053741455078
Sibilant Plural,clauses,hider,9.53765869140625,18.672680854797363
Regular Singular,claw,hider,13.260700225830078,16.407602310180664
Regular Plural,claws,hider,10.762345314025879,20.02077865600586
Sibilant Singular,gaze,attractor,12.346109390258789,18.612487316131592
Sibilant Plural,gazes,attractor,4.503740429878235,18.05755376815796
Regular Singular,guy,attractor,10.01137924194336,17.507379055023193
Regular Plural,guys,attractor,11.330583572387695,18.102771759033203
Sibilant Singular,box,horde,7.929611682891846,18.530634880065918
Sibilant Plural,boxes,horde,9.21048355102539,21.22456932067871
Regular Singular,book,horde,7.610047340393066,18.880779266357422
Regular Plural,books,horde,8.706531524658203,20.718799114227295
Sibilant Singular,sex,distinctions,5.597155570983887,10.658940315246582
Sibilant Plural,sexes,distinctions,7.385962009429932,13.775886058807373
Regular Singular,sack,distinctions,16.458717346191406,9.69042682647705
Regular Plural,sacks,distinctions,8.62818431854248,12.405862808227539
Sibilant Singular,tax,repayment,8.007692337036133,11.29096269607544
Sibilant Plural,taxes,repayment,9.437915802001953,11.677736282348633
Regular Singular,tack,repayment,10.14074993133545,16.883336544036865
Regular Plural,tacks,repayment,11.450690269470215,17.591427326202393
Sibilant Singular,size,device,9.002588272094727,9.168058395385742
Sibilant Plural,sizes,device,11.053020715713501,8.69873046875
Regular Singular,sigh,device,13.7459077835083,7.776392459869385
Regular Plural,sighs,device,10.665952920913696,8.041709899902344
Sibilant Singular,praise,getter,11.267443656921387,20.79916477203369
Sibilant Plural,praises,getter,10.838173031806946,21.16212558746338
Regular Singular,tray,getter,11.030468940734863,17.41964340209961
Regular Plural,trays,getter,7.995644569396973,20.393139839172363
Sibilant Singular,bruise,expert,13.311310052871704,9.748151779174805
Sibilant Plural,bruises,expert,10.942522406578064,10.872513771057129
Regular Singular,brew,expert,9.338378548622131,11.127074241638184
Regular Plural,brews,expert,10.39456033706665,11.727638244628906
Sibilant Singular,raise,seeker,13.0934419631958,16.135677337646484
Sibilant Plural,raises,seeker,13.22238540649414,16.357443809509277
Regular Singular,ray,seeker,10.73163652420044,15.839971542358398
Regular Plural,rays,seeker,14.02423095703125,15.716086387634277
Sibilant Singular,blaze,admirer,14.379111289978027,13.594923973083496
Sibilant Plural,blazes,admirer,6.838764309883118,16.25670051574707
Regular Singular,play,admirer,7.866827011108398,13.33688735961914
Regular Plural,plays,admirer,9.866545677185059,14.002556800842285
Sibilant Singular,vase,steward,7.221920728683472,14.078609466552734
Sibilant Plural,vases,steward,8.640449285507202,16.606932640075684
Regular Singular,bee,steward,7.09390926361084,12.869917869567871
Regular Plural,bees,steward,7.205416679382324,16.506985664367676
Sibilant Singular,fox,avoiders,5.34461784362793,17.682220935821533
Sibilant Plural,foxes,avoiders,4.931485414505005,22.871609687805176
Regular Singular,shock,avoiders,9.25203800201416,17.41899585723877
Regular Plural,shocks,avoiders,8.499680995941162,21.382307052612305
Sibilant Singular,maze,expert,14.542272567749023,11.245160102844238
Sibilant Plural,mazes,expert,6.024058818817139,12.020561218261719
Regular Singular,bay,expert,10.117069244384766,11.770210266113281
Regular Plural,bays,expert,6.548750400543213,13.33871841430664
Sibilant Singular,breeze,protector,12.769939422607422,12.692801475524902
Sibilant Plural,breezes,protector,15.931146621704102,12.522284507751465
Regular Singular,tree,protector,6.991598129272461,13.032095909118652
Regular Plural,trees,protector,12.097234725952148,13.374712944030762
Sibilant Singular,cause,evaluator,7.479930877685547,16.014620780944824
Sibilant Plural,causes,evaluator,12.675858497619629,16.05637264251709
Regular Singular,paw,evaluator,11.397947311401367,17.221285820007324
Regular Plural,paws,evaluator,12.530540466308594,20.226572036743164
Sibilant Singular,phase,fanatic,11.301180839538574,14.31289291381836
Sibilant Plural,phases,fanatic,5.391302645206451,14.128266334533691
Regular Singular,fee,fanatic,11.138423919677734,14.41240644454956
Regular Plural,fees,fanatic,10.172136664390564,13.757359027862549
Sibilant Singular,fax,man,5.516494512557983,5.417267799377441
Sibilant Plural,faxes,man,7.195247173309326,7.028940677642822
Regular Singular,shack,man,11.8759126663208,6.649209976196289
Regular Plural,shacks,man,13.404877185821533,5.453693389892578
