Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,10.924363136291504,11.703563690185547
Sibilant Plural,hoses,collector,7.83631443977356,11.53934097290039
Regular Singular,hoe,collector,11.11940860748291,10.156815528869629
Regular Plural,hoes,collector,7.576698958873749,9.584033966064453
Sibilant Singular,rose,organizer,8.991111755371094,12.307419776916504
Sibilant Plural,roses,organizer,8.378772735595703,14.425490379333496
Regular Singular,row,organizer,12.811211585998535,9.96529769897461
Regular Plural,rows,organizer,10.438020706176758,13.834531784057617
Sibilant Singular,rise,addict,11.717169761657715,11.477277755737305
Sibilant Plural,rises,addict,10.264243364334106,13.430564880371094
Regular Singular,lie,addict,8.537538528442383,14.882115364074707
Regular Plural,lies,addict,13.554905891418457,11.844216346740723
Sibilant Singular,clause,hider,13.500225067138672,16.32308292388916
Sibilant Plural,clauses,hider,8.887544929981232,20.136022567749023
Regular Singular,claw,hider,10.167389869689941,17.27548122406006
Regular Plural,claws,hider,8.334617614746094,22.247090339660645
Sibilant Singular,gaze,attractor,13.370441436767578,19.734017372131348
Sibilant Plural,gazes,attractor,6.105345249176025,23.499625205993652
Regular Singular,guy,attractor,11.337798118591309,24.932668685913086
Regular Plural,guys,attractor,14.462080955505371,21.834850311279297
Sibilant Singular,box,horde,10.06541633605957,15.990142822265625
Sibilant Plural,boxes,horde,11.468782424926758,16.057340145111084
Regular Singular,book,horde,6.714259624481201,14.336074352264404
Regular Plural,books,horde,7.993260860443115,16.171242713928223
Sibilant Singular,sex,distinctions,4.407330513000488,10.902212142944336
Sibilant Plural,sexes,distinctions,2.610543966293335,18.03261947631836
Regular Singular,sack,distinctions,16.56226921081543,12.282649993896484
Regular Plural,sacks,distinctions,7.541614294052124,15.0456862449646
Sibilant Singular,tax,repayment,5.246878147125244,10.010399341583252
Sibilant Plural,taxes,repayment,7.4071455001831055,10.193429470062256
Regular Singular,tack,repayment,11.783130645751953,17.752804279327393
Regular Plural,tacks,repayment,8.697474956512451,18.600307941436768
Sibilant Singular,size,device,12.125557899475098,10.849125862121582
Sibilant Plural,sizes,device,10.857108116149902,8.132680892944336
Regular Singular,sigh,device,12.319147109985352,9.075298309326172
Regular Plural,sighs,device,10.759859919548035,8.753804206848145
Sibilant Singular,praise,getter,12.038066864013672,21.227954864501953
Sibilant Plural,praises,getter,9.980516791343689,22.434975624084473
Regular Singular,tray,getter,10.670889854431152,15.452817440032959
Regular Plural,trays,getter,7.825509011745453,20.127530097961426
Sibilant Singular,bruise,expert,12.455818176269531,9.520142555236816
Sibilant Plural,bruises,expert,11.105783820152283,12.269815444946289
Regular Singular,brew,expert,12.145056247711182,10.018721580505371
Regular Plural,brews,expert,16.1467866897583,11.554102897644043
Sibilant Singular,raise,seeker,10.979757308959961,17.41176414489746
Sibilant Plural,raises,seeker,11.586966514587402,18.54810667037964
Regular Singular,ray,seeker,11.05689001083374,16.884668350219727
Regular Plural,rays,seeker,12.756778717041016,14.645732879638672
Sibilant Singular,blaze,admirer,15.72034740447998,11.177136421203613
Sibilant Plural,blazes,admirer,6.3917765617370605,17.631193161010742
Regular Singular,play,admirer,6.561753749847412,13.095857620239258
Regular Plural,plays,admirer,7.4676008224487305,14.899750709533691
Sibilant Singular,vase,steward,5.250609040260315,12.684942245483398
Sibilant Plural,vases,steward,7.66878604888916,14.431012153625488
Regular Singular,bee,steward,2.2115578651428223,19.335733890533447
Regular Plural,bees,steward,3.8919944763183594,18.6915545463562
Sibilant Singular,fox,avoiders,6.028145790100098,14.88477373123169
Sibilant Plural,foxes,avoiders,4.578315258026123,22.900657653808594
Regular Singular,shock,avoiders,10.048890113830566,20.13309383392334
Regular Plural,shocks,avoiders,7.074757814407349,22.620999336242676
Sibilant Singular,maze,expert,16.669257164001465,11.449565887451172
Sibilant Plural,mazes,expert,7.4143383502960205,13.783615112304688
Regular Singular,bay,expert,10.26374626159668,8.772396087646484
Regular Plural,bays,expert,5.005958437919617,12.103853225708008
Sibilant Singular,breeze,protector,11.430436134338379,13.055636405944824
Sibilant Plural,breezes,protector,9.048416376113892,14.366257667541504
Regular Singular,tree,protector,7.493321418762207,15.155019760131836
Regular Plural,trees,protector,11.492923736572266,12.514787673950195
Sibilant Singular,cause,evaluator,7.605323791503906,18.487661361694336
Sibilant Plural,causes,evaluator,10.91946792602539,14.362619400024414
Regular Singular,paw,evaluator,12.578675270080566,12.17867660522461
Regular Plural,paws,evaluator,13.537588119506836,19.04012107849121
Sibilant Singular,phase,fanatic,13.589505195617676,12.886586666107178
Sibilant Plural,phases,fanatic,6.0410769283771515,15.39414358139038
Regular Singular,fee,fanatic,11.600003242492676,17.595502853393555
Regular Plural,fees,fanatic,9.803867936134338,16.584998607635498
Sibilant Singular,fax,man,4.188031435012817,5.086228370666504
Sibilant Plural,faxes,man,6.486298561096191,7.982240676879883
Regular Singular,shack,man,11.003617882728577,6.209964752197266
Regular Plural,shacks,man,14.266425609588623,5.209871768951416
