Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,8.730539321899414,11.687564849853516
Sibilant Plural,hoses,collector,8.639124155044556,13.723899364471436
Regular Singular,hoe,collector,11.239425659179688,11.252267360687256
Regular Plural,hoes,collector,8.64588189125061,13.675036430358887
Sibilant Singular,rose,organizer,9.181158065795898,9.663213729858398
Sibilant Plural,roses,organizer,8.211858749389648,15.679357528686523
Regular Singular,row,organizer,12.25180435180664,12.449789047241211
Regular Plural,rows,organizer,11.819110870361328,14.47416877746582
Sibilant Singular,rise,addict,10.821854591369629,13.454763412475586
Sibilant Plural,rises,addict,8.971798181533813,10.1456880569458
Regular Singular,lie,addict,8.49599838256836,14.229181289672852
Regular Plural,lies,addict,12.744930267333984,12.665449142456055
Sibilant Singular,clause,hider,12.712448120117188,17.638712882995605
Sibilant Plural,clauses,hider,12.20890212059021,16.89008903503418
Regular Singular,claw,hider,13.680908679962158,17.68457794189453
Regular Plural,claws,hider,9.260327339172363,18.474811553955078
Sibilant Singular,gaze,attractor,12.244988441467285,17.137414932250977
Sibilant Plural,gazes,attractor,7.069158911705017,17.601313591003418
Regular Singular,guy,attractor,8.643366813659668,19.39988899230957
Regular Plural,guys,attractor,12.204227447509766,19.744500160217285
Sibilant Singular,box,horde,8.260765075683594,17.535934925079346
Sibilant Plural,boxes,horde,9.134593963623047,18.00012445449829
Regular Singular,book,horde,6.5645904541015625,17.5943660736084
Regular Plural,books,horde,7.494128227233887,17.97781801223755
Sibilant Singular,sex,distinctions,5.760939598083496,11.252503395080566
Sibilant Plural,sexes,distinctions,5.7390968799591064,14.451711654663086
Regular Singular,sack,distinctions,16.150850296020508,13.229199409484863
Regular Plural,sacks,distinctions,8.321796894073486,16.50563144683838
Sibilant Singular,tax,repayment,6.058698654174805,11.480244159698486
Sibilant Plural,taxes,repayment,8.005040168762207,11.084479808807373
Regular Singular,tack,repayment,10.609453201293945,18.339165210723877
Regular Plural,tacks,repayment,7.4398422837257385,19.71737766265869
Sibilant Singular,size,device,10.161277770996094,10.758280754089355
Sibilant Plural,sizes,device,8.167706608772278,5.825580596923828
Regular Singular,sigh,device,12.786882400512695,7.358717918395996
Regular Plural,sighs,device,9.049691200256348,8.249333381652832
Sibilant Singular,praise,getter,11.389503479003906,20.600228309631348
Sibilant Plural,praises,getter,9.360522747039795,21.96870994567871
Regular Singular,tray,getter,10.450080871582031,17.305020332336426
Regular Plural,trays,getter,8.250572681427002,18.59227418899536
Sibilant Singular,bruise,expert,12.038352727890015,11.018716812133789
Sibilant Plural,bruises,expert,10.135095953941345,10.548845291137695
Regular Singular,brew,expert,13.072434902191162,9.162215232849121
Regular Plural,brews,expert,16.830912113189697,10.030182838439941
Sibilant Singular,raise,seeker,11.912014961242676,18.20083236694336
Sibilant Plural,raises,seeker,10.980853080749512,20.57904624938965
Regular Singular,ray,seeker,11.25064468383789,17.10106372833252
Regular Plural,rays,seeker,13.720508575439453,17.39753770828247
Sibilant Singular,blaze,admirer,11.289278030395508,12.974499702453613
Sibilant Plural,blazes,admirer,7.3496028780937195,15.586566925048828
Regular Singular,play,admirer,6.539828300476074,13.273133277893066
Regular Plural,plays,admirer,7.7496442794799805,14.604827880859375
Sibilant Singular,vase,steward,6.614653900265694,11.463766098022461
Sibilant Plural,vases,steward,9.349453926086426,12.053180694580078
Regular Singular,bee,steward,3.2982094287872314,14.293105125427246
Regular Plural,bees,steward,3.8579037189483643,13.784146308898926
Sibilant Singular,fox,avoiders,6.092879772186279,22.270405769348145
Sibilant Plural,foxes,avoiders,4.2410120368003845,24.533592224121094
Regular Singular,shock,avoiders,10.902276992797852,20.980332374572754
Regular Plural,shocks,avoiders,8.312851369380951,21.668681144714355
Sibilant Singular,maze,expert,12.895393371582031,11.426669120788574
Sibilant Plural,mazes,expert,5.342669486999512,12.69556713104248
Regular Singular,bay,expert,11.910019874572754,9.355241775512695
Regular Plural,bays,expert,6.990628719329834,12.66568374633789
Sibilant Singular,breeze,protector,10.986435890197754,15.552545547485352
Sibilant Plural,breezes,protector,6.578793525695801,14.146365642547607
Regular Singular,tree,protector,8.23029899597168,14.772104263305664
Regular Plural,trees,protector,11.712360382080078,16.4441876411438
Sibilant Singular,cause,evaluator,8.252805709838867,19.55289316177368
Sibilant Plural,causes,evaluator,11.352815628051758,18.829466342926025
Regular Singular,paw,evaluator,12.08824348449707,16.580544471740723
Regular Plural,paws,evaluator,13.650426864624023,20.8812198638916
Sibilant Singular,phase,fanatic,12.061952590942383,13.60825252532959
Sibilant Plural,phases,fanatic,4.959751099348068,14.180994987487793
Regular Singular,fee,fanatic,9.539393424987793,15.480518341064453
Regular Plural,fees,fanatic,8.976115942001343,15.74996042251587
Sibilant Singular,fax,man,4.3270444720983505,4.217565536499023
Sibilant Plural,faxes,man,9.729262351989746,6.341464996337891
Regular Singular,shack,man,11.922256231307983,5.197115421295166
Regular Plural,shacks,man,10.889026880264282,4.46865177154541
