Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,11.187536239624023,13.197554588317871
Sibilant Plural,hoses,collector,14.456742525100708,12.869573593139648
Regular Singular,hoe,collector,14.186333656311035,12.78058671951294
Regular Plural,hoes,collector,15.532853126525879,12.852571487426758
Sibilant Singular,rose,organizer,10.068336486816406,17.97912883758545
Sibilant Plural,roses,organizer,12.502187490463257,17.242793083190918
Regular Singular,row,organizer,9.882922172546387,16.667879581451416
Regular Plural,rows,organizer,10.748793125152588,18.454044818878174
Sibilant Singular,rise,addict,9.379422664642334,12.564971446990967
Sibilant Plural,rises,addict,12.521010398864746,13.13479232788086
Regular Singular,lie,addict,9.247136116027832,12.098853588104248
Regular Plural,lies,addict,10.029613971710205,12.773270606994629
Sibilant Singular,clause,hider,11.096030950546265,15.53685188293457
Sibilant Plural,clauses,hider,13.215583324432373,16.14920949935913
Regular Singular,claw,hider,14.10288667678833,14.535324096679688
Regular Plural,claws,hider,14.021543502807617,15.443714141845703
Sibilant Singular,gaze,attractor,13.795949459075928,14.313729763031006
Sibilant Plural,gazes,attractor,14.123183250427246,14.131118297576904
Regular Singular,guy,attractor,7.843538284301758,15.752756118774414
Regular Plural,guys,attractor,8.928996086120605,15.14612102508545
Sibilant Singular,box,horde,8.811946868896484,19.451215744018555
Sibilant Plural,boxes,horde,11.730948448181152,20.030722618103027
Regular Singular,book,horde,6.6219048500061035,20.159069061279297
Regular Plural,books,horde,8.236944198608398,20.211833000183105
Sibilant Singular,sex,distinctions,9.692473411560059,11.922729969024658
Sibilant Plural,sexes,distinctions,12.369925022125244,13.917438983917236
Regular Singular,sack,distinctions,12.28316879272461,13.716625690460205
Regular Plural,sacks,distinctions,14.153992891311646,13.352625370025635
Sibilant Singular,tax,repayment,7.996787071228027,15.3687424659729
Sibilant Plural,taxes,repayment,9.269291400909424,14.760720252990723
Regular Singular,tack,repayment,10.881080150604248,16.499221801757812
Regular Plural,tacks,repayment,13.250678777694702,16.704898834228516
Sibilant Singular,size,device,7.371144771575928,12.027338027954102
Sibilant Plural,sizes,device,14.028453350067139,9.946761131286621
Regular Singular,sigh,device,12.735491752624512,10.020085334777832
Regular Plural,sighs,device,13.183171510696411,9.420506477355957
Sibilant Singular,praise,getter,12.786199569702148,17.66270923614502
Sibilant Plural,praises,getter,13.54553771018982,18.099628448486328
Regular Singular,tray,getter,12.904411315917969,18.764145851135254
Regular Plural,trays,getter,17.13603162765503,17.87315082550049
Sibilant Singular,bruise,expert,15.748563766479492,9.847588539123535
Sibilant Plural,bruises,expert,16.58749485015869,11.505841255187988
Regular Singular,brew,expert,12.693099021911621,10.652140617370605
Regular Plural,brews,expert,15.05156922340393,12.37906265258789
Sibilant Singular,raise,seeker,9.563036441802979,15.322166442871094
Sibilant Plural,raises,seeker,11.522271633148193,15.309382438659668
Regular Singular,ray,seeker,9.396149158477783,16.409535884857178
Regular Plural,rays,seeker,11.457592010498047,15.758733749389648
Sibilant Singular,blaze,admirer,15.459442615509033,19.041783809661865
Sibilant Plural,blazes,admirer,15.610630750656128,19.0413875579834
Regular Singular,play,admirer,7.333982467651367,19.361875534057617
Regular Plural,plays,admirer,10.563846588134766,19.53077983856201
Sibilant Singular,vase,steward,14.028355598449707,16.82963228225708
Sibilant Plural,vases,steward,14.590226173400879,17.943589210510254
Regular Singular,bee,steward,11.754173278808594,17.1602725982666
Regular Plural,bees,steward,11.839481353759766,17.981430053710938
Sibilant Singular,fox,avoiders,9.849438667297363,18.57187843322754
Sibilant Plural,foxes,avoiders,11.599841117858887,18.761122703552246
Regular Singular,shock,avoiders,10.4459867477417,19.45612144470215
Regular Plural,shocks,avoiders,11.895505428314209,18.375056266784668
Sibilant Singular,maze,expert,12.910637378692627,12.103455543518066
Sibilant Plural,mazes,expert,16.286229133605957,12.338298797607422
Regular Singular,bay,expert,8.8079195022583,11.738713264465332
Regular Plural,bays,expert,16.28067398071289,12.909873008728027
Sibilant Singular,breeze,protector,14.49845027923584,14.129581928253174
Sibilant Plural,breezes,protector,21.047616958618164,13.646422863006592
Regular Singular,tree,protector,7.518342971801758,15.343533039093018
Regular Plural,trees,protector,10.944597244262695,15.967215538024902
Sibilant Singular,cause,evaluator,8.31987190246582,23.647082328796387
Sibilant Plural,causes,evaluator,9.282582998275757,22.060049057006836
Regular Singular,paw,evaluator,12.346415042877197,22.871046543121338
Regular Plural,paws,evaluator,13.934873580932617,24.136712074279785
Sibilant Singular,phase,fanatic,13.886155128479004,19.7685866355896
Sibilant Plural,phases,fanatic,18.683287143707275,20.97867202758789
Regular Singular,fee,fanatic,11.247503519058228,20.044363021850586
Regular Plural,fees,fanatic,10.844788074493408,20.874839782714844
Sibilant Singular,fax,man,12.82741928100586,6.401684761047363
Sibilant Plural,faxes,man,17.232457637786865,7.1818108558654785
Regular Singular,shack,man,13.19366455078125,6.092148780822754
Regular Plural,shacks,man,15.486952781677246,6.953545570373535
