"Category","Non.Head","Head","Surprisal.Non.head","Surprisal.head","model","File","regularity","plurality","regularity_num","plurality_num","set"
"Irregular Singular","goose","protector",14.1944675445557,14.3363053798676,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Singular",0.5,-0.5,"set_goose_swan"
"Irregular Plural","geese","protector",20.0632915496826,13.5343608856201,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Plural",0.5,0.5,"set_goose_swan"
"Regular Singular","swan","protector",19.5170936584473,16.7913937568665,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Singular",-0.5,-0.5,"set_goose_swan"
"Regular Plural","swans","protector",19.8804054260254,17.9414005279541,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Plural",-0.5,0.5,"set_goose_swan"
"Irregular Singular","goose","trader",14.1944675445557,13.2373843193054,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Singular",0.5,-0.5,"set_goose_swan"
"Irregular Plural","geese","trader",20.0632915496826,11.7830052375793,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Plural",0.5,0.5,"set_goose_swan"
"Regular Singular","swan","trader",19.5170936584473,13.4342877864838,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Singular",-0.5,-0.5,"set_goose_swan"
"Regular Plural","swans","trader",19.8804054260254,14.6575081348419,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Plural",-0.5,0.5,"set_goose_swan"
"Irregular Singular","goose","tracker",14.1944675445557,15.39417552948,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Singular",0.5,-0.5,"set_goose_swan"
"Irregular Plural","geese","tracker",20.0632915496826,15.5557651519775,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Plural",0.5,0.5,"set_goose_swan"
"Regular Singular","swan","tracker",19.5170936584473,15.9420032501221,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Singular",-0.5,-0.5,"set_goose_swan"
"Regular Plural","swans","tracker",19.8804054260254,16.057457447052,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Plural",-0.5,0.5,"set_goose_swan"
"Irregular Singular","goose","expert",14.194465637207,12.6152324676514,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Singular",0.5,-0.5,"set_goose_swan"
"Irregular Plural","geese","expert",20.0632915496826,10.8822078704834,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Plural",0.5,0.5,"set_goose_swan"
"Regular Singular","swan","expert",19.5170936584473,12.8850536346436,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Singular",-0.5,-0.5,"set_goose_swan"
"Regular Plural","swans","expert",19.8804054260254,13.1755380630493,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Plural",-0.5,0.5,"set_goose_swan"
"Irregular Singular","ox","register",12.7763662338257,12.3982629776001,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Singular",0.5,-0.5,"set_ox_cow"
"Irregular Plural","oxen","register",18.4031553268433,12.5864114761353,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Irregular","Plural",0.5,0.5,"set_ox_cow"
"Regular Singular","cow","register",15.4107627868652,13.7952251434326,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Singular",-0.5,-0.5,"set_ox_cow"
"Regular Plural","cows","register",15.1955938339233,11.8102645874023,"babyLlama_10M","results_experiment_1_babyLlama_10M.csv","Regular","Plural",-0.5,0.5,"set_ox_cow"
