Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,25.700125694274902,12.244819641113281
Irregular Plural,geese,protector,26.831384658813477,11.141633987426758
Regular Singular,swan,protector,28.86015796661377,11.879741668701172
Regular Plural,swans,protector,28.337740898132324,15.901785850524902
Irregular Singular,goose,trader,25.700125694274902,14.122279167175293
Irregular Plural,geese,trader,26.831384658813477,11.586393356323242
Regular Singular,swan,trader,28.86015796661377,13.867942810058594
Regular Plural,swans,trader,28.337740898132324,17.511154174804688
Irregular Singular,goose,tracker,25.700125694274902,13.233992576599121
Irregular Plural,geese,tracker,26.831384658813477,11.763389587402344
Regular Singular,swan,tracker,28.86015796661377,9.046517372131348
Regular Plural,swans,tracker,28.337740898132324,13.897364616394043
Irregular Singular,goose,expert,25.700125694274902,9.281463623046875
Irregular Plural,geese,expert,26.831384658813477,8.897193908691406
Regular Singular,swan,expert,28.86015796661377,8.638944625854492
Regular Plural,swans,expert,28.337740898132324,10.725191116333008
Irregular Singular,ox,register,19.55354881286621,12.999812126159668
Irregular Plural,oxen,register,28.188194274902344,14.061044692993164
Regular Singular,cow,register,17.964982986450195,10.26025104522705
Regular Plural,cows,register,22.8318510055542,13.507596015930176
Irregular Singular,ox,trader,19.55354881286621,15.066720008850098
Irregular Plural,oxen,trader,28.188194274902344,14.032608032226562
Regular Singular,cow,trader,17.964982986450195,12.946785926818848
Regular Plural,cows,trader,22.8318510055542,16.604827880859375
Irregular Singular,ox,tracker,19.55354881286621,14.619150161743164
Irregular Plural,oxen,tracker,28.188194274902344,14.151985168457031
Regular Singular,cow,tracker,17.964982986450195,14.943228721618652
Regular Plural,cows,tracker,22.8318510055542,15.008480072021484
Irregular Singular,ox,finder,19.55354118347168,15.93545913696289
Irregular Plural,oxen,finder,28.188194274902344,13.91030502319336
Regular Singular,cow,finder,17.964981079101562,14.098517417907715
Regular Plural,cows,finder,22.8318510055542,18.024964332580566
Irregular Singular,louse,issue,28.415863037109375,10.55203914642334
Irregular Plural,lice,issue,23.898625373840332,12.124801635742188
Regular Singular,flea,issue,19.907532691955566,10.675533294677734
Regular Plural,fleas,issue,22.754940509796143,11.866549491882324
Irregular Singular,louse,trader,28.415863037109375,12.022575378417969
Irregular Plural,lice,trader,23.898625373840332,15.858319282531738
Regular Singular,flea,trader,19.907532691955566,13.524039268493652
Regular Plural,fleas,trader,22.754940509796143,14.375626564025879
Irregular Singular,louse,tracker,28.415863037109375,13.040481567382812
Irregular Plural,lice,tracker,23.898625373840332,14.205495834350586
Regular Singular,flea,tracker,19.907532691955566,14.405803680419922
Regular Plural,fleas,tracker,22.754940509796143,13.166106224060059
Irregular Singular,louse,expert,28.415863037109375,10.16596794128418
Irregular Plural,lice,expert,23.898625373840332,10.987908363342285
Regular Singular,flea,expert,19.907532691955566,9.248334884643555
Regular Plural,fleas,expert,22.754940509796143,9.470315933227539
Irregular Singular,mouse,issue,20.657390594482422,10.682357788085938
Irregular Plural,mice,issue,22.353901863098145,11.403481483459473
Regular Singular,rat,issue,21.33445167541504,7.048017501831055
Regular Plural,rats,issue,19.97871208190918,12.474748611450195
