Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,22.485719680786133,17.450214385986328
Irregular Plural,geese,protector,33.76090049743652,15.523383140563965
Regular Singular,swan,protector,26.89231586456299,13.183856010437012
Regular Plural,swans,protector,20.985042095184326,14.427125930786133
Irregular Singular,goose,trader,22.485719680786133,15.900657653808594
Irregular Plural,geese,trader,33.76090049743652,12.998940467834473
Regular Singular,swan,trader,26.89231586456299,14.80660343170166
Regular Plural,swans,trader,20.985042095184326,14.53000259399414
Irregular Singular,goose,tracker,22.485719680786133,20.271621704101562
Irregular Plural,geese,tracker,33.76090049743652,14.753820180892944
Regular Singular,swan,tracker,26.89231586456299,16.84096336364746
Regular Plural,swans,tracker,20.985042095184326,17.059200286865234
Irregular Singular,goose,expert,22.485719680786133,10.782992362976074
Irregular Plural,geese,expert,33.76090049743652,8.542439460754395
Regular Singular,swan,expert,26.89231586456299,11.448347091674805
Regular Plural,swans,expert,20.985042095184326,7.270442008972168
Irregular Singular,ox,register,13.309144020080566,13.057172775268555
Irregular Plural,oxen,register,23.401174545288086,15.07669448852539
Regular Singular,cow,register,10.719521522521973,13.749359130859375
Regular Plural,cows,register,32.12260627746582,13.784592628479004
Irregular Singular,ox,trader,13.309144020080566,17.39825439453125
Irregular Plural,oxen,trader,23.401174545288086,15.974374771118164
Regular Singular,cow,trader,10.719521522521973,12.95705509185791
Regular Plural,cows,trader,32.12260627746582,14.231809616088867
Irregular Singular,ox,tracker,13.309146881103516,15.415816068649292
Irregular Plural,oxen,tracker,23.401174545288086,15.517178535461426
Regular Singular,cow,tracker,10.719520568847656,18.8865966796875
Regular Plural,cows,tracker,32.12260627746582,17.792637825012207
Irregular Singular,ox,finder,13.309146881103516,10.875956296920776
Irregular Plural,oxen,finder,23.401174545288086,12.702238321304321
Regular Singular,cow,finder,10.719520568847656,16.5579571723938
Regular Plural,cows,finder,32.12260627746582,18.094850540161133
Irregular Singular,louse,issue,19.961936950683594,7.392561435699463
Irregular Plural,lice,issue,19.440587997436523,10.199064254760742
Regular Singular,flea,issue,26.594807624816895,11.858521461486816
Regular Plural,fleas,issue,24.047494888305664,13.255163192749023
Irregular Singular,louse,trader,19.961936950683594,13.765375137329102
Irregular Plural,lice,trader,19.440587997436523,14.33220386505127
Regular Singular,flea,trader,26.594807624816895,14.033548355102539
Regular Plural,fleas,trader,24.047494888305664,11.722318649291992
Irregular Singular,louse,tracker,19.961936950683594,12.874778032302856
Irregular Plural,lice,tracker,19.440587997436523,25.418352127075195
Regular Singular,flea,tracker,26.594807624816895,14.25309407711029
Regular Plural,fleas,tracker,24.047494888305664,19.00264549255371
Irregular Singular,louse,expert,19.961936950683594,13.428125381469727
Irregular Plural,lice,expert,19.440587997436523,10.628242492675781
Regular Singular,flea,expert,26.594807624816895,12.178051948547363
Regular Plural,fleas,expert,24.047494888305664,10.82430648803711
Irregular Singular,mouse,issue,16.42305278778076,11.625666618347168
Irregular Plural,mice,issue,18.155160903930664,10.10254955291748
Regular Singular,rat,issue,11.759702682495117,12.32463550567627
Regular Plural,rats,issue,26.49625873565674,9.32698917388916
Irregular Singular,mouse,trader,16.42305278778076,15.170042037963867
Irregular Plural,mice,trader,18.155160903930664,16.733322143554688
Regular Singular,rat,trader,11.759702682495117,11.904037475585938
