Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,13.771787643432617,14.08854866027832
Irregular Plural,geese,protector,18.483433723449707,10.228770732879639
Regular Singular,swan,protector,12.472490310668945,13.721749305725098
Regular Plural,swans,protector,14.462550640106201,13.172690391540527
Irregular Singular,goose,trader,20.98451042175293,2.147146224975586
Irregular Plural,geese,trader,24.926662921905518,1.746302604675293
Regular Singular,swan,trader,17.15941572189331,12.628653526306152
Regular Plural,swans,trader,22.237489700317383,6.726090908050537
Irregular Singular,goose,tracker,13.771787643432617,11.6585054397583
Irregular Plural,geese,tracker,14.356931209564209,13.235329627990723
Regular Singular,swan,tracker,23.77619695663452,7.911661148071289
Regular Plural,swans,tracker,22.237489700317383,9.957530975341797
Irregular Singular,goose,expert,13.771787643432617,16.96598529815674
Irregular Plural,geese,expert,14.356931209564209,13.37669563293457
Regular Singular,swan,expert,12.472490310668945,14.644716262817383
Regular Plural,swans,expert,20.821105003356934,6.2356977462768555
Irregular Singular,ox,register,12.03091049194336,9.872553825378418
Irregular Plural,oxen,register,16.092476844787598,13.835566520690918
Regular Singular,cow,register,10.576471328735352,14.7470703125
Regular Plural,cows,register,13.18617057800293,12.676023483276367
Irregular Singular,ox,trader,19.624327182769775,4.229892253875732
Irregular Plural,oxen,trader,20.565543174743652,9.337620735168457
Regular Singular,cow,trader,23.979464530944824,2.2689342498779297
Regular Plural,cows,trader,19.31561851501465,9.378472328186035
Irregular Singular,ox,tracker,12.030909538269043,13.27689266204834
Irregular Plural,oxen,tracker,24.423506259918213,7.694881916046143
Regular Singular,cow,tracker,10.576470375061035,16.885775566101074
Regular Plural,cows,tracker,19.31561851501465,8.4520263671875
Irregular Singular,ox,finder,22.84084701538086,2.6111207008361816
Irregular Plural,oxen,finder,26.053024768829346,4.09992790222168
Regular Singular,cow,finder,18.769509315490723,1.8217296600341797
Regular Plural,cows,finder,22.773893356323242,5.721188545227051
Irregular Singular,louse,issue,14.992762088775635,13.115936279296875
Irregular Plural,lice,issue,14.77142858505249,14.597478866577148
Regular Singular,flea,issue,17.876389026641846,11.154499053955078
Regular Plural,fleas,issue,13.734251022338867,11.11766529083252
Irregular Singular,louse,trader,27.823508262634277,1.261509895324707
Irregular Plural,lice,trader,24.12553644180298,2.875563621520996
Regular Singular,flea,trader,21.852654457092285,9.893207550048828
Regular Plural,fleas,trader,24.924556732177734,3.5181875228881836
Irregular Singular,louse,tracker,14.992759704589844,13.452296257019043
Irregular Plural,lice,tracker,14.771422863006592,15.016252040863037
Regular Singular,flea,tracker,21.852654457092285,9.522390365600586
Regular Plural,fleas,tracker,13.734251022338867,16.989471912384033
Irregular Singular,louse,expert,14.992759704589844,13.388174057006836
Irregular Plural,lice,expert,14.771422863006592,13.873383522033691
Regular Singular,flea,expert,14.512287139892578,13.290217399597168
Regular Plural,fleas,expert,13.734251022338867,13.118123054504395
Irregular Singular,mouse,issue,12.182220458984375,9.760884284973145
Irregular Plural,mice,issue,14.073115348815918,10.682496070861816
Regular Singular,rat,issue,12.114770889282227,9.355608940124512
Regular Plural,rats,issue,17.88600778579712,9.380046844482422
Irregular Singular,mouse,trader,21.314043045043945,2.177191734313965
Irregular Plural,mice,trader,24.92202377319336,3.0087080001831055
Regular Singular,rat,trader,22.9979829788208,1.8508892059326172
Regular Plural,rats,trader,20.587312698364258,7.4884772300720215
Irregular Singular,mouse,tracker,12.182219505310059,11.237812519073486
Irregular Plural,mice,tracker,14.073110580444336,14.782834529876709
Regular Singular,rat,tracker,12.114768981933594,14.270245552062988
Regular Plural,rats,tracker,20.587312698364258,5.156170845031738
Irregular Singular,mouse,inspector,12.182220458984375,11.910103797912598
