Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,22.74784564971924,13.325098037719727
Irregular Plural,geese,protector,25.78560471534729,16.00488567352295
Regular Singular,swan,protector,21.7244610786438,12.182350397109985
Regular Plural,swans,protector,24.343908309936523,14.869030475616455
Irregular Singular,goose,trader,22.747846603393555,12.814135551452637
Irregular Plural,geese,trader,25.785603761672974,13.142419338226318
Regular Singular,swan,trader,21.724460124969482,12.081753015518188
Regular Plural,swans,trader,24.343908309936523,14.498640060424805
Irregular Singular,goose,tracker,22.74784755706787,13.23029351234436
Irregular Plural,geese,tracker,25.785606145858765,13.479069232940674
Regular Singular,swan,tracker,21.724460124969482,12.991305828094482
Regular Plural,swans,tracker,24.34390878677368,15.884849071502686
Irregular Singular,goose,expert,22.747846603393555,13.605882167816162
Irregular Plural,geese,expert,25.785603761672974,13.469683647155762
Regular Singular,swan,expert,21.724460124969482,13.090362071990967
Regular Plural,swans,expert,24.343908309936523,13.09677267074585
Irregular Singular,ox,register,22.50985622406006,12.786423444747925
Irregular Plural,oxen,register,22.372743606567383,10.974196672439575
Regular Singular,cow,register,21.794981002807617,13.274426698684692
Regular Plural,cows,register,22.30664348602295,12.890825033187866
Irregular Singular,ox,trader,22.50985622406006,11.24551010131836
Irregular Plural,oxen,trader,22.37274432182312,14.381265640258789
Regular Singular,cow,trader,21.794981002807617,13.312755823135376
Regular Plural,cows,trader,22.30664348602295,17.333781480789185
Irregular Singular,ox,tracker,22.50985622406006,12.376170635223389
Irregular Plural,oxen,tracker,22.37274432182312,15.411982536315918
Regular Singular,cow,tracker,21.794981002807617,13.427866458892822
Regular Plural,cows,tracker,22.30664348602295,17.20296883583069
Irregular Singular,ox,finder,22.50985622406006,12.881694793701172
Irregular Plural,oxen,finder,22.37274432182312,16.08549213409424
Regular Singular,cow,finder,21.794981002807617,12.005683422088623
Regular Plural,cows,finder,22.30664348602295,16.877232551574707
Irregular Singular,louse,issue,25.12189292907715,13.083921432495117
Irregular Plural,lice,issue,24.43002462387085,10.467292547225952
Regular Singular,flea,issue,22.669028997421265,11.632839679718018
Regular Plural,fleas,issue,22.46789526939392,11.891339302062988
Irregular Singular,louse,trader,25.12189292907715,13.895097970962524
Irregular Plural,lice,trader,24.43002462387085,14.596324682235718
Regular Singular,flea,trader,22.669028997421265,12.199044227600098
Regular Plural,fleas,trader,22.46789526939392,14.403286457061768
Irregular Singular,louse,tracker,25.121893167495728,14.462013483047485
Irregular Plural,lice,tracker,24.43002462387085,13.790269136428833
Regular Singular,flea,tracker,22.669028997421265,11.803873538970947
Regular Plural,fleas,tracker,22.467894792556763,14.405979871749878
Irregular Singular,louse,expert,25.12189292907715,12.587656497955322
Irregular Plural,lice,expert,24.43002462387085,13.125926494598389
Regular Singular,flea,expert,22.669028997421265,11.485892295837402
Regular Plural,fleas,expert,22.46789526939392,12.567477941513062
Irregular Singular,mouse,issue,21.300896406173706,11.562784910202026
Irregular Plural,mice,issue,21.883755207061768,10.867482662200928
Regular Singular,rat,issue,21.40829563140869,10.56765103340149
Regular Plural,rats,issue,21.325839042663574,11.741846084594727
Irregular Singular,mouse,trader,21.300896406173706,12.181008100509644
Irregular Plural,mice,trader,21.883755207061768,13.832515239715576
Regular Singular,rat,trader,21.40829563140869,12.493889093399048
Regular Plural,rats,trader,21.325839042663574,16.65571355819702
Irregular Singular,mouse,tracker,21.300897359848022,11.968239545822144
Irregular Plural,mice,tracker,21.883755207061768,14.98892879486084
Regular Singular,rat,tracker,21.40829563140869,11.551424264907837
