Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,21.903635025024414,21.292685985565186
Irregular Plural,geese,protector,19.71258056163788,29.475709915161133
Regular Singular,swan,protector,19.246212482452393,19.04638957977295
Regular Plural,swans,protector,22.76777744293213,22.730130672454834
Irregular Singular,goose,trader,17.566753387451172,24.06299591064453
Irregular Plural,geese,trader,15.293914556503296,22.777329444885254
Regular Singular,swan,trader,18.38472604751587,20.016472339630127
Regular Plural,swans,trader,21.954813480377197,24.410848140716553
Irregular Singular,goose,tracker,20.370431900024414,29.321335792541504
Irregular Plural,geese,tracker,17.579431772232056,28.105238914489746
Regular Singular,swan,tracker,20.075722694396973,20.769272327423096
Regular Plural,swans,tracker,24.912033081054688,23.757302284240723
Irregular Singular,goose,expert,22.00921630859375,21.485506057739258
Irregular Plural,geese,expert,19.215234756469727,19.111520767211914
Regular Singular,swan,expert,20.73743200302124,19.098365783691406
Regular Plural,swans,expert,25.098393440246582,19.883914947509766
Irregular Singular,ox,register,22.462329864501953,22.37847900390625
Irregular Plural,oxen,register,30.153326988220215,23.582563400268555
Regular Singular,cow,register,22.53402328491211,22.832759857177734
Regular Plural,cows,register,21.877357482910156,19.942216873168945
Irregular Singular,ox,trader,15.530760765075684,28.8211932182312
Irregular Plural,oxen,trader,18.040807723999023,23.144746780395508
Regular Singular,cow,trader,10.830986976623535,19.739776611328125
Regular Plural,cows,trader,19.18104362487793,23.05610704421997
Irregular Singular,ox,tracker,16.655580520629883,32.68321418762207
Irregular Plural,oxen,tracker,20.251229286193848,25.194117546081543
Regular Singular,cow,tracker,15.230790138244629,27.0279598236084
Regular Plural,cows,tracker,22.149944305419922,27.64112949371338
Irregular Singular,ox,finder,18.272905349731445,29.40070867538452
Irregular Plural,oxen,finder,23.996773719787598,31.408946990966797
Regular Singular,cow,finder,18.240751266479492,23.99117088317871
Regular Plural,cows,finder,23.65291404724121,24.79854679107666
Irregular Singular,louse,issue,26.910168647766113,19.807540893554688
Irregular Plural,lice,issue,24.87710952758789,19.40389633178711
Regular Singular,flea,issue,22.899159908294678,18.6957950592041
Regular Plural,fleas,issue,25.058691024780273,19.16685676574707
Irregular Singular,louse,trader,23.457059860229492,22.481578826904297
Irregular Plural,lice,trader,19.05136775970459,19.28325319290161
Regular Singular,flea,trader,16.661898851394653,15.609572887420654
Regular Plural,fleas,trader,21.32777976989746,20.602967262268066
