Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Irregular Singular,goose,protector,12.242700099945068,11.276094675064087
Irregular Plural,geese,protector,13.864716053009033,10.68584132194519
Regular Singular,swan,protector,12.279177188873291,9.995439767837524
Regular Plural,swans,protector,14.537675380706787,12.436239004135132
Irregular Singular,goose,trader,12.242697954177856,10.846426010131836
Irregular Plural,geese,trader,13.864715099334717,9.854346752166748
Regular Singular,swan,trader,12.279177188873291,8.898854732513428
Regular Plural,swans,trader,14.537675380706787,11.059374332427979
Irregular Singular,goose,tracker,12.242697954177856,12.232903003692627
Irregular Plural,geese,tracker,13.864715099334717,11.813629150390625
Regular Singular,swan,tracker,12.279177188873291,11.28867793083191
Regular Plural,swans,tracker,14.537675380706787,11.844781637191772
Irregular Singular,goose,expert,12.242697954177856,11.59618854522705
Irregular Plural,geese,expert,13.864715099334717,11.94446611404419
Regular Singular,swan,expert,12.279177188873291,11.098775386810303
Regular Plural,swans,expert,14.537675380706787,11.271811962127686
Irregular Singular,ox,register,11.009894371032715,11.16285228729248
Irregular Plural,oxen,register,13.722344636917114,11.244832277297974
Regular Singular,cow,register,7.541288614273071,11.547057390213013
Regular Plural,cows,register,12.403160333633423,12.739524364471436
Irregular Singular,ox,trader,11.009894371032715,10.76956582069397
Irregular Plural,oxen,trader,13.72234296798706,10.389445304870605
Regular Singular,cow,trader,7.541288614273071,11.498814582824707
Regular Plural,cows,trader,12.403160333633423,11.918367862701416
Irregular Singular,ox,tracker,11.009894371032715,12.57486629486084
Irregular Plural,oxen,tracker,13.72234296798706,12.396483659744263
Regular Singular,cow,tracker,7.541288614273071,12.575820684432983
Regular Plural,cows,tracker,12.403160333633423,13.250955581665039
Irregular Singular,ox,finder,11.009894371032715,13.060296058654785
Irregular Plural,oxen,finder,13.72234296798706,14.338502645492554
Regular Singular,cow,finder,7.541288614273071,14.012430429458618
Regular Plural,cows,finder,12.403160333633423,14.986030101776123
Irregular Singular,louse,issue,12.293543338775635,11.638975620269775
Irregular Plural,lice,issue,11.787297248840332,11.14460301399231
Regular Singular,flea,issue,11.868672609329224,9.548299551010132
Regular Plural,fleas,issue,13.67053771018982,10.245630025863647
Irregular Singular,louse,trader,12.293543338775635,11.437388896942139
Irregular Plural,lice,trader,11.787296295166016,11.09313440322876
Regular Singular,flea,trader,11.868672847747803,10.783570051193237
Regular Plural,fleas,trader,13.670537948608398,12.676130056381226
Irregular Singular,louse,tracker,12.293543338775635,12.485032320022583
Irregular Plural,lice,tracker,11.787296295166016,12.645383358001709
Regular Singular,flea,tracker,11.868672847747803,12.290478467941284
Regular Plural,fleas,tracker,13.670537948608398,12.839964628219604
Irregular Singular,louse,expert,12.293543338775635,11.351077556610107
Irregular Plural,lice,expert,11.787296295166016,11.071837663650513
Regular Singular,flea,expert,11.868672847747803,11.966624975204468
Regular Plural,fleas,expert,13.670537948608398,12.248937606811523
Irregular Singular,mouse,issue,11.129152774810791,10.916726112365723
Irregular Plural,mice,issue,10.67034912109375,11.623045444488525
Regular Singular,rat,issue,10.631693363189697,10.628161430358887
Regular Plural,rats,issue,12.337125778198242,11.377630710601807
Irregular Singular,mouse,trader,11.12915325164795,11.270416975021362
Irregular Plural,mice,trader,10.670350074768066,11.535751581192017
Regular Singular,rat,trader,10.63169264793396,11.291673421859741
Regular Plural,rats,trader,12.337125062942505,12.60851001739502
Irregular Singular,mouse,tracker,11.12915325164795,10.9320387840271
Irregular Plural,mice,tracker,10.670350074768066,12.517748832702637
Regular Singular,rat,tracker,10.63169264793396,11.034147500991821
Regular Plural,rats,tracker,12.337125062942505,13.623100757598877
Irregular Singular,mouse,inspector,11.12915325164795,11.10459280014038
Irregular Plural,mice,inspector,10.670349597930908,11.71738600730896
Regular Singular,rat,inspector,10.63169240951538,11.389803171157837
Regular Plural,rats,inspector,12.337124109268188,12.23408055305481
Irregular Singular,foot,issue,8.214956283569336,10.189676523208618
Irregular Plural,feet,issue,11.73624038696289,10.803183555603027
