Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.768487930297852,16.832550048828125
Sibilant Plural,blazes,protector,16.868111610412598,16.00949716567993
Regular Singular,spark,protector,13.091919898986816,16.18477725982666
Regular Plural,sparks,protector,14.900481224060059,16.279796600341797
Sibilant Singular,breeze,protector,11.991866111755371,16.76508617401123
Sibilant Plural,breezes,protector,14.38685131072998,15.014371871948242
Regular Singular,storm,protector,9.743359565734863,15.479422569274902
Regular Plural,storms,protector,11.177075386047363,16.21466636657715
Sibilant Singular,tax,receivers,10.021349906921387,12.338794708251953
Sibilant Plural,taxes,receivers,11.316476821899414,13.566045761108398
Regular Singular,toll,receivers,13.521917343139648,13.63630485534668
Regular Plural,tolls,receivers,17.29085063934326,15.31700325012207
Sibilant Singular,sex,disparities,9.448253631591797,18.634140968322754
Sibilant Plural,sexes,disparities,13.855574607849121,21.394672393798828
Regular Singular,gender,disparities,9.864831924438477,17.173107147216797
Regular Plural,genders,disparities,13.708626747131348,20.115760803222656
Sibilant Singular,vase,maker,14.290287017822266,11.732181549072266
Sibilant Plural,vases,maker,15.014687538146973,14.292886734008789
Regular Singular,pot,maker,10.352388381958008,9.299184799194336
Regular Plural,pots,maker,12.589397430419922,12.223288536071777
Sibilant Singular,hoax,victims,14.798089981079102,12.60793399810791
Sibilant Plural,hoaxes,victims,16.78062343597412,10.532872200012207
Regular Singular,joke,victims,12.680688858032227,13.189409255981445
Regular Plural,jokes,victims,14.043767929077148,14.896658897399902
Sibilant Singular,phase,classifier,10.71684741973877,24.26260757446289
Sibilant Plural,phases,classifier,12.216483116149902,27.230595588684082
Regular Singular,step,classifier,10.996628761291504,24.07349395751953
Regular Plural,steps,classifier,10.494322776794434,29.253719329833984
Sibilant Singular,hose,installer,12.685527801513672,14.907782554626465
Sibilant Plural,hoses,installer,15.583988189697266,18.068483352661133
Regular Singular,pipe,installer,10.310927391052246,14.257586479187012
Regular Plural,pipes,installer,11.475592613220215,18.3814754486084
Sibilant Singular,fox,chaser,9.92660903930664,11.372687339782715
Sibilant Plural,foxes,chaser,13.326337814331055,14.906828880310059
Regular Singular,wolf,chaser,10.020480155944824,13.868658065795898
Regular Plural,wolves,chaser,12.046594619750977,15.797571182250977
Sibilant Singular,mix,winner,9.528990745544434,15.617538452148438
Sibilant Plural,mixes,winner,11.089022636413574,16.891172409057617
Regular Singular,blend,winner,13.700356006622314,12.673614501953125
Regular Plural,blends,winner,12.121238708496094,13.233874320983887
Sibilant Singular,nose,rashes,8.932721138000488,18.960591316223145
Sibilant Plural,noses,rashes,11.432461738586426,21.327425479888916
Regular Singular,thigh,rashes,10.949962615966797,16.96820640563965
Regular Plural,thighs,rashes,11.401371955871582,18.398466110229492
Sibilant Singular,cause,evaluators,9.148918151855469,20.446054458618164
Sibilant Plural,causes,evaluators,9.718324661254883,20.96138858795166
Regular Singular,loss,evaluators,11.09581184387207,21.104761123657227
Regular Plural,losses,evaluators,12.405939102172852,22.41781711578369
Sibilant Singular,gaze,detector,12.1641263961792,13.730393409729004
Sibilant Plural,gazes,detector,15.774678230285645,15.451200485229492
Regular Singular,stare,detector,14.752351760864258,12.759007453918457
Regular Plural,stares,detector,15.874300003051758,15.116996765136719
Sibilant Singular,clause,finder,12.971287727355957,13.694316864013672
Sibilant Plural,clauses,finder,13.9086332321167,15.336895942687988
Regular Singular,article,finder,9.018179893493652,14.731653213500977
Regular Plural,articles,finder,10.583328247070312,17.004669666290283
Sibilant Singular,maze,decoder,14.398564338684082,17.546361923217773
Sibilant Plural,mazes,decoder,16.376245498657227,19.18449068069458
Regular Singular,web,decoder,9.55837631225586,15.164654731750488
Regular Plural,webs,decoder,10.992658615112305,19.72442054748535
Sibilant Singular,quiz,expert,11.763752937316895,14.62077522277832
Sibilant Plural,quizzes,expert,18.02849817276001,13.876381874084473
Regular Singular,puzzle,expert,11.728668212890625,11.582289695739746
Regular Plural,puzzles,expert,12.886775970458984,13.633145332336426
Sibilant Singular,fax,man,11.869211196899414,8.927999496459961
Sibilant Plural,faxes,man,15.421843528747559,8.158023834228516
Regular Singular,copy,man,11.679049491882324,8.299545288085938
Regular Plural,copies,man,10.161892890930176,12.928790092468262
Sibilant Singular,size,device,9.301175117492676,13.356575012207031
Sibilant Plural,sizes,device,12.122300148010254,11.972895622253418
Regular Singular,shape,device,9.493315696716309,11.623919486999512
Regular Plural,shapes,device,10.913383483886719,13.015674591064453
Sibilant Singular,praise,getter,13.97032642364502,20.31213092803955
Sibilant Plural,praises,getter,16.881437301635742,22.284043312072754
Regular Singular,compliment,getter,15.527667999267578,25.895437240600586
Regular Plural,compliments,getter,16.088786125183105,29.22121238708496
Sibilant Singular,prize,recipient,9.714190483093262,9.29033088684082
Sibilant Plural,prizes,recipient,12.924476623535156,11.369612693786621
Regular Singular,award,recipient,9.102764129638672,8.396522521972656
Regular Plural,awards,recipient,9.290663719177246,11.390061378479004
Sibilant Singular,box,lifters,8.941137313842773,19.562528610229492
Sibilant Plural,boxes,lifters,11.839460372924805,20.170132637023926
Regular Singular,pack,lifters,11.559643745422363,17.8370361328125
Regular Plural,packs,lifters,13.232919692993164,18.895174980163574
Sibilant Singular,rose,gardeners,8.216001510620117,10.283902168273926
Sibilant Plural,roses,gardeners,10.740589141845703,14.431277751922607
Regular Singular,flower,gardeners,11.057225227355957,10.193626880645752
Regular Plural,flowers,gardeners,11.444794654846191,12.160912036895752
Sibilant Singular,bruise,healer,11.881912231445312,14.478545188903809
Sibilant Plural,bruises,healer,12.344171524047852,15.832955360412598
Regular Singular,sore,healer,11.364005088806152,16.403334617614746
Regular Plural,sores,healer,16.540088653564453,18.09480047225952
Sibilant Singular,rise,addict,10.629256248474121,14.962889671325684
Sibilant Plural,rises,addict,12.028717994689941,15.875089645385742
Regular Singular,drop,addict,9.266226768493652,13.194028854370117
Regular Plural,drops,addict,11.593228340148926,13.89100170135498
