Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,13.253936290740967,15.136653184890747
Sibilant Plural,blazes,protector,15.071193218231201,13.63056993484497
Regular Singular,spark,protector,12.067325115203857,14.088705778121948
Regular Plural,sparks,protector,13.401024341583252,13.076529502868652
Sibilant Singular,breeze,protector,13.992244243621826,13.301061868667603
Sibilant Plural,breezes,protector,15.82269549369812,13.4908287525177
Regular Singular,storm,protector,11.421539068222046,13.776836395263672
Regular Plural,storms,protector,12.937461137771606,14.032758235931396
Sibilant Singular,tax,receivers,10.387147188186646,10.517827987670898
Sibilant Plural,taxes,receivers,13.002090215682983,12.981097936630249
Regular Singular,toll,receivers,13.586931943893433,14.349596738815308
Regular Plural,tolls,receivers,16.239654779434204,13.90442180633545
Sibilant Singular,sex,disparities,10.095156908035278,16.445179224014282
Sibilant Plural,sexes,disparities,15.791191816329956,18.889928579330444
Regular Singular,gender,disparities,12.921374320983887,17.505897760391235
Regular Plural,genders,disparities,15.888046026229858,17.79615592956543
Sibilant Singular,vase,maker,13.78525185585022,8.732929706573486
Sibilant Plural,vases,maker,15.784436702728271,10.549312114715576
Regular Singular,pot,maker,10.781357526779175,9.983894348144531
Regular Plural,pots,maker,13.65068769454956,10.917680263519287
Sibilant Singular,hoax,victims,16.34423589706421,12.706056594848633
Sibilant Plural,hoaxes,victims,19.76861047744751,12.210501432418823
Regular Singular,joke,victims,13.012634754180908,13.281736850738525
Regular Plural,jokes,victims,14.009768962860107,16.324707984924316
Sibilant Singular,phase,classifier,12.696892499923706,15.802433013916016
Sibilant Plural,phases,classifier,15.414065599441528,16.991280555725098
Regular Singular,step,classifier,9.505289793014526,21.735116958618164
Regular Plural,steps,classifier,13.049071311950684,18.52497363090515
Sibilant Singular,hose,installer,13.477321147918701,15.709762334823608
Sibilant Plural,hoses,installer,16.00110125541687,16.241138458251953
Regular Singular,pipe,installer,11.694361925125122,15.603155136108398
Regular Plural,pipes,installer,14.014590978622437,15.38799262046814
Sibilant Singular,fox,chaser,10.849179744720459,12.146011590957642
Sibilant Plural,foxes,chaser,14.095373153686523,12.252747058868408
Regular Singular,wolf,chaser,11.559079647064209,11.819838523864746
Regular Plural,wolves,chaser,12.831225872039795,11.963349342346191
Sibilant Singular,mix,winner,12.125308275222778,11.589403629302979
Sibilant Plural,mixes,winner,16.893999099731445,12.676813125610352
Regular Singular,blend,winner,13.799915552139282,14.98483395576477
Regular Plural,blends,winner,16.121829986572266,13.536913394927979
Sibilant Singular,nose,rashes,11.438967943191528,17.12588667869568
Sibilant Plural,noses,rashes,15.885509729385376,18.518632173538208
Regular Singular,thigh,rashes,14.493547201156616,16.31567883491516
Regular Plural,thighs,rashes,15.227186441421509,18.369232654571533
