Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.736078262329102,15.715132713317871
Sibilant Plural,blazes,protector,19.960845947265625,17.05581283569336
Regular Singular,spark,protector,16.47745943069458,14.377566576004028
Regular Plural,sparks,protector,17.67447829246521,16.551711082458496
Sibilant Singular,breeze,protector,19.333505153656006,13.859646558761597
Sibilant Plural,breezes,protector,22.965335845947266,15.585471868515015
Regular Singular,storm,protector,12.346973419189453,13.518028259277344
Regular Plural,storms,protector,14.743971824645996,17.170238494873047
Sibilant Singular,tax,receivers,17.245826721191406,14.53800106048584
Sibilant Plural,taxes,receivers,22.10813808441162,14.29366135597229
Regular Singular,toll,receivers,17.35294008255005,14.405708312988281
Regular Plural,tolls,receivers,18.98819351196289,14.470652103424072
Sibilant Singular,sex,disparities,11.618282318115234,18.661625385284424
Sibilant Plural,sexes,disparities,17.783071517944336,18.992157459259033
Regular Singular,gender,disparities,17.0296049118042,19.3415584564209
Regular Plural,genders,disparities,21.28378391265869,18.5785174369812
Sibilant Singular,vase,maker,16.48641872406006,11.403874397277832
Sibilant Plural,vases,maker,15.937050819396973,12.18856143951416
Regular Singular,pot,maker,10.919818878173828,8.993654489517212
Regular Plural,pots,maker,13.586783409118652,11.330971240997314
Sibilant Singular,hoax,victims,23.900413513183594,11.07736873626709
Sibilant Plural,hoaxes,victims,27.78339433670044,12.2149019241333
Regular Singular,joke,victims,18.93189525604248,11.904342651367188
Regular Plural,jokes,victims,19.089686393737793,12.225303649902344
Sibilant Singular,phase,classifier,19.40652847290039,21.48974370956421
Sibilant Plural,phases,classifier,17.40114688873291,21.45373773574829
Regular Singular,step,classifier,13.476409912109375,24.040346145629883
Regular Plural,steps,classifier,12.82958984375,23.13157558441162
Sibilant Singular,hose,installer,16.808472633361816,18.84941577911377
Sibilant Plural,hoses,installer,17.607772827148438,20.43894624710083
Regular Singular,pipe,installer,12.502907752990723,18.62912082672119
Regular Plural,pipes,installer,13.604094743728638,19.731542110443115
Sibilant Singular,fox,chaser,14.560693264007568,15.712351083755493
Sibilant Plural,foxes,chaser,18.577016830444336,18.174342155456543
Regular Singular,wolf,chaser,13.94346284866333,15.422711372375488
Regular Plural,wolves,chaser,18.658348083496094,17.235072374343872
