Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,12.699668407440186,16.32506513595581
Sibilant Plural,blazes,protector,13.933802008628845,17.407326221466064
Regular Singular,spark,protector,13.857535362243652,12.472091913223267
Regular Plural,sparks,protector,13.828161239624023,16.584730625152588
Sibilant Singular,breeze,protector,12.609171867370605,16.80144500732422
Sibilant Plural,breezes,protector,14.6950044631958,17.045181274414062
Regular Singular,storm,protector,11.054635047912598,12.858905792236328
Regular Plural,storms,protector,13.264018058776855,19.88111972808838
Sibilant Singular,tax,receivers,11.09320068359375,11.797127723693848
Sibilant Plural,taxes,receivers,13.277339935302734,18.100040435791016
Regular Singular,toll,receivers,15.01139783859253,14.846362590789795
Regular Plural,tolls,receivers,15.858023881912231,14.920492887496948
Sibilant Singular,sex,disparities,10.664774894714355,22.532824516296387
Sibilant Plural,sexes,disparities,16.089035034179688,21.272382736206055
Regular Singular,gender,disparities,12.694250583648682,17.13100814819336
Regular Plural,genders,disparities,15.65377426147461,19.946932315826416
Sibilant Singular,vase,maker,14.352947235107422,10.445777535438538
Sibilant Plural,vases,maker,13.682547569274902,11.891445398330688
Regular Singular,pot,maker,11.636996269226074,9.042404890060425
Regular Plural,pots,maker,12.514507293701172,13.124400854110718
Sibilant Singular,hoax,victims,15.310708999633789,13.590548515319824
Sibilant Plural,hoaxes,victims,15.130009889602661,14.114217758178711
Regular Singular,joke,victims,11.52775764465332,11.928823471069336
Regular Plural,jokes,victims,12.969406127929688,13.092323303222656
Sibilant Singular,phase,classifier,12.144495010375977,21.03192949295044
Sibilant Plural,phases,classifier,13.925670862197876,26.657094955444336
Regular Singular,step,classifier,10.584113121032715,25.897453784942627
Regular Plural,steps,classifier,10.827656745910645,29.274267196655273
Sibilant Singular,hose,installer,13.047475814819336,18.394681930541992
Sibilant Plural,hoses,installer,14.979875087738037,22.742358207702637
Regular Singular,pipe,installer,12.614514350891113,19.161447525024414
Regular Plural,pipes,installer,13.533125877380371,18.646915435791016
Sibilant Singular,fox,chaser,11.711370468139648,13.955680131912231
Sibilant Plural,foxes,chaser,13.105734825134277,16.135838508605957
Regular Singular,wolf,chaser,12.921278953552246,12.473733901977539
Regular Plural,wolves,chaser,11.715872764587402,14.12809443473816
Sibilant Singular,mix,winner,11.73274040222168,14.728401184082031
Sibilant Plural,mixes,winner,13.664748668670654,14.824642181396484
