Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,12.38516902923584,3.7366418838500977
Sibilant Plural,blazes,protector,15.289326667785645,3.507354497909546
Regular Singular,spark,protector,12.821917533874512,5.495623588562012
Regular Plural,sparks,protector,16.635597229003906,5.161708354949951
Sibilant Singular,breeze,protector,7.501727104187012,5.362645626068115
Sibilant Plural,breezes,protector,14.608784675598145,4.170859336853027
Regular Singular,storm,protector,6.528369903564453,5.742515563964844
Regular Plural,storms,protector,16.014415740966797,6.0617265701293945
Sibilant Singular,tax,receivers,3.9642977714538574,6.272126197814941
Sibilant Plural,taxes,receivers,8.20068359375,6.165750503540039
Regular Singular,toll,receivers,13.043787002563477,6.61618709564209
Regular Plural,tolls,receivers,14.957177639007568,8.259496688842773
Sibilant Singular,sex,disparities,2.3677096366882324,6.861527919769287
Sibilant Plural,sexes,disparities,11.721467018127441,7.1067705154418945
Regular Singular,gender,disparities,2.869985580444336,5.7335052490234375
Regular Plural,genders,disparities,10.713839530944824,6.4261555671691895
Sibilant Singular,vase,maker,10.657185852527618,0.2643459141254425
Sibilant Plural,vases,maker,18.46198081970215,1.693732738494873
Regular Singular,pot,maker,4.003020763397217,0.5347232818603516
Regular Plural,pots,maker,9.44133186340332,1.4027295112609863
Sibilant Singular,hoax,victims,11.548418045043945,0.20841443538665771
Sibilant Plural,hoaxes,victims,14.165926456451416,4.719017505645752
Regular Singular,joke,victims,11.687102317810059,0.6734640598297119
Regular Plural,jokes,victims,18.460147857666016,3.5893564224243164
Sibilant Singular,phase,classifier,9.35377025604248,6.774964332580566
Sibilant Plural,phases,classifier,11.205439567565918,10.046634674072266
Regular Singular,step,classifier,13.562514305114746,7.482458591461182
Regular Plural,steps,classifier,17.261173248291016,7.083594799041748
Sibilant Singular,hose,installer,4.0846428871154785,3.535423755645752
Sibilant Plural,hoses,installer,4.405662298202515,4.339664459228516
Regular Singular,pipe,installer,7.486354827880859,3.156222343444824
Regular Plural,pipes,installer,9.902810096740723,3.941781759262085
Sibilant Singular,fox,chaser,7.559225559234619,5.298018455505371
Sibilant Plural,foxes,chaser,15.029572010040283,4.9754486083984375
Regular Singular,wolf,chaser,4.423032283782959,4.534015655517578
Regular Plural,wolves,chaser,11.285881042480469,5.090217113494873
Sibilant Singular,mix,winner,8.031201362609863,9.974482536315918
Sibilant Plural,mixes,winner,11.920247077941895,12.05079460144043
Regular Singular,blend,winner,8.177997589111328,9.080286026000977
Regular Plural,blends,winner,10.237940788269043,11.639612197875977
Sibilant Singular,nose,rashes,10.624473571777344,6.7471489906311035
Sibilant Plural,noses,rashes,15.226926803588867,7.707300662994385
Regular Singular,thigh,rashes,7.318378925323486,0.8204503059387207
Regular Plural,thighs,rashes,10.116263389587402,2.729259490966797
Sibilant Singular,cause,evaluators,9.948720932006836,12.155269622802734
Sibilant Plural,causes,evaluators,11.4287748336792,12.775615692138672
Regular Singular,loss,evaluators,7.898926734924316,10.544205665588379
Regular Plural,losses,evaluators,11.775853157043457,11.128544807434082
Sibilant Singular,gaze,detector,6.974398612976074,4.20785665512085
Sibilant Plural,gazes,detector,14.617166519165039,3.8880615234375
Regular Singular,stare,detector,8.370987892150879,3.8167879581451416
Regular Plural,stares,detector,13.164050102233887,4.555261611938477
Sibilant Singular,clause,finder,10.07922649383545,2.271676540374756
Sibilant Plural,clauses,finder,13.45142650604248,3.864126682281494
Regular Singular,article,finder,9.85218334197998,2.1268701553344727
Regular Plural,articles,finder,12.860613822937012,3.6875996589660645
Sibilant Singular,maze,decoder,4.934957981109619,1.7355650663375854
Sibilant Plural,mazes,decoder,6.722926616668701,3.063234329223633
Regular Singular,web,decoder,11.716907501220703,6.161010265350342
Regular Plural,webs,decoder,17.98316192626953,8.151947021484375
Sibilant Singular,quiz,expert,8.146038055419922,4.874251842498779
Sibilant Plural,quizzes,expert,13.194432735443115,2.5871500968933105
Regular Singular,puzzle,expert,1.8426581621170044,4.121124744415283
Regular Plural,puzzles,expert,5.9844536781311035,3.2179925441741943
Sibilant Singular,fax,man,4.144622802734375,2.9406545162200928
