Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,14.022411346435547,15.179723739624023
Sibilant Plural,blazes,protector,14.256353616714478,14.68637752532959
Regular Singular,spark,protector,14.034027099609375,13.035644292831421
Regular Plural,sparks,protector,14.52826738357544,17.08381986618042
Sibilant Singular,breeze,protector,12.097150802612305,16.028032302856445
Sibilant Plural,breezes,protector,14.303773403167725,17.479392528533936
Regular Singular,storm,protector,11.298336029052734,10.863514423370361
Regular Plural,storms,protector,13.100178718566895,16.2062726020813
Sibilant Singular,tax,receivers,11.948622703552246,11.28540849685669
Sibilant Plural,taxes,receivers,13.77967357635498,15.995235919952393
Regular Singular,toll,receivers,15.09158706665039,13.618423223495483
Regular Plural,tolls,receivers,18.060012578964233,16.204792022705078
Sibilant Singular,sex,disparities,11.41197395324707,16.11778211593628
Sibilant Plural,sexes,disparities,15.194818496704102,21.0320725440979
Regular Singular,gender,disparities,13.781978845596313,14.620455980300903
Regular Plural,genders,disparities,16.409600019454956,18.859635829925537
Sibilant Singular,vase,maker,13.40893030166626,10.990814685821533
Sibilant Plural,vases,maker,15.752704620361328,13.700277328491211
Regular Singular,pot,maker,11.61233139038086,8.48463749885559
Regular Plural,pots,maker,12.61923599243164,11.15580677986145
Sibilant Singular,hoax,victims,16.588783264160156,11.551070213317871
Sibilant Plural,hoaxes,victims,18.82333540916443,13.251517295837402
Regular Singular,joke,victims,11.635251998901367,12.799739837646484
Regular Plural,jokes,victims,13.38070297241211,13.245519638061523
Sibilant Singular,phase,classifier,12.756550788879395,19.431698083877563
Sibilant Plural,phases,classifier,14.533119082450867,20.740710258483887
Regular Singular,step,classifier,10.424003601074219,22.409847259521484
Regular Plural,steps,classifier,11.142285346984863,23.015490531921387
Sibilant Singular,hose,installer,12.515228271484375,13.92309856414795
Sibilant Plural,hoses,installer,14.972923755645752,19.569442749023438
Regular Singular,pipe,installer,12.330422401428223,15.02403712272644
Regular Plural,pipes,installer,13.29393196105957,19.39462661743164
Sibilant Singular,fox,chaser,12.08596420288086,12.272558212280273
Sibilant Plural,foxes,chaser,13.355719804763794,16.045674324035645
Regular Singular,wolf,chaser,12.171563148498535,13.45477557182312
Regular Plural,wolves,chaser,13.639080047607422,16.483901739120483
Sibilant Singular,mix,winner,11.65163516998291,16.43731689453125
Sibilant Plural,mixes,winner,14.651834487915039,15.630447387695312
Regular Singular,blend,winner,14.899333238601685,15.478782653808594
Regular Plural,blends,winner,15.947608470916748,15.60068130493164
Sibilant Singular,nose,rashes,10.65677261352539,13.171184539794922
Sibilant Plural,noses,rashes,14.234700202941895,15.07615327835083
Regular Singular,thigh,rashes,15.349906921386719,12.554640293121338
Regular Plural,thighs,rashes,14.705437660217285,14.743597507476807
Sibilant Singular,cause,evaluators,10.051835060119629,18.902894973754883
Sibilant Plural,causes,evaluators,12.134137153625488,20.00882053375244
Regular Singular,loss,evaluators,11.675514221191406,21.802160263061523
Regular Plural,losses,evaluators,14.238039255142212,21.92288303375244
Sibilant Singular,gaze,detector,12.736724853515625,14.503031730651855
Sibilant Plural,gazes,detector,15.490931749343872,14.969316959381104
Regular Singular,stare,detector,12.703391075134277,14.377155303955078
Regular Plural,stares,detector,13.663325309753418,16.009291172027588
Sibilant Singular,clause,finder,14.043821811676025,15.047545433044434
Sibilant Plural,clauses,finder,15.63908839225769,16.915698051452637
Regular Singular,article,finder,12.303718566894531,14.738861560821533
Regular Plural,articles,finder,12.396897315979004,15.97157096862793
Sibilant Singular,maze,decoder,14.196998596191406,17.851604223251343
Sibilant Plural,mazes,decoder,15.601356506347656,17.929039239883423
Regular Singular,web,decoder,12.982144355773926,12.351723909378052
Regular Plural,webs,decoder,18.158464431762695,18.667192459106445
Sibilant Singular,quiz,expert,14.82448959350586,14.435128211975098
Sibilant Plural,quizzes,expert,15.414196491241455,13.242923736572266
Regular Singular,puzzle,expert,12.001472473144531,14.278253555297852
Regular Plural,puzzles,expert,13.263948440551758,14.609647750854492
Sibilant Singular,fax,man,14.547625064849854,7.862329483032227
Sibilant Plural,faxes,man,16.640403032302856,9.285521507263184
Regular Singular,copy,man,11.561928749084473,8.908047676086426
Regular Plural,copies,man,12.779648780822754,12.068856239318848
Sibilant Singular,size,device,11.394625663757324,12.251591682434082
Sibilant Plural,sizes,device,14.207233428955078,15.537227630615234
Regular Singular,shape,device,11.101728439331055,11.977041244506836
Regular Plural,shapes,device,12.862115859985352,15.913887023925781
Sibilant Singular,praise,getter,12.422593116760254,18.566680908203125
Sibilant Plural,praises,getter,14.163744926452637,22.054057121276855
Regular Singular,compliment,getter,13.79982852935791,19.807403564453125
Regular Plural,compliments,getter,13.783447265625,21.677590370178223
Sibilant Singular,prize,recipient,11.916772842407227,10.980211615562439
Sibilant Plural,prizes,recipient,13.132004737854004,14.760927200317383
Regular Singular,award,recipient,12.67880630493164,11.023955225944519
Regular Plural,awards,recipient,13.39559555053711,12.79345440864563
Sibilant Singular,box,lifters,9.760805130004883,24.169241905212402
Sibilant Plural,boxes,lifters,11.713985443115234,24.70834255218506
Regular Singular,pack,lifters,11.836181640625,24.661237716674805
Regular Plural,packs,lifters,13.820412874221802,24.63679599761963
Sibilant Singular,rose,gardeners,10.719670295715332,13.354352951049805
Sibilant Plural,roses,gardeners,12.487044334411621,13.42460584640503
Regular Singular,flower,gardeners,11.701385498046875,10.925947666168213
Regular Plural,flowers,gardeners,11.332695960998535,13.49092960357666
Sibilant Singular,bruise,healer,13.193797588348389,19.090742588043213
Sibilant Plural,bruises,healer,13.786369323730469,21.026475429534912
Regular Singular,sore,healer,12.06697940826416,15.559674263000488
Regular Plural,sores,healer,15.91142988204956,21.442617416381836
Sibilant Singular,rise,addict,10.828744888305664,15.478534698486328
Sibilant Plural,rises,addict,13.336892127990723,17.378371238708496
Regular Singular,drop,addict,10.46396541595459,15.897587776184082
Regular Plural,drops,addict,11.852561950683594,19.32816457748413
