Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.427762031555176,16.985960006713867
Sibilant Plural,blazes,protector,21.244169235229492,18.694063186645508
Regular Singular,spark,protector,13.552183151245117,16.33585548400879
Regular Plural,sparks,protector,14.7288498878479,18.144647121429443
Sibilant Singular,breeze,protector,14.510529518127441,17.87374210357666
Sibilant Plural,breezes,protector,23.932487964630127,18.58528757095337
Regular Singular,storm,protector,10.776444435119629,16.856736660003662
Regular Plural,storms,protector,15.022144556045532,20.019723892211914
Sibilant Singular,tax,receivers,12.20437240600586,14.471629858016968
Sibilant Plural,taxes,receivers,13.858532905578613,16.104957818984985
Regular Singular,toll,receivers,14.490546226501465,16.50989055633545
Regular Plural,tolls,receivers,17.052520275115967,16.75128746032715
Sibilant Singular,sex,disparities,11.311288833618164,22.085366249084473
Sibilant Plural,sexes,disparities,16.766338348388672,21.89030170440674
Regular Singular,gender,disparities,15.095778465270996,21.529447078704834
Regular Plural,genders,disparities,19.963767051696777,21.531922340393066
Sibilant Singular,vase,maker,16.544848918914795,13.03398084640503
Sibilant Plural,vases,maker,16.460302352905273,13.404681205749512
Regular Singular,pot,maker,12.601921081542969,12.6585054397583
Regular Plural,pots,maker,14.502920150756836,12.693153858184814
Sibilant Singular,hoax,victims,23.557659149169922,11.112384796142578
Sibilant Plural,hoaxes,victims,29.439095497131348,12.958662986755371
Regular Singular,joke,victims,11.561569213867188,12.773544311523438
Regular Plural,jokes,victims,14.056652069091797,13.365785598754883
Sibilant Singular,phase,classifier,13.722681045532227,21.99863910675049
Sibilant Plural,phases,classifier,16.231463193893433,22.079660415649414
Regular Singular,step,classifier,9.865596771240234,24.74577760696411
Regular Plural,steps,classifier,10.912988662719727,23.10931420326233
Sibilant Singular,hose,installer,14.597501754760742,21.609919548034668
Sibilant Plural,hoses,installer,17.577701568603516,20.749364852905273
Regular Singular,pipe,installer,13.38291072845459,19.298548698425293
Regular Plural,pipes,installer,13.105825901031494,20.5122971534729
Sibilant Singular,fox,chaser,12.065743446350098,19.849255084991455
Sibilant Plural,foxes,chaser,15.99570083618164,21.636294841766357
Regular Singular,wolf,chaser,12.999829292297363,21.633957862854004
Regular Plural,wolves,chaser,18.02908968925476,22.305548667907715
Sibilant Singular,mix,winner,11.879178047180176,15.09581470489502
Sibilant Plural,mixes,winner,17.256134033203125,14.690811157226562
Regular Singular,blend,winner,13.718483090400696,12.968891143798828
Regular Plural,blends,winner,15.349714279174805,13.916205406188965
Sibilant Singular,nose,rashes,10.829278945922852,14.694780349731445
Sibilant Plural,noses,rashes,16.948416709899902,17.040684700012207
Regular Singular,thigh,rashes,14.107345581054688,14.843900203704834
Regular Plural,thighs,rashes,16.755117893218994,15.380748748779297
