Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,15.885340690612793,10.649694442749023
Sibilant Plural,blazes,protector,18.946406364440918,13.795854568481445
Regular Singular,spark,protector,16.547308921813965,11.764120101928711
Regular Plural,sparks,protector,17.553428888320923,13.243289947509766
Sibilant Singular,breeze,protector,17.325148940086365,11.038806915283203
Sibilant Plural,breezes,protector,19.646761894226074,11.935903549194336
Regular Singular,storm,protector,15.536211967468262,9.216436386108398
Regular Plural,storms,protector,19.768688201904297,14.040709495544434
Sibilant Singular,tax,receivers,14.425362586975098,10.424315452575684
Sibilant Plural,taxes,receivers,17.10939359664917,14.212299346923828
Regular Singular,toll,receivers,17.62541103363037,13.193159103393555
Regular Plural,tolls,receivers,19.269963264465332,13.70611572265625
Sibilant Singular,sex,disparities,12.738465309143066,10.941349029541016
Sibilant Plural,sexes,disparities,19.723960399627686,11.876161575317383
Regular Singular,gender,disparities,14.426069259643555,7.354113578796387
Regular Plural,genders,disparities,18.41419219970703,14.563471794128418
Sibilant Singular,vase,maker,16.964794158935547,7.011100769042969
Sibilant Plural,vases,maker,18.034193992614746,10.765008926391602
Regular Singular,pot,maker,14.397599220275879,10.514487266540527
Regular Plural,pots,maker,18.142061233520508,12.55576229095459
Sibilant Singular,hoax,victims,21.363967895507812,7.3505048751831055
Sibilant Plural,hoaxes,victims,22.93181300163269,10.970590591430664
Regular Singular,joke,victims,15.58122444152832,11.248612403869629
Regular Plural,jokes,victims,16.284785270690918,13.518052101135254
Sibilant Singular,phase,classifier,13.469223022460938,11.978569746017456
Sibilant Plural,phases,classifier,15.855088710784912,13.219146966934204
Regular Singular,step,classifier,12.672810554504395,12.119580268859863
Regular Plural,steps,classifier,15.233177185058594,14.327876091003418
Sibilant Singular,hose,installer,15.18881607055664,11.034703254699707
Sibilant Plural,hoses,installer,18.55609130859375,12.795668601989746
Regular Singular,pipe,installer,13.611519813537598,10.909222602844238
Regular Plural,pipes,installer,18.151041984558105,11.890521049499512
Sibilant Singular,fox,chaser,14.708440780639648,11.959290981292725
Sibilant Plural,foxes,chaser,17.794119834899902,13.160736083984375
Regular Singular,wolf,chaser,14.762022972106934,10.926150798797607
Regular Plural,wolves,chaser,17.837156295776367,13.018115043640137
Sibilant Singular,mix,winner,15.340028762817383,15.972576141357422
Sibilant Plural,mixes,winner,18.98987913131714,13.31212043762207
Regular Singular,blend,winner,16.66432762145996,19.03158950805664
Regular Plural,blends,winner,17.530632972717285,14.019829750061035
Sibilant Singular,nose,rashes,15.059188842773438,15.086451530456543
Sibilant Plural,noses,rashes,20.163561820983887,12.803437232971191
Regular Singular,thigh,rashes,17.84288215637207,14.67202377319336
Regular Plural,thighs,rashes,18.924252033233643,15.75339937210083
Sibilant Singular,cause,evaluators,13.65223503112793,13.149325013160706
Sibilant Plural,causes,evaluators,14.634477615356445,17.323038697242737
Regular Singular,loss,evaluators,13.851971626281738,13.310431480407715
Regular Plural,losses,evaluators,15.366504907608032,15.015768468379974
Sibilant Singular,gaze,detector,15.059600830078125,8.851550102233887
Sibilant Plural,gazes,detector,17.463533401489258,15.989843368530273
Regular Singular,stare,detector,18.69651985168457,12.560966491699219
Regular Plural,stares,detector,20.497735023498535,15.174297332763672
Sibilant Singular,clause,finder,16.027100563049316,12.413104772567749
Sibilant Plural,clauses,finder,17.11341118812561,14.205480098724365
Regular Singular,article,finder,13.594406127929688,12.725981950759888
Regular Plural,articles,finder,13.880451202392578,14.225517272949219
Sibilant Singular,maze,decoder,15.464873313903809,11.944729328155518
Sibilant Plural,mazes,decoder,17.33998966217041,16.69370460510254
Regular Singular,web,decoder,13.289770126342773,14.15332579612732
Regular Plural,webs,decoder,17.285937786102295,16.14267873764038
Sibilant Singular,quiz,expert,15.919672966003418,9.372440338134766
Sibilant Plural,quizzes,expert,19.11645770072937,10.679786682128906
Regular Singular,puzzle,expert,18.091672897338867,9.489229202270508
Regular Plural,puzzles,expert,19.133913040161133,11.118682861328125
Sibilant Singular,fax,man,16.365562438964844,9.28474235534668
Sibilant Plural,faxes,man,20.56412410736084,11.755805969238281
Regular Singular,copy,man,13.471761703491211,10.163673400878906
Regular Plural,copies,man,16.31902027130127,13.147950172424316
Sibilant Singular,size,device,12.564825057983398,11.079246520996094
Sibilant Plural,sizes,device,15.978758811950684,13.273993492126465
Regular Singular,shape,device,14.649767875671387,11.608208656311035
Regular Plural,shapes,device,16.228878021240234,12.974100112915039
Sibilant Singular,praise,getter,15.89988899230957,16.3124361038208
Sibilant Plural,praises,getter,20.0128755569458,15.68493127822876
