Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,blaze,protector,24.682541847229004,17.32058811187744
Sibilant Plural,blazes,protector,26.694617748260498,19.767029762268066
Regular Singular,spark,protector,17.479742527008057,17.106449127197266
Regular Plural,sparks,protector,17.10469889640808,19.72982406616211
Sibilant Singular,breeze,protector,20.7037296295166,14.085334777832031
Sibilant Plural,breezes,protector,26.146119117736816,15.013979434967041
Regular Singular,storm,protector,18.815475463867188,16.25706911087036
Regular Plural,storms,protector,17.303604125976562,18.84214496612549
Sibilant Singular,tax,receivers,29.584839820861816,14.408979177474976
Sibilant Plural,taxes,receivers,33.667832374572754,14.66383409500122
Regular Singular,toll,receivers,20.366068840026855,14.883106231689453
Regular Plural,tolls,receivers,20.75877857208252,14.846151351928711
Sibilant Singular,sex,disparities,17.724315643310547,22.88536834716797
Sibilant Plural,sexes,disparities,23.77719736099243,24.9022855758667
Regular Singular,gender,disparities,23.466547966003418,21.428199291229248
Regular Plural,genders,disparities,28.17960548400879,23.98525905609131
Sibilant Singular,vase,maker,25.44016170501709,15.708235740661621
Sibilant Plural,vases,maker,30.31641387939453,15.900810241699219
Regular Singular,pot,maker,15.823711395263672,9.503753185272217
Regular Plural,pots,maker,23.658329963684082,16.10248327255249
Sibilant Singular,hoax,victims,29.194600105285645,10.129705429077148
Sibilant Plural,hoaxes,victims,31.24190354347229,11.666799545288086
Regular Singular,joke,victims,29.119029998779297,10.145547866821289
Regular Plural,jokes,victims,22.742857933044434,11.119209289550781
Sibilant Singular,phase,classifier,26.30311679840088,19.702072381973267
Sibilant Plural,phases,classifier,23.436265468597412,20.877273082733154
Regular Singular,step,classifier,16.169597625732422,22.472774505615234
Regular Plural,steps,classifier,14.933506965637207,26.000176906585693
Sibilant Singular,hose,installer,20.927053451538086,22.00708818435669
Sibilant Plural,hoses,installer,26.16644287109375,20.43858242034912
Regular Singular,pipe,installer,19.74137592315674,18.72181510925293
Regular Plural,pipes,installer,21.659698963165283,18.374027252197266
Sibilant Singular,fox,chaser,21.66877841949463,16.339099645614624
Sibilant Plural,foxes,chaser,23.372976303100586,17.771297931671143
Regular Singular,wolf,chaser,20.341808795928955,16.641211986541748
Regular Plural,wolves,chaser,22.071470022201538,19.42152738571167
Sibilant Singular,mix,winner,26.295358657836914,12.373235702514648
Sibilant Plural,mixes,winner,33.5709114074707,12.349222183227539
Regular Singular,blend,winner,22.728030681610107,11.10597038269043
Regular Plural,blends,winner,24.086626529693604,10.413389205932617
