"File","formula","AIC"
"results_experiment_2_babble_phonetic_BPE_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance + plurality | Head)",436.802051549517
"results_experiment_2_babble_phonetic_char_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + plurality_num || set) + (1 + sibilance + plurality | Head)",430.727953490544
"results_experiment_2_babble_phonetic_char_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num || Head)",436.806724812358
"results_experiment_2_babble_txt_BPE_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",470.12629183853
"results_experiment_2_babble_txt_char_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + sibilance * plurality | Head)",427.155658237506
"results_experiment_2_babble_txt_char_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num || Head)",446.64972440361
"results_experiment_2_babyLlama_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",376.608370336223
"results_experiment_2_babyLlama_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality | Head)",341.91836884779
"results_experiment_2_babyLlama_2_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + plurality_num || Head)",350.24631447104
"results_experiment_2_distill_tree__360_10M.csv.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance | set) + (1 + sibilance_num * plurality_num || Head)",345.783545395133
"results_experiment_2_distill_tree__58_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num + plurality_num || Head)",342.779548448758
"results_experiment_2_distill_tree__95_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + plurality | Head)",344.584621562859
"results_experiment_2_gpt_2_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance | Head)",444.929171646911
"results_experiment_2_gpt_2_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num + plurality_num || Head)",415.658523390702
"results_experiment_2_gpt_bert_100M_causal.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance + plurality | Head)",438.729371864221
"results_experiment_2_gpt_bert_100M_masked.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num * plurality_num || Head)",413.811127947309
"results_experiment_2_gpt_bert_100M_mixed.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 | Head)",419.747387209292
"results_experiment_2_gpt_bert_10M_causal.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 | Head)",470.614133718068
"results_experiment_2_gpt_bert_10M_masked.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality | Head)",408.145456598503
"results_experiment_2_gpt_bert_10M_mixed.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",410.785694421162
"results_experiment_2_gpt_J.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num || Head)",372.989321076647
"results_experiment_2_gpt_J_stories.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num + plurality_num || Head)",410.452392438906
"results_experiment_2_gpt_neo_1_3B.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance | set) + (1 | Head)",375.384062083058
"results_experiment_2_gpt_neo_1_3B_stories.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance * plurality | Head)",424.324651223961
"results_experiment_2_gpt_neo_125M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + plurality_num || set) + (1 + sibilance + plurality | Head)",425.483917845347
"results_experiment_2_gpt_neo_125M_stories.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num + plurality_num || Head)",428.140889805163
"results_experiment_2_gpt_neo_2_7B.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + plurality | Head)",408.280759556599
"results_experiment_2_gpt_neo_2_7B_stories.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num + plurality_num || Head)",423.462786076853
"results_experiment_2_gpt_wee_large.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num + plurality_num || Head)",416.304578712856
"results_experiment_2_gpt_wee_medium.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality | Head)",330.723132802303
"results_experiment_2_gpt_wee_small.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance | Head)",321.606584148704
"results_experiment_2_grapheme_llama_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num + plurality_num || set) + (1 | Head)",437.175728286934
"results_experiment_2_grapheme_llama_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance | set) + (1 + plurality | Head)",389.244147008306
"results_experiment_2_MOEP.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 | Head)",409.034071031104
"results_experiment_2_MOP.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + sibilance_num * plurality_num || Head)",418.693345139342
"results_experiment_2_OPT_100M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 | set) + (1 + plurality_num || Head)",406.669692592573
"results_experiment_2_OPT_10M.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + plurality_num || Head)",472.14520762993
"results_experiment_2_phoneme_llama_no_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 | Head)",473.217799810677
"results_experiment_2_phoneme_llama_with_spaces.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num * plurality_num || set) + (1 + sibilance_num + plurality_num || Head)",451.263122360917
"results_experiment_2_what_if_baseline.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality | Head)",460.438349419854
"results_experiment_2_ZLATA.csv","Surprisal.head ~ 1 + sibilance * plurality + (1 + sibilance_num || set) + (1 + plurality | Head)",304.138808183916
