Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,21.238689422607422,13.095279693603516
Sibilant Plural,hoses,collector,23.947802543640137,12.537774085998535
Regular Singular,hoe,collector,9.657112121582031,11.204051971435547
Regular Plural,hoes,collector,23.10195255279541,14.206275939941406
Sibilant Singular,rose,organizer,11.964319229125977,19.303836822509766
Sibilant Plural,roses,organizer,25.63705539703369,23.138246536254883
Regular Singular,row,organizer,9.197488784790039,20.268895149230957
Regular Plural,rows,organizer,11.587348937988281,21.03053569793701
Sibilant Singular,rise,addict,12.836981773376465,19.307941436767578
Sibilant Plural,rises,addict,21.52693748474121,18.571653366088867
Regular Singular,lie,addict,12.16823673248291,15.858281135559082
Regular Plural,lies,addict,12.391185760498047,14.065179824829102
Sibilant Singular,clause,hider,21.557966232299805,18.745211601257324
Sibilant Plural,clauses,hider,37.260637283325195,19.668718338012695
Regular Singular,claw,hider,14.124921321868896,21.303141593933105
Regular Plural,claws,hider,18.63243007659912,22.60008716583252
Sibilant Singular,gaze,attractor,24.291695594787598,17.033568382263184
Sibilant Plural,gazes,attractor,29.20521306991577,21.450557708740234
Regular Singular,guy,attractor,11.024025440216064,17.566547393798828
Regular Plural,guys,attractor,18.00572681427002,21.944339752197266
Sibilant Singular,box,horde,15.808170318603516,22.604531288146973
Sibilant Plural,boxes,horde,21.554407596588135,24.686429023742676
Regular Singular,book,horde,14.104572296142578,23.956005573272705
Regular Plural,books,horde,14.663487434387207,19.711130619049072
Sibilant Singular,sex,distinctions,10.903029441833496,13.850581645965576
Sibilant Plural,sexes,distinctions,22.673157691955566,15.73030400276184
Regular Singular,sack,distinctions,27.310827255249023,19.369940280914307
Regular Plural,sacks,distinctions,24.80958843231201,15.209283351898193
Sibilant Singular,tax,repayment,20.42629051208496,16.81087851524353
Sibilant Plural,taxes,repayment,24.78605556488037,19.55086040496826
Regular Singular,tack,repayment,22.110355377197266,16.325820684432983
Regular Plural,tacks,repayment,22.649410247802734,15.807700634002686
Sibilant Singular,size,device,12.760129928588867,14.4585542678833
Sibilant Plural,sizes,device,24.949026107788086,13.19865608215332
Regular Singular,sigh,device,27.710015296936035,13.3958158493042
Regular Plural,sighs,device,30.03479766845703,11.818967819213867
Sibilant Singular,praise,getter,33.80306673049927,18.720300674438477
Sibilant Plural,praises,getter,35.68620777130127,17.63325548171997
Regular Singular,tray,getter,22.818296432495117,14.322844505310059
Regular Plural,trays,getter,25.390352249145508,14.499659538269043
Sibilant Singular,bruise,expert,36.16175699234009,13.61876392364502
Sibilant Plural,bruises,expert,36.65365409851074,11.068191528320312
Regular Singular,brew,expert,25.22775173187256,11.447012901306152
Regular Plural,brews,expert,27.39511203765869,11.722708702087402
Sibilant Singular,raise,seeker,26.052647590637207,15.829833984375
Sibilant Plural,raises,seeker,27.997501373291016,15.75770902633667
Regular Singular,ray,seeker,9.9307861328125,17.17695713043213
Regular Plural,rays,seeker,11.989569664001465,9.370774507522583
Sibilant Singular,blaze,admirer,27.80782413482666,16.286903381347656
Sibilant Plural,blazes,admirer,29.431446075439453,21.57981538772583
Regular Singular,play,admirer,12.738564491271973,15.643641948699951
Regular Plural,plays,admirer,14.360757827758789,18.516199111938477
Sibilant Singular,vase,steward,22.934956550598145,15.09361743927002
Sibilant Plural,vases,steward,24.502052307128906,15.324691772460938
Regular Singular,bee,steward,10.907140731811523,14.544061660766602
Regular Plural,bees,steward,22.31667995452881,16.96090316772461
Sibilant Singular,fox,avoiders,23.42996120452881,26.880688667297363
Sibilant Plural,foxes,avoiders,27.835435390472412,24.529967308044434
Regular Singular,shock,avoiders,24.12660312652588,26.818431854248047
Regular Plural,shocks,avoiders,28.568726539611816,24.297303199768066
Sibilant Singular,maze,expert,21.88887310028076,12.687788009643555
Sibilant Plural,mazes,expert,24.785930633544922,10.495803833007812
Regular Singular,bay,expert,9.674043655395508,14.206222534179688
Regular Plural,bays,expert,22.281685829162598,12.584342002868652
Sibilant Singular,breeze,protector,35.81463432312012,16.492265701293945
Sibilant Plural,breezes,protector,38.36430644989014,15.991491317749023
Regular Singular,tree,protector,9.222465515136719,13.393073081970215
Regular Plural,trees,protector,11.883434295654297,13.165438652038574
Sibilant Singular,cause,evaluator,13.992637634277344,17.716820240020752
Sibilant Plural,causes,evaluator,21.277281284332275,21.04631996154785
Regular Singular,paw,evaluator,25.609911918640137,21.45230770111084
Regular Plural,paws,evaluator,27.879152297973633,21.114832878112793
Sibilant Singular,phase,fanatic,24.518943786621094,18.521851539611816
Sibilant Plural,phases,fanatic,31.85027503967285,25.027230262756348
Regular Singular,fee,fanatic,19.083691596984863,19.662195205688477
Regular Plural,fees,fanatic,24.37453269958496,19.27368927001953
Sibilant Singular,fax,man,12.509058952331543,8.542996406555176
Sibilant Plural,faxes,man,21.642438888549805,9.263612747192383
Regular Singular,shack,man,30.9326229095459,13.348711013793945
Regular Plural,shacks,man,29.849618911743164,10.673517227172852
