Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,18.19059181213379,14.374267578125
Sibilant Plural,hoses,collector,21.576351165771484,16.63265037536621
Regular Singular,hoe,collector,17.497886657714844,13.571633338928223
Regular Plural,hoes,collector,19.38617992401123,16.867412567138672
Sibilant Singular,rose,organizer,19.014171600341797,14.514998435974121
Sibilant Plural,roses,organizer,27.106586933135986,14.057268142700195
Regular Singular,row,organizer,20.25849723815918,11.762139320373535
Regular Plural,rows,organizer,16.647541046142578,16.632125854492188
Sibilant Singular,rise,addict,14.822132110595703,15.53078842163086
Sibilant Plural,rises,addict,18.32758140563965,19.83551025390625
Regular Singular,lie,addict,19.925291061401367,14.016983032226562
Regular Plural,lies,addict,16.29465103149414,18.35831642150879
Sibilant Singular,clause,hider,20.57598066329956,25.928386688232422
Sibilant Plural,clauses,hider,31.909595489501953,24.98307991027832
Regular Singular,claw,hider,16.106203079223633,24.56648826599121
Regular Plural,claws,hider,21.71186637878418,24.684712409973145
Sibilant Singular,gaze,attractor,25.437979698181152,15.52635383605957
Sibilant Plural,gazes,attractor,24.552605628967285,16.658201217651367
Regular Singular,guy,attractor,17.559785842895508,14.928879261016846
Regular Plural,guys,attractor,20.988991498947144,15.994184017181396
Sibilant Singular,box,horde,16.292499542236328,14.0374755859375
Sibilant Plural,boxes,horde,16.314199447631836,16.431236267089844
Regular Singular,book,horde,13.94465160369873,14.670342445373535
Regular Plural,books,horde,15.045960426330566,15.758395195007324
Sibilant Singular,sex,distinctions,15.053136825561523,12.242571830749512
Sibilant Plural,sexes,distinctions,22.448918342590332,14.409202575683594
Regular Singular,sack,distinctions,24.756092071533203,12.536750793457031
Regular Plural,sacks,distinctions,27.752921104431152,16.760351181030273
Sibilant Singular,tax,repayment,16.650066375732422,9.580842971801758
Sibilant Plural,taxes,repayment,17.877548098564148,15.429048538208008
Regular Singular,tack,repayment,23.305994987487793,15.301963806152344
Regular Plural,tacks,repayment,22.905457496643066,18.18214225769043
Sibilant Singular,size,device,15.889930725097656,6.946051120758057
Sibilant Plural,sizes,device,26.070289611816406,10.992226600646973
Regular Singular,sigh,device,28.44054126739502,10.44769287109375
Regular Plural,sighs,device,30.51352834701538,12.774760246276855
Sibilant Singular,praise,getter,23.292217254638672,19.73758029937744
Sibilant Plural,praises,getter,26.302489280700684,19.134620666503906
Regular Singular,tray,getter,21.146124839782715,20.8132963180542
Regular Plural,trays,getter,19.697584748268127,21.557656288146973
Sibilant Singular,bruise,expert,30.120911598205566,10.650321960449219
Sibilant Plural,bruises,expert,28.8782377243042,10.5977201461792
Regular Singular,brew,expert,15.884190559387207,10.13561725616455
Regular Plural,brews,expert,19.6343412399292,10.91430377960205
Sibilant Singular,raise,seeker,18.21790313720703,15.580530166625977
Sibilant Plural,raises,seeker,28.074177265167236,17.915647506713867
Regular Singular,ray,seeker,22.068504333496094,16.486095428466797
Regular Plural,rays,seeker,19.76669692993164,18.265790939331055
Sibilant Singular,blaze,admirer,22.27845001220703,16.920133113861084
Sibilant Plural,blazes,admirer,21.956689834594727,18.627426862716675
Regular Singular,play,admirer,15.090707778930664,18.178146839141846
Regular Plural,plays,admirer,15.94163703918457,19.81308603286743
Sibilant Singular,vase,steward,27.089659690856934,14.019643068313599
Sibilant Plural,vases,steward,30.014965057373047,18.452929973602295
Regular Singular,bee,steward,20.18916130065918,11.818914413452148
Regular Plural,bees,steward,18.069456100463867,12.345156908035278
Sibilant Singular,fox,avoiders,18.956218719482422,22.53389549255371
Sibilant Plural,foxes,avoiders,26.13948154449463,20.9996280670166
Regular Singular,shock,avoiders,17.522842407226562,21.945894241333008
Regular Plural,shocks,avoiders,19.86553382873535,24.94789695739746
Sibilant Singular,maze,expert,28.267191886901855,9.06718635559082
Sibilant Plural,mazes,expert,27.722166061401367,11.945674896240234
Regular Singular,bay,expert,20.288890838623047,12.745187759399414
Regular Plural,bays,expert,21.26921319961548,11.116798400878906
Sibilant Singular,breeze,protector,23.548720598220825,12.931219100952148
Sibilant Plural,breezes,protector,24.678266525268555,16.557706832885742
Regular Singular,tree,protector,12.763333320617676,15.30321216583252
Regular Plural,trees,protector,20.54191541671753,16.590229034423828
Sibilant Singular,cause,evaluator,13.887640953063965,20.641643524169922
Sibilant Plural,causes,evaluator,22.349864959716797,20.2750301361084
Regular Singular,paw,evaluator,22.7002592086792,18.837502479553223
Regular Plural,paws,evaluator,21.175047874450684,19.849477529525757
Sibilant Singular,phase,fanatic,16.825912475585938,16.44048309326172
Sibilant Plural,phases,fanatic,25.8901948928833,17.78921890258789
Regular Singular,fee,fanatic,18.883390426635742,16.020484924316406
Regular Plural,fees,fanatic,31.34537410736084,14.331931114196777
Sibilant Singular,fax,man,21.267501831054688,13.36794662475586
Sibilant Plural,faxes,man,28.766674995422363,10.18572998046875
Regular Singular,shack,man,18.831153869628906,8.18228816986084
Regular Plural,shacks,man,21.93178939819336,10.947647094726562
