Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,13.797016382217407,11.286092042922974
Sibilant Plural,hoses,collector,18.094582319259644,13.846222877502441
Regular Singular,hoe,collector,14.114301443099976,10.611466407775879
Regular Plural,hoes,collector,16.63467764854431,12.694451332092285
Sibilant Singular,rose,organizer,10.47701120376587,18.061022996902466
Sibilant Plural,roses,organizer,12.88542652130127,17.762567043304443
Regular Singular,row,organizer,13.022905826568604,16.535712242126465
Regular Plural,rows,organizer,14.719424486160278,19.825724601745605
Sibilant Singular,rise,addict,11.713116645812988,18.189234733581543
Sibilant Plural,rises,addict,16.8068265914917,15.578492879867554
Regular Singular,lie,addict,11.771223545074463,17.101607084274292
Regular Plural,lies,addict,13.206456661224365,15.775056838989258
Sibilant Singular,clause,hider,14.722519874572754,19.208943843841553
Sibilant Plural,clauses,hider,16.34688425064087,22.18414878845215
Regular Singular,claw,hider,14.613367557525635,14.87377119064331
Regular Plural,claws,hider,15.968611001968384,19.14980387687683
Sibilant Singular,gaze,attractor,14.603847980499268,16.40017819404602
Sibilant Plural,gazes,attractor,18.262084484100342,21.054956436157227
Regular Singular,guy,attractor,10.483129024505615,18.403989791870117
Regular Plural,guys,attractor,11.733572721481323,22.98638677597046
Sibilant Singular,box,horde,11.781829118728638,15.63097357749939
Sibilant Plural,boxes,horde,14.29641079902649,17.264343976974487
Regular Singular,book,horde,10.984910488128662,15.76944088935852
Regular Plural,books,horde,11.645357131958008,17.66605496406555
Sibilant Singular,sex,distinctions,11.312790870666504,14.401455402374268
Sibilant Plural,sexes,distinctions,16.268808126449585,16.33307909965515
Regular Singular,sack,distinctions,14.107299566268921,16.37206482887268
Regular Plural,sacks,distinctions,14.823156833648682,19.068918704986572
Sibilant Singular,tax,repayment,11.693907260894775,9.850510835647583
Sibilant Plural,taxes,repayment,13.38027548789978,14.828656196594238
Regular Singular,tack,repayment,15.273022413253784,15.423876523971558
Regular Plural,tacks,repayment,17.926916360855103,17.70680260658264
Sibilant Singular,size,device,13.162691116333008,11.513020277023315
Sibilant Plural,sizes,device,15.947633743286133,18.07349920272827
Regular Singular,sigh,device,15.41166877746582,14.724737882614136
Regular Plural,sighs,device,14.728624820709229,17.593578338623047
Sibilant Singular,praise,getter,11.875285148620605,19.213696002960205
Sibilant Plural,praises,getter,16.12305736541748,18.179194450378418
Regular Singular,tray,getter,15.78144121170044,18.308586835861206
Regular Plural,trays,getter,16.731874704360962,18.126248836517334
Sibilant Singular,bruise,expert,14.388934135437012,14.17587685585022
Sibilant Plural,bruises,expert,14.933404207229614,13.784133195877075
Regular Singular,brew,expert,15.617117643356323,13.707587480545044
Regular Plural,brews,expert,17.093729257583618,12.846637964248657
Sibilant Singular,raise,seeker,12.130260229110718,17.68190574645996
Sibilant Plural,raises,seeker,16.56176447868347,16.43293595314026
Regular Singular,ray,seeker,10.597288846969604,15.458038330078125
Regular Plural,rays,seeker,15.443912744522095,16.603952169418335
Sibilant Singular,blaze,admirer,15.274637937545776,15.375845193862915
Sibilant Plural,blazes,admirer,15.445271968841553,18.541223764419556
Regular Singular,play,admirer,10.226941108703613,17.215338706970215
Regular Plural,plays,admirer,13.77802324295044,16.263175010681152
Sibilant Singular,vase,steward,15.820121049880981,11.928978443145752
Sibilant Plural,vases,steward,16.20750403404236,16.480472326278687
Regular Singular,bee,steward,13.529921293258667,11.400195837020874
Regular Plural,bees,steward,14.057719469070435,15.73686957359314
Sibilant Singular,fox,avoiders,11.455046653747559,18.68967580795288
Sibilant Plural,foxes,avoiders,14.612011432647705,18.52902603149414
Regular Singular,shock,avoiders,13.054180145263672,18.093860387802124
Regular Plural,shocks,avoiders,16.16933012008667,19.426052808761597
Sibilant Singular,maze,expert,15.843333959579468,11.136909008026123
Sibilant Plural,mazes,expert,17.752379417419434,12.146136283874512
Regular Singular,bay,expert,12.812617540359497,14.427009582519531
Regular Plural,bays,expert,16.084185361862183,13.4315927028656
Sibilant Singular,breeze,protector,14.293612480163574,16.20737934112549
Sibilant Plural,breezes,protector,15.69207763671875,17.69645881652832
Regular Singular,tree,protector,12.627011775970459,12.996987581253052
Regular Plural,trees,protector,12.658570766448975,16.828969478607178
Sibilant Singular,cause,evaluator,10.754645824432373,18.420804500579834
Sibilant Plural,causes,evaluator,12.924403667449951,18.880767822265625
Regular Singular,paw,evaluator,14.877652645111084,22.29112482070923
Regular Plural,paws,evaluator,16.252989292144775,21.94619083404541
Sibilant Singular,phase,fanatic,12.909994840621948,18.560789108276367
Sibilant Plural,phases,fanatic,15.603973388671875,17.975974798202515
Regular Singular,fee,fanatic,13.985484600067139,14.619658470153809
Regular Plural,fees,fanatic,15.166251182556152,15.787054777145386
Sibilant Singular,fax,man,13.94019079208374,8.241995573043823
Sibilant Plural,faxes,man,18.259639739990234,9.81246542930603
Regular Singular,shack,man,14.502076625823975,8.349764585494995
Regular Plural,shacks,man,15.750818252563477,9.806981086730957
