Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.515228271484375,11.20569920539856
Sibilant Plural,hoses,collector,14.972923278808594,15.162627696990967
Regular Singular,hoe,collector,14.194598197937012,11.410978317260742
Regular Plural,hoes,collector,15.345958709716797,15.408257484436035
Sibilant Singular,rose,organizer,10.719670295715332,19.60482120513916
Sibilant Plural,roses,organizer,12.487044334411621,20.93460464477539
Regular Singular,row,organizer,11.142895698547363,15.920377254486084
Regular Plural,rows,organizer,12.857024192810059,21.271738052368164
Sibilant Singular,rise,addict,10.828744888305664,15.478534698486328
Sibilant Plural,rises,addict,13.336892127990723,17.378371238708496
Regular Singular,lie,addict,10.32917308807373,16.52165460586548
Regular Plural,lies,addict,11.64891242980957,16.92145347595215
Sibilant Singular,clause,hider,14.043821811676025,22.825363159179688
Sibilant Plural,clauses,hider,15.63908839225769,17.848642349243164
Regular Singular,claw,hider,13.575042724609375,19.31843328475952
Regular Plural,claws,hider,12.773150444030762,18.194268226623535
Sibilant Singular,gaze,attractor,12.736724853515625,18.01822566986084
Sibilant Plural,gazes,attractor,15.490931749343872,19.3912992477417
Regular Singular,guy,attractor,9.936762809753418,21.33969783782959
Regular Plural,guys,attractor,9.7600736618042,19.15047550201416
Sibilant Singular,box,horde,9.760805130004883,16.05994153022766
Sibilant Plural,boxes,horde,11.71398639678955,16.71563696861267
Regular Singular,book,horde,9.65707015991211,15.716640889644623
Regular Plural,books,horde,10.654903411865234,16.885145902633667
Sibilant Singular,sex,distinctions,11.411972999572754,13.433501958847046
Sibilant Plural,sexes,distinctions,15.194818496704102,16.493364334106445
Regular Singular,sack,distinctions,13.420766830444336,16.383724212646484
Regular Plural,sacks,distinctions,14.027316093444824,16.461315631866455
Sibilant Singular,tax,repayment,11.948622703552246,6.398567199707031
Sibilant Plural,taxes,repayment,13.779674530029297,12.022543907165527
Regular Singular,tack,repayment,14.402938842773438,15.725353956222534
Regular Plural,tacks,repayment,14.811971664428711,17.768610954284668
Sibilant Singular,size,device,11.394625663757324,12.251591682434082
Sibilant Plural,sizes,device,14.207233428955078,15.537227630615234
Regular Singular,sigh,device,12.780622482299805,14.27279281616211
Regular Plural,sighs,device,14.455010414123535,13.961564064025879
Sibilant Singular,praise,getter,12.422593116760254,18.566680908203125
Sibilant Plural,praises,getter,14.163744926452637,22.054057121276855
Regular Singular,tray,getter,12.201831817626953,20.510181427001953
Regular Plural,trays,getter,14.579201698303223,20.35849380493164
Sibilant Singular,bruise,expert,13.193798065185547,14.138296127319336
Sibilant Plural,bruises,expert,13.786369323730469,14.980955123901367
Regular Singular,brew,expert,14.416973352432251,12.371721267700195
Regular Plural,brews,expert,15.953700542449951,12.182908058166504
Sibilant Singular,raise,seeker,11.430338859558105,16.4692325592041
Sibilant Plural,raises,seeker,12.256612062454224,17.661892890930176
Regular Singular,ray,seeker,13.012327194213867,20.312021255493164
Regular Plural,rays,seeker,12.541891098022461,18.86570978164673
Sibilant Singular,blaze,admirer,14.022411346435547,14.741101264953613
Sibilant Plural,blazes,admirer,14.256353616714478,15.466123580932617
Regular Singular,play,admirer,8.587563514709473,13.07846486568451
Regular Plural,plays,admirer,10.664201736450195,12.879286646842957
Sibilant Singular,vase,steward,13.40893030166626,18.078124046325684
Sibilant Plural,vases,steward,15.752704620361328,21.200960636138916
Regular Singular,bee,steward,12.457518577575684,14.966409683227539
Regular Plural,bees,steward,12.74309253692627,19.997681617736816
Sibilant Singular,fox,avoiders,12.085963249206543,19.80591583251953
Sibilant Plural,foxes,avoiders,13.355719804763794,21.4301176071167
Regular Singular,shock,avoiders,12.534611701965332,20.74097442626953
Regular Plural,shocks,avoiders,14.79960012435913,21.44377613067627
Sibilant Singular,maze,expert,14.197001457214355,14.17184829711914
Sibilant Plural,mazes,expert,15.601356029510498,13.063272476196289
Regular Singular,bay,expert,12.662752151489258,13.91592788696289
Regular Plural,bays,expert,15.897136211395264,14.09539794921875
Sibilant Singular,breeze,protector,12.097150802612305,16.028032302856445
Sibilant Plural,breezes,protector,14.303773403167725,17.479392528533936
Regular Singular,tree,protector,10.202259063720703,13.960097312927246
Regular Plural,trees,protector,10.872652053833008,16.810267448425293
Sibilant Singular,cause,evaluator,10.051835060119629,20.02920436859131
Sibilant Plural,causes,evaluator,12.134136199951172,20.451650142669678
Regular Singular,paw,evaluator,13.147627830505371,23.275214672088623
Regular Plural,paws,evaluator,13.28715705871582,26.917997360229492
Sibilant Singular,phase,fanatic,12.756549835205078,17.444777488708496
Sibilant Plural,phases,fanatic,14.533119201660156,17.060741424560547
Regular Singular,fee,fanatic,13.83493423461914,15.591503143310547
Regular Plural,fees,fanatic,14.452171802520752,15.374418258666992
Sibilant Singular,fax,man,14.547625064849854,7.862329483032227
Sibilant Plural,faxes,man,16.640403032302856,9.285521507263184
Regular Singular,shack,man,15.485368728637695,7.730777263641357
Regular Plural,shacks,man,17.90983819961548,9.688716888427734
