Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.685527801513672,12.188063621520996
Sibilant Plural,hoses,collector,15.583988189697266,15.513176918029785
Regular Singular,hoe,collector,11.586124420166016,14.129029273986816
Regular Plural,hoes,collector,13.406685829162598,14.198800086975098
Sibilant Singular,rose,organizer,8.216001510620117,17.05845069885254
Sibilant Plural,roses,organizer,10.740589141845703,17.903718948364258
Regular Singular,row,organizer,9.231785774230957,16.491405487060547
Regular Plural,rows,organizer,11.375739097595215,18.741382122039795
Sibilant Singular,rise,addict,10.629256248474121,14.962889671325684
Sibilant Plural,rises,addict,12.028717994689941,15.875089645385742
Regular Singular,lie,addict,10.658954620361328,17.086973190307617
Regular Plural,lies,addict,11.395011901855469,17.226600646972656
Sibilant Singular,clause,hider,12.971287727355957,19.703481197357178
Sibilant Plural,clauses,hider,13.9086332321167,22.373416423797607
Regular Singular,claw,hider,11.313536643981934,18.068666458129883
Regular Plural,claws,hider,15.354475975036621,21.292296409606934
Sibilant Singular,gaze,attractor,12.1641263961792,20.429460525512695
Sibilant Plural,gazes,attractor,15.774678230285645,16.317596912384033
Regular Singular,guy,attractor,9.232796669006348,19.485294342041016
Regular Plural,guys,attractor,9.851962089538574,18.029674530029297
Sibilant Singular,box,horde,8.941137313842773,15.119437217712402
Sibilant Plural,boxes,horde,11.839460372924805,16.630549430847168
Regular Singular,book,horde,8.261114120483398,14.421884536743164
Regular Plural,books,horde,8.208014488220215,16.360058784484863
Sibilant Singular,sex,distinctions,9.448253631591797,9.48388671875
Sibilant Plural,sexes,distinctions,13.855574607849121,13.147272109985352
Regular Singular,sack,distinctions,10.468503952026367,16.0031681060791
Regular Plural,sacks,distinctions,12.487631797790527,16.449719429016113
Sibilant Singular,tax,repayment,10.021349906921387,11.252243995666504
Sibilant Plural,taxes,repayment,11.316476821899414,16.469205856323242
Regular Singular,tack,repayment,11.299468994140625,20.02866554260254
Regular Plural,tacks,repayment,14.642250061035156,16.67300796508789
Sibilant Singular,size,device,9.301175117492676,13.356575012207031
Sibilant Plural,sizes,device,12.122300148010254,11.972895622253418
Regular Singular,sigh,device,11.942911148071289,15.3640775680542
Regular Plural,sighs,device,13.090585708618164,15.81079387664795
Sibilant Singular,praise,getter,13.97032642364502,20.31213092803955
Sibilant Plural,praises,getter,16.881437301635742,22.284043312072754
Regular Singular,tray,getter,13.559289932250977,23.4608736038208
Regular Plural,trays,getter,15.19090461730957,24.975460052490234
Sibilant Singular,bruise,expert,11.881912231445312,12.601863861083984
Sibilant Plural,bruises,expert,12.344171524047852,14.769342422485352
Regular Singular,brew,expert,12.551031112670898,14.09035873413086
Regular Plural,brews,expert,15.012977600097656,14.819425582885742
Sibilant Singular,raise,seeker,11.174662590026855,16.346527099609375
Sibilant Plural,raises,seeker,12.732202529907227,17.45895528793335
Regular Singular,ray,seeker,10.309464454650879,19.138404369354248
Regular Plural,rays,seeker,11.550978660583496,20.9036922454834
Sibilant Singular,blaze,admirer,13.768487930297852,19.77903938293457
Sibilant Plural,blazes,admirer,16.868111610412598,22.278050422668457
Regular Singular,play,admirer,7.869832992553711,18.765923500061035
Regular Plural,plays,admirer,9.796168327331543,20.505759239196777
Sibilant Singular,vase,steward,14.290287017822266,12.943450927734375
Sibilant Plural,vases,steward,15.014687538146973,13.650934219360352
Regular Singular,bee,steward,10.946329116821289,12.613277435302734
Regular Plural,bees,steward,11.577432632446289,14.20932388305664
Sibilant Singular,fox,avoiders,9.92660903930664,17.647077083587646
Sibilant Plural,foxes,avoiders,13.326337814331055,19.51224708557129
Regular Singular,shock,avoiders,11.170999526977539,17.375592708587646
Regular Plural,shocks,avoiders,14.645062446594238,18.578147888183594
Sibilant Singular,maze,expert,14.398564338684082,11.31710147857666
Sibilant Plural,mazes,expert,16.376245498657227,12.6121244430542
Regular Singular,bay,expert,10.684268951416016,12.157319068908691
Regular Plural,bays,expert,15.57229995727539,13.86281967163086
Sibilant Singular,breeze,protector,11.991866111755371,16.76508617401123
Sibilant Plural,breezes,protector,14.38685131072998,15.014371871948242
Regular Singular,tree,protector,9.11158561706543,13.809318542480469
Regular Plural,trees,protector,10.420149803161621,15.472678184509277
Sibilant Singular,cause,evaluator,9.148918151855469,21.448816299438477
Sibilant Plural,causes,evaluator,9.718324661254883,21.519986152648926
Regular Singular,paw,evaluator,10.851570129394531,22.8190279006958
Regular Plural,paws,evaluator,12.91689395904541,22.911946296691895
Sibilant Singular,phase,fanatic,10.71684741973877,18.4457368850708
Sibilant Plural,phases,fanatic,12.216483116149902,17.608882904052734
Regular Singular,fee,fanatic,10.774433135986328,19.474123001098633
Regular Plural,fees,fanatic,12.223526000976562,18.15358304977417
Sibilant Singular,fax,man,11.869211196899414,8.927999496459961
Sibilant Plural,faxes,man,15.421843528747559,8.158023834228516
Regular Singular,shack,man,14.423356056213379,5.740557670593262
Regular Plural,shacks,man,18.355785846710205,7.028557300567627
