Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,17.206584930419922,14.183525800704956
Sibilant Plural,hoses,collector,18.53115940093994,15.449515342712402
Regular Singular,hoe,collector,11.820850372314453,14.10901141166687
Regular Plural,hoes,collector,15.865837574005127,14.613409042358398
Sibilant Singular,rose,organizer,13.535888671875,12.771793603897095
Sibilant Plural,roses,organizer,16.36413812637329,14.514489889144897
Regular Singular,row,organizer,12.08575439453125,14.45594072341919
Regular Plural,rows,organizer,12.048087120056152,14.854460000991821
Sibilant Singular,rise,addict,12.554533004760742,17.285374641418457
Sibilant Plural,rises,addict,14.238939762115479,17.127655506134033
Regular Singular,lie,addict,12.276056289672852,17.819031238555908
Regular Plural,lies,addict,13.878561973571777,17.64448070526123
Sibilant Singular,clause,hider,15.970985889434814,20.78546142578125
Sibilant Plural,clauses,hider,22.015652179718018,20.07127857208252
Regular Singular,claw,hider,16.941412925720215,19.415620803833008
Regular Plural,claws,hider,16.633037090301514,18.86028814315796
Sibilant Singular,gaze,attractor,20.091906547546387,18.50669574737549
Sibilant Plural,gazes,attractor,22.160900592803955,19.932263374328613
Regular Singular,guy,attractor,15.421643733978271,18.61821222305298
Regular Plural,guys,attractor,15.007959842681885,19.861557006835938
Sibilant Singular,box,horde,10.75821590423584,22.38527011871338
Sibilant Plural,boxes,horde,13.401444911956787,22.58607292175293
Regular Singular,book,horde,10.521668434143066,22.424720525741577
Regular Plural,books,horde,12.571738958358765,23.235788822174072
Sibilant Singular,sex,distinctions,11.900005340576172,15.156354904174805
Sibilant Plural,sexes,distinctions,19.85659408569336,15.434004068374634
Regular Singular,sack,distinctions,17.67863893508911,15.28137493133545
Regular Plural,sacks,distinctions,17.938268184661865,15.5578134059906
Sibilant Singular,tax,repayment,15.66948127746582,16.780574798583984
Sibilant Plural,taxes,repayment,20.038917541503906,17.049317359924316
Regular Singular,tack,repayment,13.45519495010376,16.032381534576416
Regular Plural,tacks,repayment,15.530839443206787,17.60625171661377
Sibilant Singular,size,device,15.20704984664917,9.323881149291992
Sibilant Plural,sizes,device,17.708205699920654,11.515669822692871
Regular Singular,sigh,device,16.23704957962036,10.316157341003418
Regular Plural,sighs,device,15.378616333007812,11.924726486206055
Sibilant Singular,praise,getter,20.33589792251587,20.53531837463379
Sibilant Plural,praises,getter,21.823479652404785,20.969387531280518
Regular Singular,tray,getter,13.891148567199707,19.624788284301758
Regular Plural,trays,getter,18.2215518951416,20.025371074676514
Sibilant Singular,bruise,expert,23.16782283782959,12.331595420837402
Sibilant Plural,bruises,expert,23.836246490478516,13.841437339782715
Regular Singular,brew,expert,16.1588077545166,12.360095024108887
Regular Plural,brews,expert,17.818381786346436,13.067449569702148
Sibilant Singular,raise,seeker,15.960711479187012,19.166032791137695
Sibilant Plural,raises,seeker,17.66543483734131,20.436808586120605
Regular Singular,ray,seeker,12.1548490524292,19.700888633728027
Regular Plural,rays,seeker,14.858631610870361,19.96874713897705
Sibilant Singular,blaze,admirer,17.586623191833496,17.379698753356934
Sibilant Plural,blazes,admirer,20.090031623840332,17.64451503753662
Regular Singular,play,admirer,10.167813301086426,16.344241619110107
Regular Plural,plays,admirer,13.303213119506836,17.258910655975342
Sibilant Singular,vase,steward,18.33535861968994,14.410012245178223
Sibilant Plural,vases,steward,19.42041301727295,15.66464900970459
Regular Singular,bee,steward,11.82763957977295,13.748705863952637
Regular Plural,bees,steward,15.942437648773193,16.22549295425415
Sibilant Singular,fox,avoiders,16.85374641418457,21.290841102600098
Sibilant Plural,foxes,avoiders,19.995927810668945,21.823862075805664
Regular Singular,shock,avoiders,14.997513771057129,21.007498741149902
Regular Plural,shocks,avoiders,18.604135513305664,21.678878784179688
Sibilant Singular,maze,expert,17.694215774536133,13.010632514953613
Sibilant Plural,mazes,expert,22.04407024383545,13.327264785766602
Regular Singular,bay,expert,15.917986869812012,12.36007308959961
Regular Plural,bays,expert,18.183863639831543,13.271564483642578
Sibilant Singular,breeze,protector,19.976533889770508,14.74785590171814
Sibilant Plural,breezes,protector,23.704954624176025,15.610098361968994
Regular Singular,tree,protector,11.558587074279785,16.67064094543457
Regular Plural,trees,protector,14.088202953338623,17.609201908111572
Sibilant Singular,cause,evaluator,11.074749946594238,22.010607719421387
Sibilant Plural,causes,evaluator,20.988672256469727,20.579712867736816
Regular Singular,paw,evaluator,15.552081108093262,19.558265209197998
Regular Plural,paws,evaluator,15.789764404296875,22.046422481536865
Sibilant Singular,phase,fanatic,19.75676727294922,14.690953254699707
Sibilant Plural,phases,fanatic,17.942284107208252,14.664955615997314
Regular Singular,fee,fanatic,13.134867668151855,15.333759307861328
Regular Plural,fees,fanatic,17.548871994018555,14.61801815032959
Sibilant Singular,fax,man,16.457568168640137,9.088085174560547
Sibilant Plural,faxes,man,20.616514682769775,11.227570533752441
Regular Singular,shack,man,15.779430389404297,8.797845840454102
Regular Plural,shacks,man,18.107851028442383,9.477837562561035
