Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,15.019145965576172,14.21471905708313
Sibilant Plural,hoses,collector,17.75756072998047,14.612595081329346
Regular Singular,hoe,collector,14.483713150024414,14.043139219284058
Regular Plural,hoes,collector,17.061014652252197,13.522936820983887
Sibilant Singular,rose,organizer,11.24394702911377,20.34109401702881
Sibilant Plural,roses,organizer,14.128917694091797,19.143996238708496
Regular Singular,row,organizer,11.362420082092285,15.897645235061646
Regular Plural,rows,organizer,14.529383659362793,19.2209951877594
Sibilant Singular,rise,addict,11.827301025390625,16.470702171325684
Sibilant Plural,rises,addict,15.37622356414795,15.95258903503418
Regular Singular,lie,addict,10.546073913574219,18.250356674194336
Regular Plural,lies,addict,12.543434143066406,16.721705436706543
Sibilant Singular,clause,hider,15.7794508934021,21.091588020324707
Sibilant Plural,clauses,hider,16.16878032684326,22.22404193878174
Regular Singular,claw,hider,14.244995594024658,19.512385368347168
Regular Plural,claws,hider,13.976508140563965,21.343082427978516
Sibilant Singular,gaze,attractor,12.5579195022583,22.282111167907715
Sibilant Plural,gazes,attractor,14.85763692855835,22.338623046875
Regular Singular,guy,attractor,10.35757064819336,22.21420955657959
Regular Plural,guys,attractor,9.90004825592041,23.302889823913574
Sibilant Singular,box,horde,9.688461303710938,22.074095249176025
Sibilant Plural,boxes,horde,11.885546684265137,19.540319204330444
Regular Singular,book,horde,9.291128158569336,20.651264429092407
Regular Plural,books,horde,10.287957191467285,18.366175651550293
Sibilant Singular,sex,distinctions,11.91862678527832,14.801690816879272
Sibilant Plural,sexes,distinctions,15.176024436950684,17.24025297164917
Regular Singular,sack,distinctions,12.511555671691895,19.395426750183105
Regular Plural,sacks,distinctions,15.277843475341797,14.885386228561401
Sibilant Singular,tax,repayment,11.470579147338867,11.104337215423584
Sibilant Plural,taxes,repayment,13.591928482055664,16.469152450561523
Regular Singular,tack,repayment,15.560004234313965,18.194236636161804
Regular Plural,tacks,repayment,16.842702388763428,19.308703422546387
Sibilant Singular,size,device,12.94601058959961,13.107926368713379
Sibilant Plural,sizes,device,14.026586532592773,12.685030937194824
Regular Singular,sigh,device,13.047979354858398,13.633092880249023
Regular Plural,sighs,device,13.558103561401367,13.625
Sibilant Singular,praise,getter,12.224827766418457,23.488012313842773
Sibilant Plural,praises,getter,14.40345573425293,22.842856407165527
Regular Singular,tray,getter,12.24166488647461,18.145883083343506
Regular Plural,trays,getter,18.012065887451172,21.208776473999023
Sibilant Singular,bruise,expert,14.257704496383667,14.348990440368652
Sibilant Plural,bruises,expert,13.838930130004883,15.79035758972168
Regular Singular,brew,expert,17.64511251449585,13.469236373901367
Regular Plural,brews,expert,19.954585552215576,13.583017349243164
Sibilant Singular,raise,seeker,11.265473365783691,24.82957935333252
Sibilant Plural,raises,seeker,12.945162773132324,22.966158866882324
Regular Singular,ray,seeker,12.798227071762085,23.33648109436035
Regular Plural,rays,seeker,13.296751022338867,20.454870223999023
Sibilant Singular,blaze,admirer,16.2438325881958,14.557300090789795
Sibilant Plural,blazes,admirer,16.31913709640503,20.618446350097656
Regular Singular,play,admirer,8.513608932495117,14.304813623428345
Regular Plural,plays,admirer,11.006942749023438,14.20460033416748
Sibilant Singular,vase,steward,17.693998336791992,19.175114631652832
Sibilant Plural,vases,steward,18.339807510375977,19.977340698242188
Regular Singular,bee,steward,13.455059051513672,17.330893516540527
Regular Plural,bees,steward,13.958715438842773,18.02572011947632
Sibilant Singular,fox,avoiders,11.721198081970215,19.745705127716064
Sibilant Plural,foxes,avoiders,13.203583002090454,22.95076274871826
Regular Singular,shock,avoiders,13.010120391845703,19.914958000183105
Regular Plural,shocks,avoiders,13.667350769042969,22.91826057434082
Sibilant Singular,maze,expert,15.038985252380371,13.964120864868164
Sibilant Plural,mazes,expert,15.645889043807983,15.144752502441406
Regular Singular,bay,expert,12.723871231079102,13.094781875610352
Regular Plural,bays,expert,16.435997009277344,15.442538261413574
Sibilant Singular,breeze,protector,13.036568641662598,22.05461311340332
Sibilant Plural,breezes,protector,17.027411460876465,18.981674671173096
Regular Singular,tree,protector,9.465644836425781,18.77114963531494
Regular Plural,trees,protector,10.909746170043945,19.425726413726807
Sibilant Singular,cause,evaluator,9.911373138427734,20.871006965637207
Sibilant Plural,causes,evaluator,13.139684677124023,20.905027389526367
Regular Singular,paw,evaluator,14.361698150634766,20.001248359680176
Regular Plural,paws,evaluator,14.951828002929688,23.159558296203613
Sibilant Singular,phase,fanatic,13.434732437133789,14.827520847320557
Sibilant Plural,phases,fanatic,15.326295971870422,13.850264549255371
Regular Singular,fee,fanatic,13.206896781921387,18.028311729431152
Regular Plural,fees,fanatic,14.736642122268677,14.976917266845703
Sibilant Singular,fax,man,15.438249111175537,9.874185562133789
Sibilant Plural,faxes,man,15.516531229019165,10.211570739746094
Regular Singular,shack,man,14.154064178466797,10.34941291809082
Regular Plural,shacks,man,17.329500675201416,10.247528076171875
