Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Sibilant Singular,hose,collector,12.453877687454224,12.060859680175781
Sibilant Plural,hoses,collector,14.885310649871826,13.032103776931763
Regular Singular,hoe,collector,10.149134635925293,15.325037240982056
Regular Plural,hoes,collector,12.966904640197754,14.170374631881714
Sibilant Singular,rose,organizer,9.235791444778442,17.45414662361145
Sibilant Plural,roses,organizer,10.461305141448975,15.882934808731079
Regular Singular,row,organizer,8.052842378616333,13.804451942443848
Regular Plural,rows,organizer,10.369190454483032,16.40166211128235
Sibilant Singular,rise,addict,8.85436725616455,12.443199396133423
Sibilant Plural,rises,addict,11.577876806259155,16.070547342300415
Regular Singular,lie,addict,9.196271419525146,13.496716737747192
Regular Plural,lies,addict,11.203574657440186,11.014345645904541
Sibilant Singular,clause,hider,11.995570421218872,15.88397741317749
Sibilant Plural,clauses,hider,12.623018503189087,15.429638147354126
Regular Singular,claw,hider,12.478090763092041,14.018956184387207
Regular Plural,claws,hider,13.057801723480225,13.48570704460144
Sibilant Singular,gaze,attractor,12.18814492225647,15.706592082977295
Sibilant Plural,gazes,attractor,14.982603788375854,11.632585048675537
Regular Singular,guy,attractor,8.158643245697021,17.444863080978394
Regular Plural,guys,attractor,8.30332326889038,17.290526628494263
Sibilant Singular,box,horde,11.399815797805786,17.149444103240967
Sibilant Plural,boxes,horde,12.506041765213013,14.709171772003174
Regular Singular,book,horde,11.10050654411316,16.851243019104004
Regular Plural,books,horde,11.94502854347229,15.615439653396606
Sibilant Singular,sex,distinctions,9.927977323532104,15.519566774368286
Sibilant Plural,sexes,distinctions,15.318459510803223,15.783967733383179
Regular Singular,sack,distinctions,11.346564769744873,16.09317636489868
Regular Plural,sacks,distinctions,12.134481430053711,15.725116491317749
Sibilant Singular,tax,repayment,11.35623049736023,14.945157051086426
Sibilant Plural,taxes,repayment,13.471318483352661,15.247315883636475
Regular Singular,tack,repayment,11.581601858139038,20.631349563598633
Regular Plural,tacks,repayment,16.78872561454773,14.995714902877808
Sibilant Singular,size,device,10.171268939971924,12.372009038925171
Sibilant Plural,sizes,device,12.061493158340454,9.87588095664978
Regular Singular,sigh,device,7.208098411560059,13.80428671836853
Regular Plural,sighs,device,9.030430316925049,15.10419750213623
Sibilant Singular,praise,getter,10.18621301651001,16.735998153686523
Sibilant Plural,praises,getter,11.698259115219116,17.7583327293396
Regular Singular,tray,getter,11.411973476409912,15.51270866394043
Regular Plural,trays,getter,12.367297649383545,13.467519521713257
Sibilant Singular,bruise,expert,14.098639965057373,13.201083660125732
Sibilant Plural,bruises,expert,14.696675777435303,11.15687608718872
Regular Singular,brew,expert,10.459402322769165,9.190276384353638
Regular Plural,brews,expert,12.735110521316528,10.544095516204834
Sibilant Singular,raise,seeker,8.735513687133789,15.510820388793945
Sibilant Plural,raises,seeker,11.380823612213135,15.46019434928894
Regular Singular,ray,seeker,9.292665004730225,12.51961350440979
Regular Plural,rays,seeker,11.290453433990479,12.937071800231934
Sibilant Singular,blaze,admirer,12.901813268661499,15.534439325332642
Sibilant Plural,blazes,admirer,13.902668237686157,16.66661238670349
Regular Singular,play,admirer,6.3360066413879395,16.5984845161438
Regular Plural,plays,admirer,8.195008516311646,14.28588342666626
Sibilant Singular,vase,steward,12.466241836547852,12.268360137939453
Sibilant Plural,vases,steward,13.905189752578735,14.257267951965332
Regular Singular,bee,steward,9.077323913574219,11.42977237701416
Regular Plural,bees,steward,11.827782392501831,12.791378498077393
Sibilant Singular,fox,avoiders,11.61745023727417,18.584714889526367
Sibilant Plural,foxes,avoiders,13.942905902862549,17.11858558654785
Regular Singular,shock,avoiders,10.378484725952148,17.465036630630493
Regular Plural,shocks,avoiders,13.072549819946289,18.966804265975952
Sibilant Singular,maze,expert,12.299331188201904,13.480384588241577
Sibilant Plural,mazes,expert,13.9376540184021,12.22422742843628
Regular Singular,bay,expert,10.714706897735596,12.982666492462158
Regular Plural,bays,expert,13.688777446746826,12.724563598632812
Sibilant Singular,breeze,protector,14.358018636703491,12.989199161529541
Sibilant Plural,breezes,protector,16.190252780914307,13.66195821762085
Regular Singular,tree,protector,9.5462167263031,13.15529489517212
Regular Plural,trees,protector,10.250632047653198,14.374986171722412
Sibilant Singular,cause,evaluator,10.238951683044434,17.86455488204956
Sibilant Plural,causes,evaluator,11.007998943328857,17.170480251312256
Regular Singular,paw,evaluator,10.15713882446289,21.377920866012573
Regular Plural,paws,evaluator,11.939845323562622,17.779465198516846
Sibilant Singular,phase,fanatic,11.357066869735718,14.495071172714233
Sibilant Plural,phases,fanatic,12.743997573852539,14.568918466567993
Regular Singular,fee,fanatic,7.726402282714844,16.83700656890869
Regular Plural,fees,fanatic,12.937311172485352,14.582330703735352
Sibilant Singular,fax,man,11.884156465530396,5.2443037033081055
Sibilant Plural,faxes,man,14.52414608001709,7.565188884735107
Regular Singular,shack,man,12.557198524475098,6.600341796875
Regular Plural,shacks,man,15.079782247543335,7.106558322906494
