Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,blaze,protector,13.490278244018555,13.948646306991577
Pair 1,blazes,protector,15.675213813781738,12.695641279220581
Pair 2,spark,protector,12.237382173538208,11.907709836959839
Pair 2,sparks,protector,13.693854093551636,12.809215784072876
Pair 1,breeze,protector,13.603150844573975,13.34827446937561
Pair 1,breezes,protector,15.004867792129517,13.226752281188965
Pair 2,storm,protector,11.395419836044312,10.813576936721802
Pair 2,storms,protector,13.084043264389038,13.38718843460083
Pair 1,vase,maker,13.4820077419281,9.195887565612793
Pair 1,vases,maker,16.127970457077026,10.782567977905273
Pair 2,pot,maker,11.400228261947632,9.954399108886719
Pair 2,pots,maker,12.752548456192017,10.609540939331055
Pair 1,hoax,victims,14.562190294265747,12.880908966064453
Pair 1,hoaxes,victims,16.618626832962036,10.103098392486572
Pair 2,joke,victims,11.7057466506958,14.56128215789795
Pair 2,jokes,victims,13.446569919586182,14.452526807785034
Pair 1,phase,classifier,12.965837478637695,15.233828067779541
Pair 1,phases,classifier,15.34006118774414,15.1629958152771
Pair 2,step,classifier,9.883930683135986,22.5918607711792
Pair 2,steps,classifier,11.99792742729187,18.369407176971436
Pair 1,hose,installer,12.15482497215271,16.212007522583008
Pair 1,hoses,installer,15.815781593322754,16.32951831817627
Pair 2,pipe,installer,10.941052913665771,14.665837526321411
Pair 2,pipes,installer,12.221243858337402,18.094831466674805
Pair 1,fox,chaser,10.858338117599487,11.258384227752686
Pair 1,foxes,chaser,13.683770179748535,12.770606517791748
Pair 2,wolf,chaser,11.066313028335571,12.33393144607544
Pair 2,wolves,chaser,12.121143102645874,13.69581651687622
Pair 1,mix,winner,11.404635190963745,11.535465240478516
Pair 1,mixes,winner,15.291910409927368,13.239888906478882
Pair 2,blend,winner,13.16605257987976,12.764133930206299
Pair 2,blends,winner,15.773963689804077,14.080925941467285
Pair 1,nose,rashes,11.452944040298462,13.991099834442139
Pair 1,noses,rashes,16.856219053268433,17.934126377105713
Pair 2,thigh,rashes,11.768343448638916,15.822228908538818
Pair 2,thighs,rashes,14.770583152770996,14.98238492012024
Pair 1,clause,finder,12.930348634719849,13.231367111206055
Pair 1,clauses,finder,17.083277463912964,15.062123775482178
Pair 2,article,finder,12.078683137893677,15.999942541122437
Pair 2,articles,finder,13.720351219177246,13.667746782302856
Pair 1,maze,decoder,12.110146522521973,15.481216430664062
Pair 1,mazes,decoder,17.576946258544922,13.473782539367676
Pair 2,web,decoder,11.42764401435852,14.285938262939453
Pair 2,webs,decoder,15.093106985092163,13.978760242462158
Pair 1,bruise,healer,12.820942163467407,12.700456857681274
Pair 1,bruises,healer,13.971608400344849,14.70129108428955
Pair 2,sore,healer,9.462916374206543,15.674016952514648
Pair 2,sores,healer,14.506710052490234,13.110465049743652
Pair 1,rise,addict,10.824855327606201,14.068825960159302
Pair 1,rises,addict,14.035407066345215,16.987522840499878
Pair 2,drop,addict,9.418444871902466,13.638314723968506
Pair 2,drops,addict,10.410125017166138,16.332298278808594
Pair 1,praise,getter,11.404388904571533,23.835920333862305
Pair 1,praises,getter,15.387256622314453,18.4649658203125
Pair 2,compliment,getter,13.347244024276733,18.258609771728516
Pair 2,compliments,getter,14.137122869491577,17.922632932662964
Pair 1,fax,man,12.852007627487183,6.003408432006836
Pair 1,faxes,man,16.684354782104492,6.98002552986145
Pair 2,copy,man,10.435365438461304,9.888279438018799
Pair 2,copies,man,13.247485160827637,9.486340999603271
Pair 1,box,lifters,10.711216688156128,14.489161491394043
Pair 1,boxes,lifters,14.30948805809021,16.377807140350342
Pair 2,pack,lifters,10.480171203613281,17.299286127090454
Pair 2,packs,lifters,13.322529315948486,14.277726650238037
Pair 1,tax,receivers,10.472252607345581,8.77034854888916
Pair 1,taxes,receivers,13.399386167526245,12.704779148101807
Pair 2,toll,receivers,10.656874656677246,11.09178113937378
Pair 2,tolls,receivers,16.438724279403687,11.356282711029053
Pair 1,sex,disparities,10.71141505241394,18.389188289642334
Pair 1,sexes,disparities,14.73111343383789,18.101688385009766
Pair 2,gender,disparities,12.98746395111084,14.642526865005493
Pair 2,genders,disparities,16.998011589050293,16.681599140167236
Pair 1,quiz,expert,12.779936075210571,11.032426357269287
Pair 1,quizzes,expert,18.406216621398926,11.155702590942383
Pair 2,puzzle,expert,12.306233882904053,12.537925720214844
Pair 2,puzzles,expert,14.514120817184448,11.476659774780273
Pair 1,size,device,8.454486846923828,12.743072509765625
Pair 1,sizes,device,15.339324474334717,11.095783710479736
Pair 2,shape,device,11.844298839569092,9.148309230804443
Pair 2,shapes,device,13.106523036956787,13.409857273101807
Pair 1,prize,seeker,13.128204822540283,14.554821491241455
Pair 1,prizes,seeker,14.872064113616943,13.905280113220215
Pair 2,award,seeker,10.543888568878174,22.11499786376953
Pair 2,awards,seeker,10.617513179779053,22.94241189956665
Pair 1,rose,gardeners,9.496496677398682,14.377669334411621
Pair 1,roses,gardeners,12.45585012435913,12.810616493225098
Pair 2,flower,gardeners,11.15301251411438,10.042090654373169
Pair 2,flowers,gardeners,11.609805345535278,12.959157705307007
