Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,hose,collector,15.389997482299805,10.071476221084595
Pair 1,hoses,collector,17.309115409851074,13.706720352172852
Pair 2,hoe,collector,15.027090072631836,13.362557649612427
Pair 2,hoes,collector,16.55370330810547,14.432785511016846
Pair 1,rose,organizer,10.267399787902832,15.3939790725708
Pair 1,roses,organizer,12.912412643432617,23.018857955932617
Pair 2,row,organizer,12.823979377746582,17.892815589904785
Pair 2,rows,organizer,14.877927780151367,16.93474006652832
Pair 1,rise,addict,11.471661567687988,16.3542799949646
Pair 1,rises,addict,15.925933837890625,20.328513145446777
Pair 2,lie,addict,11.586318969726562,17.177917003631592
Pair 2,lies,addict,13.538244247436523,17.04231548309326
Pair 1,clause,hider,16.155423164367676,21.397432327270508
Pair 1,clauses,hider,18.740736961364746,22.708348274230957
Pair 2,claw,hider,14.48004674911499,18.995253562927246
Pair 2,claws,hider,15.82036304473877,20.156014442443848
Pair 1,gaze,attractor,14.77901840209961,23.71926975250244
Pair 1,gazes,attractor,18.79512071609497,16.80629539489746
Pair 2,guy,attractor,11.041418075561523,19.077601432800293
Pair 2,guys,attractor,11.622407913208008,22.490741729736328
Pair 1,box,horde,11.726469993591309,15.16460132598877
Pair 1,boxes,horde,15.235551834106445,15.12444281578064
Pair 2,book,horde,11.032057762145996,19.355276823043823
Pair 2,books,horde,12.478960037231445,19.7142813205719
Pair 1,size,machine,12.00175952911377,12.593823432922363
Pair 1,sizes,machine,14.843632698059082,12.673113822937012
Pair 2,sigh,machine,14.93020248413086,12.160079002380371
Pair 2,sighs,machine,16.51464080810547,14.448222160339355
Pair 1,praise,getter,11.812132835388184,21.35270118713379
Pair 1,praises,getter,16.74764108657837,19.910459518432617
Pair 2,tray,getter,15.379670143127441,16.31161594390869
Pair 2,trays,getter,15.509955406188965,20.313197135925293
Pair 1,bruise,expert,16.301176071166992,13.903078079223633
Pair 1,bruises,expert,14.913793087005615,13.020575523376465
Pair 2,brew,expert,15.757791519165039,13.279349327087402
Pair 2,brews,expert,18.0767822265625,14.678808212280273
Pair 1,raise,seeker,11.669188499450684,16.19731330871582
Pair 1,raises,seeker,14.476160049438477,12.175680160522461
Pair 2,ray,seeker,12.034537315368652,13.050302505493164
Pair 2,rays,seeker,14.356245994567871,17.583414554595947
Pair 1,blaze,lover,14.4920654296875,14.025530815124512
Pair 1,blazes,lover,17.168382167816162,15.14394760131836
Pair 2,play,lover,10.622020721435547,11.642463684082031
Pair 2,plays,lover,13.080328941345215,13.451969146728516
Pair 1,fox,avoiders,11.775041580200195,21.57226848602295
Pair 1,foxes,avoiders,13.821070671081543,19.18661880493164
Pair 2,shock,avoiders,12.929283142089844,25.334285736083984
Pair 2,shocks,avoiders,16.878417015075684,22.57695770263672
Pair 1,maze,expert,16.362552165985107,16.330188751220703
Pair 1,mazes,expert,18.79948139190674,15.757298469543457
Pair 2,bay,expert,12.868385314941406,14.24716567993164
Pair 2,bays,expert,18.346606254577637,13.046501159667969
Pair 1,breeze,protector,13.604968070983887,11.348857045173645
Pair 1,breezes,protector,19.142175674438477,16.750702381134033
Pair 2,tree,protector,12.830683708190918,13.832215785980225
Pair 2,trees,protector,12.549881935119629,16.862515449523926
Pair 1,cause,evaluator,10.638847351074219,18.787582397460938
Pair 1,causes,evaluator,12.720211029052734,17.911263465881348
Pair 2,paw,evaluator,13.913747787475586,20.484320640563965
Pair 2,paws,evaluator,15.006699562072754,22.34698724746704
Pair 1,phase,fanatic,13.300436973571777,20.286712646484375
Pair 1,phases,fanatic,14.699833393096924,18.518699645996094
Pair 2,fee,fanatic,14.933551788330078,21.48271656036377
Pair 2,fees,fanatic,15.399361610412598,19.210692405700684
Pair 1,fax,man,14.230620384216309,9.490979194641113
Pair 1,faxes,man,16.19027328491211,10.644790649414062
Pair 2,shack,man,18.575149536132812,8.754817962646484
Pair 2,shacks,man,18.8591890335083,9.041569709777832
Pair 1,vase,owner,14.538396835327148,10.399712562561035
Pair 1,vases,owner,15.501386642456055,11.72520637512207
Pair 2,bee,owner,13.061748504638672,14.358942031860352
Pair 2,bees,owner,13.337979316711426,15.057110786437988
Pair 1,sex,distinctions,11.244321823120117,16.197267413139343
Pair 1,sexes,distinctions,17.461917877197266,17.806915760040283
Pair 2,sack,distinctions,14.06640911102295,17.46094536781311
Pair 2,sacks,distinctions,15.635000228881836,13.78069543838501
Pair 1,size,device,12.00175952911377,12.269704818725586
Pair 1,sizes,device,14.843632698059082,13.268534660339355
Pair 2,sigh,device,14.93020248413086,14.90381145477295
Pair 2,sighs,device,16.51464080810547,19.886253356933594
Pair 1,tax,fee,12.827210426330566,10.20009994506836
Pair 1,taxes,fee,14.246368408203125,12.49084758758545
Pair 2,tack,fee,15.602291107177734,11.165078163146973
Pair 2,tacks,fee,16.49950122833252,14.600367546081543
Pair 1,blaze,admirer,14.492066383361816,17.598498106002808
Pair 1,blazes,admirer,17.168380975723267,16.579107761383057
Pair 2,play,admirer,10.622020721435547,16.174319982528687
Pair 2,plays,admirer,13.080328941345215,17.48200297355652
