Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,blaze,protector,13.118799448013306,14.135503768920898
Pair 1,blazes,protector,15.100983142852783,14.38016676902771
Pair 2,spark,protector,12.100282907485962,13.735222816467285
Pair 2,sparks,protector,13.622958898544312,11.878737688064575
Pair 1,breeze,protector,14.377845525741577,12.267909526824951
Pair 1,breezes,protector,15.904248714447021,13.650824069976807
Pair 2,storm,protector,11.272210359573364,11.552743673324585
Pair 2,storms,protector,12.761810779571533,13.707152366638184
Pair 1,vase,maker,12.39568567276001,9.044607877731323
Pair 1,vases,maker,15.116671085357666,13.48316740989685
Pair 2,pot,maker,11.423243045806885,13.406546592712402
Pair 2,pots,maker,13.08850884437561,12.313725471496582
Pair 1,hoax,victims,14.509136438369751,13.777271032333374
Pair 1,hoaxes,victims,17.02311658859253,11.250964164733887
Pair 2,joke,victims,10.814198017120361,14.502244472503662
Pair 2,jokes,victims,13.16823697090149,13.440104007720947
Pair 1,phase,classifier,12.059058666229248,15.386804103851318
Pair 1,phases,classifier,15.423933267593384,17.003549814224243
Pair 2,step,classifier,9.757889032363892,15.976107835769653
Pair 2,steps,classifier,11.476186037063599,16.517027378082275
Pair 1,hose,installer,12.319360256195068,18.62134623527527
Pair 1,hoses,installer,15.149631261825562,16.77480125427246
Pair 2,pipe,installer,10.861377000808716,16.869542598724365
Pair 2,pipes,installer,12.35391902923584,16.036335706710815
Pair 1,fox,chaser,10.988059520721436,10.773424863815308
Pair 1,foxes,chaser,13.197841882705688,12.535497188568115
Pair 2,wolf,chaser,11.038558006286621,11.396063804626465
Pair 2,wolves,chaser,12.88199782371521,12.349027633666992
Pair 1,mix,winner,11.668844938278198,13.202617406845093
Pair 1,mixes,winner,14.09571647644043,15.119170427322388
Pair 2,blend,winner,13.642465353012085,15.55274748802185
Pair 2,blends,winner,16.39989137649536,14.612924814224243
Pair 1,nose,rashes,11.337665557861328,14.434379577636719
Pair 1,noses,rashes,14.419181823730469,15.650394916534424
Pair 2,thigh,rashes,11.997026443481445,13.088885068893433
Pair 2,thighs,rashes,13.807686567306519,14.399566888809204
Pair 1,clause,finder,12.176330089569092,12.199930906295776
Pair 1,clauses,finder,13.527743816375732,14.238831281661987
Pair 2,article,finder,12.034499883651733,14.029258489608765
Pair 2,articles,finder,13.607369661331177,13.306302070617676
Pair 1,maze,decoder,12.298994541168213,17.467525959014893
Pair 1,mazes,decoder,16.31309175491333,15.613645792007446
Pair 2,web,decoder,11.571125745773315,16.73307466506958
Pair 2,webs,decoder,15.385846853256226,16.578243494033813
Pair 1,bruise,healer,13.258916854858398,14.428789377212524
Pair 1,bruises,healer,14.615382432937622,14.705216407775879
Pair 2,sore,healer,9.295612335205078,16.19948387145996
Pair 2,sores,healer,14.43121862411499,13.730527877807617
Pair 1,rise,addict,10.708754539489746,13.562288045883179
Pair 1,rises,addict,13.474287033081055,14.657971858978271
Pair 2,drop,addict,9.422361612319946,15.440666198730469
Pair 2,drops,addict,10.277279376983643,19.352405071258545
Pair 1,praise,getter,11.442467212677002,15.117978572845459
Pair 1,praises,getter,15.276658773422241,15.072153568267822
Pair 2,compliment,getter,13.03299069404602,15.853856563568115
Pair 2,compliments,getter,13.73596739768982,13.736427783966064
Pair 1,fax,man,12.955649852752686,5.463243722915649
Pair 1,faxes,man,15.972768306732178,7.283931255340576
Pair 2,copy,man,10.558394193649292,9.213283777236938
Pair 2,copies,man,12.943835020065308,7.384673833847046
Pair 1,box,lifters,10.912663459777832,15.197679996490479
Pair 1,boxes,lifters,13.242708206176758,17.433737754821777
Pair 2,pack,lifters,10.137150526046753,17.03915309906006
Pair 2,packs,lifters,12.759716033935547,14.651228189468384
Pair 1,tax,receivers,10.615581035614014,12.96600341796875
Pair 1,taxes,receivers,13.708390474319458,12.300539493560791
Pair 2,toll,receivers,10.110199451446533,20.030678749084473
Pair 2,tolls,receivers,16.18152141571045,13.946995735168457
Pair 1,sex,disparities,10.673161506652832,16.141920566558838
Pair 1,sexes,disparities,13.18555212020874,16.70551586151123
Pair 2,gender,disparities,13.31962776184082,16.580662965774536
Pair 2,genders,disparities,16.753254175186157,17.511424779891968
Pair 1,quiz,expert,13.00391697883606,12.16668176651001
Pair 1,quizzes,expert,16.105556964874268,9.707954168319702
Pair 2,puzzle,expert,12.395828485488892,15.281033992767334
Pair 2,puzzles,expert,14.530457973480225,12.698488712310791
Pair 1,size,device,8.210692167282104,12.827104091644287
Pair 1,sizes,device,14.058731317520142,12.774713516235352
Pair 2,shape,device,12.090891361236572,8.998162269592285
Pair 2,shapes,device,12.964920043945312,11.781705856323242
Pair 1,prize,seeker,12.952488899230957,13.558050155639648
Pair 1,prizes,seeker,14.343339443206787,14.361577987670898
Pair 2,award,seeker,10.758637428283691,18.34188413619995
Pair 2,awards,seeker,10.786163330078125,19.971089363098145
Pair 1,rose,gardeners,9.155192852020264,14.727992057800293
Pair 1,roses,gardeners,11.775903701782227,13.643904209136963
Pair 2,flower,gardeners,11.367751121520996,9.84130597114563
Pair 2,flowers,gardeners,11.816998481750488,12.929436206817627
