Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,hose,collector,12.15482497215271,10.57875108718872
Pair 1,hoses,collector,15.815781593322754,11.656359434127808
Pair 2,hoe,collector,6.848367929458618,13.956371784210205
Pair 2,hoes,collector,12.15482497215271,10.57875108718872
Pair 1,rose,organizer,9.496496677398682,15.587672233581543
Pair 1,roses,organizer,12.45585012435913,14.369000911712646
Pair 2,row,organizer,7.5008320808410645,14.107762098312378
Pair 2,rows,organizer,9.496496677398682,15.587672233581543
Pair 1,rise,addict,10.824855327606201,14.068825960159302
Pair 1,rises,addict,14.035407066345215,16.987522840499878
Pair 2,lie,addict,6.8166399002075195,14.964436054229736
Pair 2,lies,addict,10.948237419128418,13.670048952102661
Pair 1,clause,hider,12.930348634719849,15.091291904449463
Pair 1,clauses,hider,17.08327555656433,16.375836610794067
Pair 2,claw,hider,9.944085359573364,13.394966840744019
Pair 2,claws,hider,12.930348634719849,15.091291904449463
Pair 1,gaze,attractor,12.707046270370483,19.4564106464386
Pair 1,gazes,attractor,15.14651083946228,21.275302171707153
Pair 2,guy,attractor,8.663700103759766,18.553884744644165
Pair 2,guys,attractor,9.18900728225708,18.874131679534912
Pair 1,box,horde,10.711216688156128,14.345941305160522
Pair 1,boxes,horde,14.309489965438843,14.203348636627197
Pair 2,book,horde,10.019896030426025,15.734789848327637
Pair 2,books,horde,11.059248208999634,16.102264404296875
Pair 1,size,machine,8.454486846923828,10.481688022613525
Pair 1,sizes,machine,15.339324474334717,11.059566497802734
Pair 2,sigh,machine,7.281353235244751,9.351384401321411
Pair 2,sighs,machine,8.454486846923828,10.481688022613525
Pair 1,praise,getter,11.404388904571533,23.835920333862305
Pair 1,praises,getter,15.387256622314453,18.4649658203125
Pair 2,tray,getter,9.176368951797485,14.611136674880981
Pair 2,trays,getter,14.430250406265259,14.287049531936646
Pair 1,bruise,expert,12.820942163467407,11.84994125366211
Pair 1,bruises,expert,13.971608638763428,11.450108289718628
Pair 2,brew,expert,9.701179504394531,12.744967460632324
Pair 2,brews,expert,12.820942163467407,11.84994125366211
Pair 1,raise,seeker,10.725109100341797,15.331825971603394
Pair 1,raises,seeker,13.816296577453613,16.21709656715393
Pair 2,ray,seeker,8.13477087020874,15.020011901855469
Pair 2,rays,seeker,10.725109100341797,15.331825971603394
Pair 1,blaze,lover,13.490278959274292,11.706417560577393
Pair 1,blazes,lover,15.675215482711792,9.537383556365967
Pair 2,play,lover,7.828349590301514,11.081313133239746
Pair 2,plays,lover,10.198087215423584,12.523303508758545
Pair 1,fox,avoiders,10.858338117599487,17.661442756652832
Pair 1,foxes,avoiders,13.683769464492798,18.513917207717896
Pair 2,shock,avoiders,11.190754413604736,15.81619381904602
Pair 2,shocks,avoiders,14.587254047393799,17.48453974723816
Pair 1,maze,expert,12.110146522521973,11.198935985565186
Pair 1,mazes,expert,17.576946258544922,10.315385103225708
Pair 2,bay,expert,8.19052767753601,11.440813302993774
Pair 2,bays,expert,12.355804204940796,10.555958032608032
Pair 1,breeze,protector,13.603150844573975,13.34827446937561
Pair 1,breezes,protector,15.004867792129517,13.226752281188965
Pair 2,tree,protector,10.10405445098877,10.062269926071167
Pair 2,trees,protector,11.646778106689453,13.386820316314697
Pair 1,cause,evaluator,8.70135235786438,17.619412899017334
Pair 1,causes,evaluator,12.26819109916687,22.399436473846436
Pair 2,paw,evaluator,8.043456554412842,16.089445114135742
Pair 2,paws,evaluator,9.657907962799072,22.3819899559021
Pair 1,phase,fanatic,12.965836524963379,14.023263216018677
Pair 1,phases,fanatic,15.34006118774414,13.890466690063477
Pair 2,fee,fanatic,8.535810947418213,13.262206077575684
Pair 2,fees,fanatic,14.175783157348633,12.969894170761108
Pair 1,fax,man,12.852007627487183,6.003408432006836
Pair 1,faxes,man,16.684354782104492,6.98002552986145
Pair 2,shack,man,11.864224672317505,7.25523567199707
Pair 2,shacks,man,14.16814637184143,6.6671669483184814
Pair 1,vase,owner,13.48200798034668,8.118821144104004
Pair 1,vases,owner,16.127970457077026,10.121765613555908
Pair 2,bee,owner,4.853740692138672,13.556985139846802
Pair 2,bees,owner,12.033864974975586,11.274911403656006
Pair 1,sex,distinctions,10.71141505241394,16.670027256011963
Pair 1,sexes,distinctions,14.73111343383789,14.710046529769897
Pair 2,sack,distinctions,10.773171663284302,15.705473899841309
Pair 2,sacks,distinctions,12.513928174972534,15.517325162887573
Pair 1,size,device,8.454486846923828,12.743072509765625
Pair 1,sizes,device,15.339324474334717,11.095783710479736
Pair 2,sigh,device,7.281353235244751,11.409849882125854
Pair 2,sighs,device,8.454486846923828,12.743072509765625
Pair 1,tax,fee,10.472252130508423,7.619607925415039
Pair 1,taxes,fee,13.39938759803772,8.782057046890259
Pair 2,tack,fee,9.757405996322632,7.754561424255371
Pair 2,tacks,fee,10.472252130508423,7.619607925415039
Pair 1,blaze,admirer,13.490278244018555,16.821001052856445
Pair 1,blazes,admirer,15.675213813781738,13.702563285827637
Pair 2,play,admirer,7.828349828720093,14.32421875
Pair 2,plays,admirer,10.19808840751648,13.733097314834595
