Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,blaze,protector,14.492066383361816,13.343290567398071
Pair 1,blazes,protector,17.168380975723267,13.749765396118164
Pair 2,spark,protector,15.34999942779541,11.129898071289062
Pair 2,sparks,protector,15.526594161987305,16.089608669281006
Pair 1,breeze,protector,13.604968070983887,11.348857045173645
Pair 1,breezes,protector,19.142175674438477,16.750702381134033
Pair 2,storm,protector,12.022050857543945,13.456101655960083
Pair 2,storms,protector,13.645942687988281,18.510536193847656
Pair 1,vase,maker,14.538396835327148,8.539368629455566
Pair 1,vases,maker,15.501386642456055,11.790007591247559
Pair 2,pot,maker,13.82235050201416,10.399977684020996
Pair 2,pots,maker,13.874300003051758,10.619657516479492
Pair 1,hoax,victims,15.17436408996582,14.808741569519043
Pair 1,hoaxes,victims,17.38937997817993,14.230880737304688
Pair 2,joke,victims,14.252006530761719,12.448426246643066
Pair 2,jokes,victims,14.275121688842773,13.351630210876465
Pair 1,phase,classifier,13.30044174194336,22.806994199752808
Pair 1,phases,classifier,14.699835777282715,26.223068237304688
Pair 2,step,classifier,11.123847007751465,24.47151231765747
Pair 2,steps,classifier,13.774685859680176,22.147581934928894
Pair 1,hose,installer,15.389997482299805,16.564526081085205
Pair 1,hoses,installer,17.309115409851074,20.112563133239746
Pair 2,pipe,installer,13.295202255249023,19.021728515625
Pair 2,pipes,installer,12.959184527397156,18.971843719482422
Pair 1,fox,chaser,11.775041580200195,10.557315111160278
Pair 1,foxes,chaser,13.821070671081543,14.305224657058716
Pair 2,wolf,chaser,12.483844757080078,11.0258309841156
Pair 2,wolves,chaser,12.920150756835938,13.467389822006226
Pair 1,mix,winner,12.655686378479004,16.248729705810547
Pair 1,mixes,winner,16.925994396209717,15.532968521118164
Pair 2,blend,winner,14.931677341461182,17.999855041503906
Pair 2,blends,winner,16.031041622161865,17.348613739013672
Pair 1,nose,rashes,13.644872665405273,12.530417203903198
Pair 1,noses,rashes,16.15336275100708,16.268561124801636
Pair 2,thigh,rashes,14.646047592163086,10.890080451965332
Pair 2,thighs,rashes,16.145142078399658,16.767873764038086
Pair 1,clause,finder,16.155423164367676,14.927529335021973
Pair 1,clauses,finder,18.740736961364746,20.498543739318848
Pair 2,article,finder,13.329814910888672,14.554195165634155
Pair 2,articles,finder,14.212875366210938,18.671019554138184
Pair 1,maze,decoder,16.36255121231079,19.33953094482422
Pair 1,mazes,decoder,18.799482345581055,18.88080382347107
Pair 2,web,decoder,14.580747604370117,10.664809226989746
Pair 2,webs,decoder,21.989036560058594,11.762245416641235
Pair 1,bruise,healer,16.301177501678467,15.21854019165039
Pair 1,bruises,healer,14.913795948028564,15.038076877593994
Pair 2,sore,healer,12.701346397399902,19.553475379943848
Pair 2,sores,healer,16.527549743652344,17.779932022094727
Pair 1,rise,addict,11.471661567687988,16.3542799949646
Pair 1,rises,addict,15.925933837890625,20.328513145446777
Pair 2,drop,addict,10.576552391052246,18.7602481842041
Pair 2,drops,addict,13.775481224060059,16.661948204040527
Pair 1,praise,getter,11.812132835388184,21.35270118713379
Pair 1,praises,getter,16.74764108657837,19.910459518432617
Pair 2,compliment,getter,16.522939682006836,17.23814582824707
Pair 2,compliments,getter,14.71878981590271,18.60017204284668
Pair 1,fax,man,14.230620384216309,9.490979194641113
Pair 1,faxes,man,16.19027328491211,10.644790649414062
Pair 2,copy,man,11.212159156799316,12.774101257324219
Pair 2,copies,man,13.938373565673828,12.165762901306152
Pair 1,box,lifters,11.72646713256836,19.946860551834106
Pair 1,boxes,lifters,15.235546112060547,19.38149642944336
Pair 2,pack,lifters,11.007649421691895,21.790241241455078
Pair 2,packs,lifters,15.502452373504639,18.879854202270508
Pair 1,tax,receivers,12.82720947265625,14.161551475524902
Pair 1,taxes,receivers,14.246369361877441,16.981358289718628
Pair 2,toll,receivers,15.745534896850586,17.244125366210938
Pair 2,tolls,receivers,17.54526138305664,13.552796363830566
Pair 1,sex,disparities,11.24432373046875,21.43555760383606
Pair 1,sexes,disparities,17.461915969848633,19.22972869873047
Pair 2,gender,disparities,13.283169746398926,19.066686630249023
Pair 2,genders,disparities,15.629170417785645,24.08522891998291
Pair 1,quiz,expert,14.259326934814453,12.120149612426758
Pair 1,quizzes,expert,19.196758270263672,12.903908729553223
Pair 2,puzzle,expert,13.871253967285156,11.14273452758789
Pair 2,puzzles,expert,14.907034873962402,12.104586601257324
Pair 1,size,device,12.00175952911377,12.269704818725586
Pair 1,sizes,device,14.843632698059082,13.268534660339355
Pair 2,shape,device,13.345983505249023,10.797574996948242
Pair 2,shapes,device,14.133854866027832,12.850506782531738
Pair 1,prize,seeker,13.519559860229492,10.812646389007568
Pair 1,prizes,seeker,14.63821029663086,13.560800552368164
Pair 2,award,seeker,13.274677276611328,12.063841342926025
Pair 2,awards,seeker,12.787235260009766,15.897777557373047
Pair 1,rose,gardeners,10.267399787902832,13.283846855163574
Pair 1,roses,gardeners,12.912412643432617,14.801088333129883
Pair 2,flower,gardeners,13.096256256103516,9.150651454925537
Pair 2,flowers,gardeners,12.232419967651367,12.957963943481445
