Category,Non-Head,Head,Surprisal Non-head,Surprisal head
singular_1,blaze,protector,6.1031270027160645,10.535250186920166
plural_1,blazes,protector,9.899518966674805,9.65235185623169
singular_2,spark,protector,6.423183441162109,8.569446325302124
plural_2,sparks,protector,11.710647583007812,10.802133083343506
singular_1,breeze,protector,10.103078842163086,15.122087001800537
plural_1,breezes,protector,15.479530811309814,12.811566352844238
singular_2,storm,protector,7.351036548614502,9.593856811523438
plural_2,storms,protector,13.354507446289062,9.778220415115356
singular_1,tax,receivers,9.236848831176758,12.077109932899475
plural_1,taxes,receivers,8.341650009155273,12.932018518447876
singular_2,toll,receivers,12.024391174316406,11.036375761032104
plural_2,tolls,receivers,14.305995464324951,13.303374290466309
singular_1,sex,disparities,8.48808479309082,16.76688814163208
plural_1,sexes,disparities,13.46397590637207,17.63980484008789
singular_2,gender,disparities,9.238309621810913,12.181751012802124
plural_2,genders,disparities,14.97360372543335,17.456063985824585
singular_1,vase,maker,11.300649642944336,5.106690883636475
plural_1,vases,maker,14.86879587173462,4.818058013916016
singular_2,pot,maker,5.805039405822754,3.959223985671997
plural_2,pots,maker,11.449007987976074,6.0356764793396
singular_1,hoax,victims,13.488105773925781,10.025728225708008
plural_1,hoaxes,victims,15.954244375228882,9.473222732543945
singular_2,joke,victims,14.557194709777832,7.016380310058594
plural_2,jokes,victims,14.40898323059082,10.686853408813477
singular_1,phase,classifier,9.618176460266113,20.384396076202393
plural_1,phases,classifier,11.311377048492432,20.64810061454773
singular_2,step,classifier,10.805719375610352,21.26387882232666
plural_2,steps,classifier,14.84108829498291,19.82156527042389
singular_1,hose,installer,8.365626335144043,11.886732697486877
plural_1,hoses,installer,10.84725570678711,11.523466229438782
singular_2,pipe,installer,8.267640113830566,11.656693577766418
plural_2,pipes,installer,7.901220083236694,13.511988401412964
singular_1,fox,chaser,6.469820976257324,8.981150507926941
plural_1,foxes,chaser,9.574698448181152,8.504667401313782
singular_2,wolf,chaser,6.612910270690918,10.52526843547821
plural_2,wolves,chaser,9.860102653503418,9.235135078430176
singular_1,mix,winner,7.653467178344727,13.262693405151367
plural_1,mixes,winner,11.568590641021729,14.99466323852539
singular_2,blend,winner,12.13745641708374,17.836345672607422
plural_2,blends,winner,16.47752571105957,14.632505416870117
singular_1,nose,rashes,12.65654182434082,8.706884622573853
plural_1,noses,rashes,12.825686514377594,7.610354781150818
singular_2,thigh,rashes,16.625520706176758,7.83804714679718
plural_2,thighs,rashes,9.960978984832764,9.643352508544922
singular_1,cause,evaluators,8.144344329833984,14.041051030158997
plural_1,causes,evaluators,11.55609130859375,16.44268798828125
singular_2,loss,evaluators,8.344511032104492,14.07560110092163
plural_2,losses,evaluators,9.633713722229004,15.924071073532104
singular_1,gaze,detector,11.522705078125,7.399449110031128
plural_1,gazes,detector,18.900139808654785,9.46086859703064
singular_2,stare,detector,8.92479133605957,6.836808204650879
plural_2,stares,detector,9.181533813476562,10.637179374694824
singular_1,clause,finder,9.232097625732422,16.33951473236084
plural_1,clauses,finder,14.21919584274292,15.037074565887451
singular_2,article,finder,8.329997062683105,13.807392597198486
plural_2,articles,finder,7.911255836486816,14.146908521652222
singular_1,maze,decoder,9.146326065063477,15.149415969848633
plural_1,mazes,decoder,10.669488668441772,12.768417358398438
singular_2,web,decoder,11.203670501708984,13.06052017211914
plural_2,webs,decoder,16.05677032470703,14.09084415435791
singular_1,quiz,expert,10.072553634643555,7.101135730743408
plural_1,quizzes,expert,15.896478652954102,7.206235885620117
singular_2,puzzle,expert,7.588053226470947,6.1216020584106445
plural_2,puzzles,expert,10.494281768798828,5.548658847808838
singular_1,fax,man,4.781351089477539,3.997750759124756
plural_1,faxes,man,10.981709957122803,4.438511848449707
singular_2,copy,man,9.487479209899902,4.414927005767822
plural_2,copies,man,11.47144889831543,3.7859175205230713
singular_1,size,device,8.048891067504883,8.231379508972168
plural_1,sizes,device,13.660419464111328,10.054343223571777
singular_2,shape,device,9.026771545410156,10.24308967590332
plural_2,shapes,device,8.63143539428711,10.794390678405762
singular_1,praise,getter,10.506071090698242,17.303032875061035
plural_1,praises,getter,12.406054973602295,18.337088584899902
singular_2,compliment,getter,13.245010375976562,19.288321495056152
plural_2,compliments,getter,13.655902862548828,18.69556713104248
singular_1,prize,recipient,9.866186141967773,10.605708360671997
plural_1,prizes,recipient,11.529475212097168,11.739108324050903
singular_2,award,recipient,10.865973472595215,7.223811388015747
plural_2,awards,recipient,14.202690124511719,9.007740020751953
singular_1,box,lifters,8.583146095275879,13.63869333267212
plural_1,boxes,lifters,6.084713935852051,15.675151348114014
singular_2,pack,lifters,14.243443489074707,13.55082893371582
plural_2,packs,lifters,7.026669979095459,16.174909114837646
singular_1,rose,gardeners,3.3357341289520264,5.6091063022613525
plural_1,roses,gardeners,2.168320655822754,9.268381953239441
singular_2,flower,gardeners,5.83502197265625,2.426223635673523
plural_2,flowers,gardeners,1.925463318824768,10.107081174850464
singular_1,bruise,healer,11.648054122924805,15.311131477355957
plural_1,bruises,healer,15.337636947631836,14.061288356781006
singular_2,sore,healer,8.827203750610352,13.051165103912354
plural_2,sores,healer,6.441366195678711,15.983876705169678
singular_1,rise,addict,12.932977676391602,9.828144669532776
plural_1,rises,addict,16.732593536376953,7.253205895423889
singular_2,drop,addict,10.082609176635742,9.668010234832764
plural_2,drops,addict,14.507490158081055,9.053809642791748
