Category,Non-Head,Head,Surprisal Non-head,Surprisal head
singular_1,blaze,protector,11.514555931091309,6.253673076629639
plural_1,blazes,protector,8.512091159820557,6.757937431335449
singular_2,spark,protector,7.411957263946533,5.318953514099121
plural_2,sparks,protector,9.596138000488281,7.559873104095459
singular_1,breeze,protector,11.936813354492188,8.180164813995361
plural_1,breezes,protector,10.785314083099365,8.529599666595459
singular_2,storm,protector,8.802885055541992,9.790782928466797
plural_2,storms,protector,16.53894805908203,9.713889122009277
singular_1,tax,receivers,8.009644508361816,10.973264694213867
plural_1,taxes,receivers,9.437098503112793,12.769979476928711
singular_2,toll,receivers,13.412239074707031,12.87378215789795
plural_2,tolls,receivers,18.978466033935547,10.158784866333008
singular_1,sex,disparities,7.926695346832275,22.80892539024353
plural_1,sexes,disparities,13.58137321472168,23.661638259887695
singular_2,gender,disparities,6.379842281341553,21.70343828201294
plural_2,genders,disparities,10.341546475887299,24.37475299835205
singular_1,vase,maker,16.155000686645508,6.393044471740723
plural_1,vases,maker,20.618796348571777,5.725205421447754
singular_2,pot,maker,4.569154262542725,4.159943580627441
plural_2,pots,maker,9.660218238830566,4.394813537597656
singular_1,hoax,victims,17.92977237701416,9.784797668457031
plural_1,hoaxes,victims,19.591517448425293,11.528655052185059
singular_2,joke,victims,11.260268211364746,3.7178337574005127
plural_2,jokes,victims,11.745022773742676,8.254464149475098
singular_1,phase,classifier,13.407000541687012,19.599323272705078
plural_1,phases,classifier,10.331580638885498,21.151495933532715
singular_2,step,classifier,13.328228950500488,20.520529747009277
plural_2,steps,classifier,17.725820541381836,20.68303394317627
singular_1,hose,installer,8.238569498062134,10.162416458129883
plural_1,hoses,installer,10.797661304473877,10.466419219970703
singular_2,pipe,installer,10.475455284118652,10.986933708190918
plural_2,pipes,installer,12.664985179901123,11.078514099121094
singular_1,fox,chaser,6.823248863220215,10.118624687194824
plural_1,foxes,chaser,15.093592643737793,10.938454627990723
singular_2,wolf,chaser,6.227395057678223,12.294201850891113
plural_2,wolves,chaser,13.699419021606445,10.275352478027344
singular_1,mix,winner,6.9765167236328125,16.140850067138672
plural_1,mixes,winner,11.22633409500122,16.638219833374023
singular_2,blend,winner,8.807416439056396,20.923355102539062
plural_2,blends,winner,12.68966817855835,19.95131492614746
singular_1,nose,rashes,12.838438034057617,5.681657791137695
plural_1,noses,rashes,14.110884189605713,14.20185375213623
singular_2,thigh,rashes,12.724694967269897,4.517193794250488
plural_2,thighs,rashes,11.824496269226074,13.299041748046875
singular_1,cause,evaluators,9.988645553588867,20.70577335357666
plural_1,causes,evaluators,13.384060859680176,19.798928260803223
singular_2,loss,evaluators,11.475111961364746,19.61150074005127
plural_2,losses,evaluators,13.295552253723145,16.01436424255371
singular_1,gaze,detector,11.739827156066895,4.657772541046143
plural_1,gazes,detector,16.353474140167236,5.262279987335205
singular_2,stare,detector,12.168792724609375,2.769665002822876
plural_2,stares,detector,16.055381774902344,3.544045925140381
singular_1,clause,finder,16.585877418518066,11.189981460571289
plural_1,clauses,finder,18.777456283569336,11.750962257385254
singular_2,article,finder,10.346076965332031,11.399696350097656
plural_2,articles,finder,10.968256950378418,12.708014488220215
singular_1,maze,decoder,7.809435606002808,13.180150985717773
plural_1,mazes,decoder,9.207441568374634,13.170845985412598
singular_2,web,decoder,11.11990737915039,9.119220733642578
plural_2,webs,decoder,17.08474349975586,7.900672435760498
singular_1,quiz,expert,12.673556327819824,5.863644599914551
plural_1,quizzes,expert,19.48604679107666,8.00517749786377
singular_2,puzzle,expert,9.971831321716309,4.131164073944092
plural_2,puzzles,expert,13.224438667297363,4.322628021240234
singular_1,fax,man,7.970092296600342,4.59658145904541
plural_1,faxes,man,13.310890197753906,3.391740322113037
singular_2,copy,man,9.736429214477539,2.0746381282806396
plural_2,copies,man,16.241243362426758,2.211170196533203
singular_1,size,device,10.924127578735352,8.659011840820312
plural_1,sizes,device,15.323260307312012,7.738433837890625
singular_2,shape,device,10.502153396606445,8.229652404785156
plural_2,shapes,device,13.349648475646973,8.211569786071777
singular_1,praise,getter,12.271391868591309,16.232136726379395
plural_1,praises,getter,9.28579318523407,15.711187839508057
singular_2,compliment,getter,13.48745059967041,15.799443244934082
plural_2,compliments,getter,13.183647871017456,16.911810874938965
singular_1,prize,recipient,9.02165412902832,9.126875877380371
plural_1,prizes,recipient,14.489160537719727,11.386421203613281
singular_2,award,recipient,10.716446876525879,8.7325439453125
plural_2,awards,recipient,14.37221622467041,9.46734619140625
singular_1,box,lifters,11.01838207244873,11.87995433807373
plural_1,boxes,lifters,8.337533950805664,18.953112602233887
singular_2,pack,lifters,9.486512184143066,14.39804744720459
plural_2,packs,lifters,6.938771843910217,19.759190559387207
singular_1,rose,gardeners,5.068711757659912,4.900971233844757
plural_1,roses,gardeners,3.362846851348877,11.387348920106888
singular_2,flower,gardeners,3.899200916290283,4.533884555101395
plural_2,flowers,gardeners,3.5734004974365234,11.387344390153885
singular_1,bruise,healer,11.935116052627563,10.840532302856445
plural_1,bruises,healer,11.152683734893799,10.968481063842773
singular_2,sore,healer,8.597599983215332,9.912534236907959
plural_2,sores,healer,8.09200868010521,9.862727165222168
singular_1,rise,addict,12.983278274536133,7.787996292114258
plural_1,rises,addict,19.8480863571167,8.836097717285156
singular_2,drop,addict,7.26023530960083,6.849356651306152
plural_2,drops,addict,13.102872848510742,6.368304252624512
