Category,Non-Head,Head,Surprisal Non-head,Surprisal head
singular_1,blaze,protector,13.515382051467896,15.388245344161987
plural_1,blazes,protector,17.150064706802368,15.689348697662354
singular_2,spark,protector,10.797635316848755,15.094599485397339
plural_2,sparks,protector,16.66618514060974,13.271157026290894
singular_1,breeze,protector,8.596220970153809,23.75056505203247
plural_1,breezes,protector,15.416755199432373,24.96022629737854
singular_2,storm,protector,14.18839430809021,24.696423292160034
plural_2,storms,protector,19.09270215034485,24.661938905715942
singular_1,tax,receivers,6.554262161254883,21.11697220802307
plural_1,taxes,receivers,9.671098232269287,22.666845083236694
singular_2,toll,receivers,9.670746803283691,20.13874578475952
plural_2,tolls,receivers,11.532148838043213,21.65148663520813
singular_1,sex,disparities,9.074305057525635,21.63517475128174
plural_1,sexes,disparities,19.18943691253662,25.996912717819214
singular_2,gender,disparities,14.348605871200562,27.11260437965393
plural_2,genders,disparities,21.047317266464233,26.22058916091919
singular_1,vase,maker,9.53258752822876,10.887034177780151
plural_1,vases,maker,18.16088104248047,12.442867279052734
singular_2,pot,maker,7.612571477890015,10.428353309631348
plural_2,pots,maker,9.19143271446228,10.740795373916626
singular_1,hoax,victims,13.809237480163574,27.502268314361572
plural_1,hoaxes,victims,19.05365538597107,27.8395938873291
singular_2,joke,victims,11.522541284561157,27.47057580947876
plural_2,jokes,victims,14.663023233413696,25.291714429855347
singular_1,hose,installer,9.057698011398315,26.534045457839966
plural_1,hoses,installer,14.844073057174683,18.303877115249634
singular_2,pipe,installer,8.326225996017456,27.71354579925537
plural_2,pipes,installer,13.205339193344116,18.12303614616394
singular_1,fox,chaser,6.087055683135986,13.092191219329834
plural_1,foxes,chaser,10.692837715148926,13.47309923171997
singular_2,wolf,chaser,4.85901665687561,12.025477886199951
plural_2,wolves,chaser,10.345459222793579,12.732778310775757
singular_1,mix,winner,6.647373199462891,12.584863185882568
plural_1,mixes,winner,16.264121055603027,11.83033037185669
singular_2,blend,winner,10.160012245178223,12.668202877044678
plural_2,blends,winner,14.512247562408447,11.651898622512817
singular_1,nose,rashes,10.617007732391357,16.114840269088745
plural_1,noses,rashes,17.619144439697266,18.17951989173889
singular_2,thigh,rashes,7.838588714599609,15.357752799987793
plural_2,thighs,rashes,11.125900506973267,16.016193866729736
singular_1,gaze,detector,9.287900924682617,16.29818558692932
plural_1,gazes,detector,21.742676496505737,15.546278476715088
singular_2,stare,detector,9.186151266098022,15.897032976150513
plural_2,stares,detector,14.218721151351929,17.899940729141235
singular_1,clause,finder,14.799302816390991,19.219176530838013
plural_1,clauses,finder,25.63042664527893,14.232025384902954
singular_2,article,finder,20.88184905052185,18.005963563919067
plural_2,articles,finder,31.63221049308777,18.823737859725952
singular_1,maze,decoder,8.0958571434021,19.522907972335815
plural_1,mazes,decoder,13.67842984199524,20.205004930496216
singular_2,web,decoder,11.145648002624512,18.54302477836609
plural_2,webs,decoder,18.279708862304688,19.510489225387573
singular_1,quiz,expert,8.85934042930603,16.273252248764038
plural_1,quizzes,expert,19.77970242500305,14.778059005737305
singular_2,puzzle,expert,9.941529989242554,14.189421653747559
plural_2,puzzles,expert,13.790295362472534,14.183866262435913
singular_1,fax,man,9.978470802307129,6.401730060577393
plural_1,faxes,man,14.691822528839111,6.373768329620361
singular_2,copy,man,10.291542291641235,6.5808491706848145
plural_2,copies,man,12.207070112228394,6.920608043670654
singular_1,size,device,8.543683290481567,18.521381378173828
plural_1,sizes,device,19.43587565422058,19.34083580970764
singular_2,shape,device,11.33088231086731,16.450875282287598
plural_2,shapes,device,18.856806993484497,18.300621271133423
singular_1,praise,getter,8.865119695663452,16.423508167266846
plural_1,praises,getter,10.681373357772827,13.247728109359741
singular_2,compliment,getter,13.250543594360352,14.428417205810547
plural_2,compliments,getter,16.28868532180786,15.57251501083374
singular_1,prize,recipient,8.876728773117065,46.37235069274902
plural_1,prizes,recipient,23.766265153884888,33.78086185455322
singular_2,award,recipient,12.737016201019287,45.667115688323975
plural_2,awards,recipient,19.967544078826904,48.37452554702759
singular_1,box,lifters,15.052739381790161,19.953588485717773
plural_1,boxes,lifters,22.540494680404663,20.71539306640625
singular_2,pack,lifters,8.67173171043396,21.828113555908203
plural_2,packs,lifters,10.59084153175354,19.77631378173828
singular_1,rose,gardeners,6.329332113265991,10.839755058288574
plural_1,roses,gardeners,7.593834638595581,12.75701093673706
singular_2,flower,gardeners,7.291931629180908,13.82885456085205
plural_2,flowers,gardeners,7.582315921783447,12.330772876739502
singular_1,bruise,healer,12.612344741821289,14.382550716400146
plural_1,bruises,healer,23.91471290588379,14.615935802459717
singular_2,sore,healer,7.585405349731445,14.242419481277466
plural_2,sores,healer,12.23783826828003,14.18810248374939
singular_1,rise,addict,9.083773136138916,16.500529050827026
plural_1,rises,addict,16.606701374053955,16.86884307861328
singular_2,drop,addict,11.151511430740356,16.282530069351196
plural_2,drops,addict,13.99234938621521,15.799062490463257
