Category,Non-Head,Head,Surprisal Non-head,Surprisal head
singular_1,hose,collector,5.412247180938721,9.344558954238892
plural_1,hoses,collector,6.890038013458252,10.915978193283081
singular_2,hoe,collector,7.354949235916138,8.935720682144165
plural_2,hoes,collector,5.290323495864868,9.715706825256348
singular_1,rose,organizer,5.127274036407471,16.20129656791687
plural_1,roses,organizer,5.13579797744751,20.641443252563477
singular_2,row,organizer,9.670212030410767,42.519707918167114
plural_2,rows,organizer,4.815694093704224,43.968963623046875
singular_1,rise,addict,8.95132303237915,13.68472957611084
plural_1,rises,addict,8.928313255310059,13.334952354431152
singular_2,lie,addict,6.843648195266724,16.12334632873535
plural_2,lies,addict,7.291377782821655,12.986679553985596
singular_1,clause,hider,5.5624778270721436,13.610724687576294
plural_1,clauses,hider,8.915403127670288,14.117268323898315
singular_2,claw,hider,7.208635568618774,10.45697569847107
plural_2,claws,hider,5.146115064620972,11.018951892852783
singular_1,gaze,attractor,5.424278020858765,13.521255493164062
plural_1,gazes,attractor,8.65124773979187,13.957302570343018
singular_2,guy,attractor,5.690725326538086,11.345611095428467
plural_2,guys,attractor,4.468713760375977,9.54007339477539
singular_1,box,horde,4.865391492843628,11.7915678024292
plural_1,boxes,horde,4.254754304885864,13.547789096832275
singular_2,book,horde,5.120604038238525,13.250784635543823
plural_2,books,horde,5.594316005706787,13.789308547973633
singular_1,sex,distinctions,15.669253826141357,34.23016428947449
plural_1,sexes,distinctions,18.705740451812744,34.512269258499146
singular_2,sack,distinctions,10.19814133644104,34.29204273223877
plural_2,sacks,distinctions,14.083971977233887,34.434693574905396
singular_1,tax,repayment,4.44658637046814,8.975426197052002
plural_1,taxes,repayment,6.51533055305481,10.027708768844604
singular_2,tack,repayment,10.10913610458374,11.046619415283203
plural_2,tacks,repayment,5.274076461791992,13.810659408569336
singular_1,size,device,7.931141138076782,14.397265672683716
plural_1,sizes,device,15.641552686691284,14.350347518920898
singular_2,sigh,device,6.629879713058472,10.825428485870361
plural_2,sighs,device,6.897710561752319,11.624069929122925
singular_1,praise,getter,5.695315599441528,17.929185390472412
plural_1,praises,getter,7.283711671829224,17.29298496246338
singular_2,tray,getter,6.855939626693726,11.243815898895264
plural_2,trays,getter,5.942431688308716,14.12431287765503
singular_1,bruise,expert,5.436940670013428,7.532851219177246
plural_1,bruises,expert,7.081019878387451,8.143328189849854
singular_2,brew,expert,8.107226848602295,9.041619777679443
plural_2,brews,expert,4.091537952423096,8.381758213043213
singular_1,raise,seeker,5.459312677383423,12.707892894744873
plural_1,raises,seeker,5.6634485721588135,13.667025089263916
singular_2,ray,seeker,8.034287452697754,12.933612585067749
plural_2,rays,seeker,6.897838115692139,12.821706771850586
singular_1,blaze,admirer,4.427998065948486,4.159924507141113
plural_1,blazes,admirer,3.8092002868652344,5.778499364852905
singular_2,play,admirer,5.732021808624268,7.3325114250183105
plural_2,plays,admirer,5.170398235321045,6.667632341384888
singular_1,vase,steward,8.468881845474243,21.125763654708862
plural_1,vases,steward,13.178585052490234,21.096975564956665
singular_2,bee,steward,5.037519216537476,20.618950843811035
plural_2,bees,steward,6.26632833480835,20.964284658432007
singular_1,fox,avoiders,3.524714469909668,17.45147705078125
plural_1,foxes,avoiders,2.9880003929138184,17.97083616256714
singular_2,shock,avoiders,5.988374710083008,14.09499979019165
plural_2,shocks,avoiders,5.98706579208374,15.66486406326294
singular_1,maze,expert,4.331338405609131,7.9918212890625
plural_1,mazes,expert,4.353348255157471,15.225575923919678
singular_2,bay,expert,4.830934047698975,7.944521427154541
plural_2,bays,expert,3.9604620933532715,8.628499031066895
singular_1,breeze,protector,7.216169357299805,29.731542348861694
plural_1,breezes,protector,9.70815372467041,30.076390504837036
singular_2,tree,protector,5.222333192825317,14.093671798706055
plural_2,trees,protector,9.734410285949707,14.185256004333496
singular_1,cause,evaluator,10.825346231460571,29.450769424438477
plural_1,causes,evaluator,16.856262683868408,29.38594889640808
singular_2,paw,evaluator,9.14406943321228,32.207783937454224
plural_2,paws,evaluator,11.53874921798706,31.905609130859375
singular_1,phase,fanatic,7.6889050006866455,21.741920232772827
plural_1,phases,fanatic,14.854731798171997,21.924464225769043
singular_2,fee,fanatic,5.747771263122559,21.740949392318726
plural_2,fees,fanatic,5.230898380279541,20.996885538101196
singular_1,fax,man,2.616572856903076,3.745380163192749
plural_1,faxes,man,5.75924825668335,4.692892074584961
singular_2,shack,man,5.115352392196655,4.542619705200195
plural_2,shacks,man,4.460159540176392,5.5889716148376465
