Category,Non-Head,Head,Surprisal Non-head,Surprisal head
singular_1,hose,collector,8.00101089477539,11.32211685180664
plural_1,hoses,collector,10.722530841827393,13.316764831542969
singular_2,hoe,collector,7.693718910217285,11.45888352394104
plural_2,hoes,collector,8.583398818969727,12.476259231567383
singular_1,rose,organizer,14.172296285629272,28.2600736618042
plural_1,roses,organizer,19.234135150909424,31.1843523979187
singular_2,row,organizer,12.373648405075073,31.0092351436615
plural_2,rows,organizer,14.366604566574097,28.30554723739624
singular_1,rise,addict,9.102694034576416,11.617384910583496
plural_1,rises,addict,14.904994010925293,10.722456932067871
singular_2,lie,addict,9.871781826019287,11.308775424957275
plural_2,lies,addict,16.132522106170654,10.317867040634155
singular_1,clause,hider,7.281971216201782,12.380378246307373
plural_1,clauses,hider,8.341073274612427,15.188899040222168
singular_2,claw,hider,14.092161893844604,14.906965255737305
plural_2,claws,hider,18.406266450881958,19.857460498809814
singular_1,gaze,attractor,14.498742580413818,25.298042058944702
plural_1,gazes,attractor,15.976744651794434,29.01251530647278
singular_2,guy,attractor,12.234360694885254,30.713685035705566
plural_2,guys,attractor,14.904796123504639,27.698418140411377
singular_1,box,horde,7.484494686126709,15.254090785980225
plural_1,boxes,horde,6.524298667907715,14.922403573989868
singular_2,book,horde,5.7953033447265625,13.95345163345337
plural_2,books,horde,6.888660430908203,13.177831888198853
singular_1,sex,distinctions,13.031592607498169,34.686240911483765
plural_1,sexes,distinctions,17.90470814704895,36.68961763381958
singular_2,sack,distinctions,15.321653842926025,33.341179847717285
plural_2,sacks,distinctions,19.67333698272705,34.33648371696472
singular_1,tax,repayment,8.991409301757812,9.67051386833191
plural_1,taxes,repayment,21.384769439697266,10.607949256896973
singular_2,tack,repayment,12.933942079544067,27.74762487411499
plural_2,tacks,repayment,19.81362557411194,27.36835527420044
singular_1,size,device,13.862497091293335,20.22685432434082
plural_1,sizes,device,16.29563331604004,18.686647415161133
singular_2,sigh,device,14.95657205581665,19.678300619125366
plural_2,sighs,device,20.530325651168823,19.81789207458496
singular_1,praise,getter,6.155186653137207,14.069064140319824
plural_1,praises,getter,9.98979377746582,13.954143524169922
singular_2,tray,getter,12.499401569366455,18.22369384765625
plural_2,trays,getter,16.070566654205322,21.534614086151123
singular_1,bruise,expert,19.644904613494873,19.54103660583496
plural_1,bruises,expert,21.738032817840576,15.410060405731201
singular_2,brew,expert,10.918458938598633,10.65251874923706
plural_2,brews,expert,11.637996196746826,11.204097509384155
singular_1,raise,seeker,8.268884181976318,13.772076606750488
plural_1,raises,seeker,11.545888423919678,13.721436738967896
singular_2,ray,seeker,8.520496368408203,14.086527109146118
plural_2,rays,seeker,15.126548290252686,14.162822723388672
singular_1,blaze,admirer,13.312424659729004,21.090001583099365
plural_1,blazes,admirer,15.415194988250732,18.992624759674072
singular_2,play,admirer,12.116608142852783,21.00324320793152
plural_2,plays,admirer,15.665311813354492,19.592979192733765
singular_1,vase,steward,12.152316570281982,23.344539880752563
plural_1,vases,steward,16.562312126159668,21.595338106155396
singular_2,bee,steward,7.396326780319214,21.597232818603516
plural_2,bees,steward,11.066646814346313,20.73309898376465
singular_1,fox,avoiders,8.564475774765015,13.397718667984009
plural_1,foxes,avoiders,5.4861977100372314,15.640451908111572
singular_2,shock,avoiders,6.460401773452759,28.46723461151123
plural_2,shocks,avoiders,9.523578882217407,27.378307104110718
singular_1,maze,expert,14.057588338851929,25.506006717681885
plural_1,mazes,expert,18.674351930618286,22.30502963066101
singular_2,bay,expert,7.706003665924072,21.60895848274231
plural_2,bays,expert,10.287009716033936,20.783443689346313
singular_1,breeze,protector,19.788941144943237,27.909966945648193
plural_1,breezes,protector,23.872552156448364,26.390611171722412
singular_2,tree,protector,11.632817029953003,28.894580125808716
plural_2,trees,protector,14.108855247497559,28.062761783599854
singular_1,cause,evaluator,13.05580186843872,26.402621507644653
plural_1,causes,evaluator,13.994895696640015,27.087137699127197
singular_2,paw,evaluator,13.207483291625977,29.29841661453247
plural_2,paws,evaluator,17.74372434616089,28.95376467704773
singular_1,phase,fanatic,15.641041278839111,20.367671728134155
plural_1,phases,fanatic,19.395280838012695,20.096054315567017
singular_2,fee,fanatic,9.695285320281982,18.87921643257141
plural_2,fees,fanatic,15.541710376739502,18.311967134475708
singular_1,fax,man,10.937454223632812,6.450990438461304
plural_1,faxes,man,16.948879957199097,6.667848348617554
singular_2,shack,man,17.69199299812317,6.553434371948242
plural_2,shacks,man,20.89812159538269,6.937122821807861
